analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,mg_device_indices,mg_enabled,pq,profile,profile_label,pv,repeat_idx,solve_sec,source_profile,success,variant
0.038691,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.04293,3.297622661047e-10,cuda_mixed_edge,5,edge_based,0.05033550758059,end2end,,False,5553,cuda_edge,CUDA mixed edge,104,0,0.004238,cuda_mixed_edge,True,baseline
0.037088,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.041212,3.121717745413e-10,cuda_mixed_edge,5,edge_based,0.05033550758059,end2end,,False,5553,cuda_edge,CUDA mixed edge,104,1,0.004123,cuda_mixed_edge,True,baseline
0.036579,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.040692,1.976362268286e-10,cuda_mixed_edge,5,edge_based,0.05033550758094,end2end,,False,5553,cuda_edge,CUDA mixed edge,104,2,0.004112,cuda_mixed_edge,True,baseline
0.036585,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.040727,3.244245080913e-10,cuda_mixed_edge,5,edge_based,0.05033550758047,end2end,,False,5553,cuda_edge,CUDA mixed edge,104,3,0.004142,cuda_mixed_edge,True,baseline
0.036705,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.04085,3.634232914607e-10,cuda_mixed_edge,5,edge_based,0.05033550758058,end2end,,False,5553,cuda_edge,CUDA mixed edge,104,4,0.004145,cuda_mixed_edge,True,baseline
0.036932,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.041033,1.178857428341e-10,cuda_mixed_edge,5,edge_based,0.05033550758105,end2end,,False,5553,cuda_edge,CUDA mixed edge,104,5,0.0041,cuda_mixed_edge,True,baseline
0.036681,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.040796,1.935743648707e-10,cuda_mixed_edge,5,edge_based,0.05033550758074,end2end,,False,5553,cuda_edge,CUDA mixed edge,104,6,0.004114,cuda_mixed_edge,True,baseline
0.036612,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.040757,3.428416092688e-10,cuda_mixed_edge,5,edge_based,0.05033550758074,end2end,,False,5553,cuda_edge,CUDA mixed edge,104,7,0.004144,cuda_mixed_edge,True,baseline
0.036803,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.040927,2.027689127715e-10,cuda_mixed_edge,5,edge_based,0.05033550758085,end2end,,False,5553,cuda_edge,CUDA mixed edge,104,8,0.004123,cuda_mixed_edge,True,baseline
0.036531,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.04088,1.921156567164e-10,cuda_mixed_edge,5,edge_based,0.05033550758098,end2end,,False,5553,cuda_edge,CUDA mixed edge,104,9,0.004349,cuda_mixed_edge,True,baseline
0.041223,cuda,6717,Texas7k_20220923,mixed,Texas7k_20220923,0.04434,2.063119167055e-11,cuda_mixed_edge,4,edge_based,0.01575196529894,end2end,,False,6127,cuda_edge,CUDA mixed edge,589,0,0.003116,cuda_mixed_edge,True,baseline
0.039077,cuda,6717,Texas7k_20220923,mixed,Texas7k_20220923,0.042179,6.201737591709e-11,cuda_mixed_edge,4,edge_based,0.01575196529893,end2end,,False,6127,cuda_edge,CUDA mixed edge,589,1,0.003101,cuda_mixed_edge,True,baseline
0.038904,cuda,6717,Texas7k_20220923,mixed,Texas7k_20220923,0.042043,9.255883593981e-11,cuda_mixed_edge,4,edge_based,0.01575196529859,end2end,,False,6127,cuda_edge,CUDA mixed edge,589,2,0.003139,cuda_mixed_edge,True,baseline
0.039439,cuda,6717,Texas7k_20220923,mixed,Texas7k_20220923,0.042523,1.078105630156e-10,cuda_mixed_edge,4,edge_based,0.01575196529926,end2end,,False,6127,cuda_edge,CUDA mixed edge,589,3,0.003084,cuda_mixed_edge,True,baseline
0.039008,cuda,6717,Texas7k_20220923,mixed,Texas7k_20220923,0.042094,4.542169683963e-11,cuda_mixed_edge,4,edge_based,0.01575196529895,end2end,,False,6127,cuda_edge,CUDA mixed edge,589,4,0.003085,cuda_mixed_edge,True,baseline
0.038943,cuda,6717,Texas7k_20220923,mixed,Texas7k_20220923,0.042075,7.361071403703e-11,cuda_mixed_edge,4,edge_based,0.0157519652992,end2end,,False,6127,cuda_edge,CUDA mixed edge,589,5,0.003132,cuda_mixed_edge,True,baseline
0.039104,cuda,6717,Texas7k_20220923,mixed,Texas7k_20220923,0.042203,1.182494865411e-10,cuda_mixed_edge,4,edge_based,0.01575196529997,end2end,,False,6127,cuda_edge,CUDA mixed edge,589,6,0.003098,cuda_mixed_edge,True,baseline
0.038881,cuda,6717,Texas7k_20220923,mixed,Texas7k_20220923,0.041978,6.180723191009e-11,cuda_mixed_edge,4,edge_based,0.01575196529892,end2end,,False,6127,cuda_edge,CUDA mixed edge,589,7,0.003097,cuda_mixed_edge,True,baseline
0.039067,cuda,6717,Texas7k_20220923,mixed,Texas7k_20220923,0.042228,1.391544588111e-10,cuda_mixed_edge,4,edge_based,0.01575196529921,end2end,,False,6127,cuda_edge,CUDA mixed edge,589,8,0.003161,cuda_mixed_edge,True,baseline
