case,mode,repeat,elapsed_ms,n_bus,n_pv,n_pq,ybus_nnz,jacobian_dim,jacobian_nnz
Texas7k_20220923,edge_atomic,15,0.009216,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,16,0.009248,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,17,0.009216,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,18,0.009984,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,19,0.009216,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,20,0.009216,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,21,0.010208,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,22,0.010240,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,23,0.009216,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,24,0.010080,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,25,0.010240,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,26,0.009216,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,27,0.009376,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,28,0.009216,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_atomic,29,0.009984,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,0,0.009312,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,1,0.008192,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,2,0.009184,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,3,0.009024,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,4,0.008192,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,5,0.008192,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,6,0.008960,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,7,0.008192,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,8,0.008192,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,9,0.009024,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,10,0.009216,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,11,0.008192,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,12,0.009056,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,13,0.008416,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,14,0.008192,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,15,0.008192,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,16,0.008192,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,17,0.008192,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,18,0.008192,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,19,0.009120,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,20,0.008192,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,21,0.008928,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,22,0.008192,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,23,0.009120,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,24,0.008192,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,25,0.008192,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,26,0.009120,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,27,0.008192,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,28,0.008192,6717,589,6127,24009,12843,91901
Texas7k_20220923,edge_noatomic,29,0.009120,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,0,0.016256,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,1,0.015360,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,2,0.015360,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,3,0.016128,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,4,0.015360,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,5,0.015360,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,6,0.015360,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,7,0.015360,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,8,0.016384,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,9,0.015360,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,10,0.017408,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,11,0.015360,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,12,0.015360,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,13,0.015360,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,14,0.015360,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,15,0.015360,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,16,0.015200,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,17,0.015296,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,18,0.014336,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,19,0.016160,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,20,0.015424,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,21,0.015136,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,22,0.015168,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,23,0.015168,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,24,0.015328,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,25,0.016160,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,26,0.014336,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,27,0.015136,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,28,0.015360,6717,589,6127,24009,12843,91901
Texas7k_20220923,vertex,29,0.015360,6717,589,6127,24009,12843,91901
Base_West_Interconnect_121GW,edge_atomic,0,0.017408,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,1,0.017344,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,2,0.017408,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,3,0.017408,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,4,0.017408,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,5,0.017408,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,6,0.017408,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,7,0.016384,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,8,0.016384,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,9,0.017248,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,10,0.017280,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,11,0.017152,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,12,0.017216,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,13,0.016384,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,14,0.016480,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,15,0.017248,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,16,0.017376,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,17,0.017280,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,18,0.017280,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,19,0.017344,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,20,0.016384,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,21,0.017408,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,22,0.017408,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,23,0.017408,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,24,0.016448,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,25,0.017312,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,26,0.017408,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,27,0.017248,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,28,0.017408,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_atomic,29,0.017408,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,0,0.013312,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,1,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,2,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,3,0.012032,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,4,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,5,0.012224,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,6,0.012064,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,7,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,8,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,9,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,10,0.013312,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,11,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,12,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,13,0.011264,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,14,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,15,0.012256,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,16,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,17,0.012160,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,18,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,19,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,20,0.013248,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,21,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,22,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,23,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,24,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,25,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,26,0.011264,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,27,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,28,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,edge_noatomic,29,0.012288,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,0,0.031744,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,1,0.030720,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,2,0.031552,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,3,0.031744,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,4,0.031744,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,5,0.031744,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,6,0.030720,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,7,0.030720,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,8,0.031744,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,9,0.031744,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,10,0.031520,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,11,0.031744,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,12,0.030720,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,13,0.030720,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,14,0.030720,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,15,0.031744,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,16,0.032768,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,17,0.030784,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,18,0.030720,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,19,0.030720,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,20,0.030720,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,21,0.031488,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,22,0.031744,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,23,0.030720,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,24,0.030720,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,25,0.031584,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,26,0.031744,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,27,0.031008,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,28,0.031744,20758,766,19991,78550,40748,302486
Base_West_Interconnect_121GW,vertex,29,0.030720,20758,766,19991,78550,40748,302486
case_ACTIVSg25k,edge_atomic,0,0.018432,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,1,0.018432,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,2,0.017408,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,3,0.018208,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,4,0.017632,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,5,0.017408,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,6,0.017280,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,7,0.018240,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,8,0.017408,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,9,0.017376,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,10,0.017408,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,11,0.018336,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,12,0.017408,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,13,0.017408,25000,2752,22247,85220,47246,318672
