case,n,nnz,phase,range,wall_ms,gpu_activity_union_ms,gpu_kernel_sum_ms,gpu_kernel_count,memcpy_sum_ms,memcpy_count,memset_sum_ms,memset_count,runtime_api_union_ms,runtime_api_sum_ms,runtime_api_count,cuda_sync_api_union_ms,gpu_idle_or_host_ms,gpu_idle_or_host_ratio,host_outside_cuda_api_ms,host_outside_cuda_api_ratio,sync_activity_ms,sync_activity_count
case2868rte,5321,36015,symbolic_factorization,cudss_symbolic_factorization,8.966567,7.298315,7.236615,83,0.039811,36,0.021889,19,8.812877,8.812877,172,0.022253,1.668252,0.18605247694017119,0.15369,0.017140339217896882,0.014142,28
case2848rte,5324,36002,reordering,cudss_reordering,13.141092,3.070131,3.004529,9,0.060738,20,0.004864,6,7.614434,7.614434,52,0.032071,10.070961,0.7663716987903288,5.526658,0.4205630704054123,0.023425,9
case2848rte,5324,36002,symbolic_factorization,cudss_symbolic_factorization,8.929448,7.164454,7.105702,79,0.037024,34,0.021728,19,8.766978,8.766978,164,0.021191,1.764994,0.19765992253944475,0.16247,0.01819485370204295,0.014348,26
case3012wp,5725,36263,reordering,cudss_reordering,13.610802,3.089588,3.024499,9,0.060609,20,0.00448,6,7.58167,7.58167,52,0.032341,10.521214,0.7730047061150401,6.029132,0.442966696598775,0.024164,9
case3012wp,5725,36263,symbolic_factorization,cudss_symbolic_factorization,9.069269,7.361805,7.297996,90,0.041888,39,0.021921,19,8.91236,8.91236,185,0.021721,1.707464,0.1882691978813287,0.156909,0.017301173887333147,0.01464,31
case3120sp,5991,38329,reordering,cudss_reordering,13.709597,3.110135,3.042485,9,0.062562,20,0.005088,6,7.623172,7.623172,52,0.033241,10.599462,0.7731417633939204,6.086425,0.44395360417961227,0.024487,9
case3120sp,5991,38329,symbolic_factorization,cudss_symbolic_factorization,8.910763,7.217025,7.154784,86,0.040064,37,0.022177,19,8.76988,8.76988,177,0.021027,1.693738,0.19007777448463167,0.140883,0.01581043059948963,0.014199,29
case3375wp,6355,40717,reordering,cudss_reordering,14.022092,3.147415,3.077652,9,0.064899,20,0.004864,6,7.684753,7.684753,52,0.034824,10.874677,0.7755388425635775,6.337339,0.45195388819300286,0.025759,9
case3375wp,6355,40717,symbolic_factorization,cudss_symbolic_factorization,9.144451,7.426096,7.360525,92,0.042818,40,0.022753,19,9.002302,9.002302,189,0.023166,1.718355,0.18791231972263836,0.142149,0.015544836972717116,0.015638,32
case6470rte,12485,86405,reordering,cudss_reordering,20.022747,3.641989,3.523106,9,0.114339,20,0.004544,6,8.035378,8.035378,52,0.043051,16.380758,0.8181074255195853,11.987369,0.5986875327346443,0.033825,9
case6470rte,12485,86405,symbolic_factorization,cudss_symbolic_factorization,10.577574,8.691951,8.619468,98,0.047586,42,0.024897,19,10.415248,10.415248,199,0.023523,1.885623,0.17826611281566077,0.162326,0.015346241018970891,0.015791,34
case6495rte,12495,86287,reordering,cudss_reordering,19.60195,3.641284,3.523873,9,0.112483,20,0.004928,6,8.04885,8.04885,52,0.043541,15.960666,0.814238685436908,11.5531,0.589385239733802,0.033062,9
case6495rte,12495,86287,symbolic_factorization,cudss_symbolic_factorization,10.519124,8.324136,8.255366,91,0.04352,39,0.02525,19,10.352454,10.352454,186,0.022729,2.194988,0.2086664250749397,0.16667,0.01584447526238877,0.015384,31
case6515rte,12535,86561,reordering,cudss_reordering,21.771932,3.645511,3.527746,9,0.112869,20,0.004896,6,8.00555,8.00555,52,0.0428,18.126421,0.8325591408240665,13.766382,0.632299512969267,0.034073,9
case6515rte,12535,86561,symbolic_factorization,cudss_symbolic_factorization,10.050086,8.172801,8.103968,91,0.044288,39,0.024545,19,9.884414,9.884414,186,0.022593,1.877285,0.1867929289361305,0.165672,0.01648463505685424,0.015398,31
case6468rte,12643,87845,reordering,cudss_reordering,20.824468,3.6537,3.532801,9,0.116003,20,0.004896,6,8.017292,8.017292,52,0.044795,17.170768,0.8245477387465553,12.807176,0.6150061552592844,0.035416,9
case6468rte,12643,87845,symbolic_factorization,cudss_symbolic_factorization,10.182163,8.295589,8.224834,96,0.046114,41,0.024641,19,10.014275,10.014275,195,0.023373,1.886574,0.18528224307546443,0.167888,0.016488441601258987,0.015669,33
case8387pegase,14908,110572,reordering,cudss_reordering,24.031884,3.89758,3.756393,9,0.136643,20,0.004544,6,8.20311,8.20311,52,0.047802,20.134304,0.8378162943862412,15.828774,0.658657223878078,0.039504,9
case8387pegase,14908,110572,symbolic_factorization,cudss_symbolic_factorization,11.250203,9.167997,9.088604,110,0.051936,46,0.027457,19,11.099015,11.099015,219,0.026839,2.082206,0.1850816380824417,0.151188,0.013438690839623072,0.018191,38
case9241pegase,17036,129412,reordering,cudss_reordering,25.602845,4.077521,3.916204,9,0.156453,20,0.004864,6,8.328733,8.328733,52,0.051207,21.525324,0.8407395350008954,17.274112,0.6746950192449316,0.042019,9
case9241pegase,17036,129412,symbolic_factorization,cudss_symbolic_factorization,11.657355,9.750989,9.671209,103,0.049987,43,0.029793,19,11.500193,11.500193,206,0.024878,1.906366,0.16353332295362027,0.157162,0.013481788964992487,0.016534,35
case_ACTIVSg10k,18544,125174,reordering,cudss_reordering,38.54238,4.096048,3.935661,9,0.155491,20,0.004896,6,8.530569,8.530569,52,0.051456,34.446332,0.8937261269283319,30.011811,0.7786704142297388,0.040868,9
case_ACTIVSg10k,18544,125174,symbolic_factorization,cudss_symbolic_factorization,11.907634,9.97637,9.892529,101,0.052545,43,0.031296,19,11.74648,11.74648,204,0.027339,1.931264,0.16218704740169207,0.161154,0.013533670920688358,0.018181,35
case13659pegase,23225,174703,reordering,cudss_reordering,36.719386,4.567358,4.353718,9,0.208616,20,0.005024,6,8.65662,8.65662,52,0.062597,32.152028,0.8756145323345004,28.062766,0.7642493259555048,0.051936,9
case13659pegase,23225,174703,symbolic_factorization,cudss_symbolic_factorization,12.76023,10.970347,10.879368,111,0.055361,46,0.035618,19,12.610867,12.610867,220,0.02615,1.789883,0.14027043399687936,0.149363,0.011705353273412784,0.017521,38
case_ACTIVSg25k,47246,318672,reordering,cudss_reordering,51.246655,5.925316,5.102445,9,0.818103,20,0.004768,6,10.121303,10.121303,52,0.086421,45.321339,0.8843765315023976,41.125352,0.8024982703749152,0.07556,9
case_ACTIVSg25k,47246,318672,symbolic_factorization,cudss_symbolic_factorization,15.763563,13.382064,13.259564,124,0.068259,53,0.054241,19,15.596852,15.596852,247,0.032511,2.381499,0.151076187534506,0.166711,0.010575718192644645,0.021466,45
case_ACTIVSg70k,134104,900558,reordering,cudss_reordering,129.397112,10.44656,6.38376,9,4.057072,22,0.005728,6,14.87543,14.87543,54,0.122087,118.950552,0.919267440837474,114.521682,0.8850404791105384,0.110497,9
case_ACTIVSg70k,134104,900558,symbolic_factorization,cudss_symbolic_factorization,23.886842,20.276462,20.045192,162,0.111364,71,0.119906,19,23.716874,23.716874,320,0.039623,3.61038,0.15114513672422666,0.169968,0.007115549221617491,0.026687,62
case_SyntheticUSA,156255,1052085,reordering,cudss_reordering,157.325292,12.296498,6.697849,9,5.593113,22,0.005536,6,16.391219,16.391219,54,0.121647,145.028794,0.9218402976172452,140.934073,0.8958131982999911,0.109928,9
case_SyntheticUSA,156255,1052085,symbolic_factorization,cudss_symbolic_factorization,25.933905,22.101729,21.846395,158,0.119778,71,0.135556,19,25.766712,25.766712,314,0.039922,3.832176,0.14776702544410492,0.167193,0.006446888735036239,0.026138,60
