analyze_sec,backend,buses,case_name,case_stem,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
1e-06,cpu,118,case118_ieee,,fp64,case118_ieee,0.001026,6.148233213186e-11,cpp_naive,5,pypower_like,1.00256361749,end2end,64,cpp_naive,53,4,0.001024,cpp_pypowerlike,True
1e-06,cpu,118,case118_ieee,,fp64,case118_ieee,0.001009,6.148233213186e-11,cpp_naive,5,pypower_like,1.00256361749,end2end,64,cpp_naive,53,5,0.001007,cpp_pypowerlike,True
1e-06,cpu,118,case118_ieee,,fp64,case118_ieee,0.001026,6.148233213186e-11,cpp_naive,5,pypower_like,1.00256361749,end2end,64,cpp_naive,53,6,0.001024,cpp_pypowerlike,True
1e-06,cpu,118,case118_ieee,,fp64,case118_ieee,0.001263,6.148233213186e-11,cpp_naive,5,pypower_like,1.00256361749,end2end,64,cpp_naive,53,7,0.001261,cpp_pypowerlike,True
1e-06,cpu,118,case118_ieee,,fp64,case118_ieee,0.001062,6.148233213186e-11,cpp_naive,5,pypower_like,1.00256361749,end2end,64,cpp_naive,53,8,0.00106,cpp_pypowerlike,True
1e-06,cpu,118,case118_ieee,,fp64,case118_ieee,0.001048,6.148233213186e-11,cpp_naive,5,pypower_like,1.00256361749,end2end,64,cpp_naive,53,9,0.001046,cpp_pypowerlike,True
0.000109,cpu,118,case118_ieee,,fp64,case118_ieee,0.000276,6.147611450104e-11,cpp,5,edge_based,1.00256361749,end2end,64,cpp,53,0,0.000167,cpu_fp64_edge,True
9.7e-05,cpu,118,case118_ieee,,fp64,case118_ieee,0.000256,6.147611450104e-11,cpp,5,edge_based,1.00256361749,end2end,64,cpp,53,1,0.000159,cpu_fp64_edge,True
8.7e-05,cpu,118,case118_ieee,,fp64,case118_ieee,0.000238,6.147611450104e-11,cpp,5,edge_based,1.00256361749,end2end,64,cpp,53,2,0.000151,cpu_fp64_edge,True
8e-05,cpu,118,case118_ieee,,fp64,case118_ieee,0.000228,6.147611450104e-11,cpp,5,edge_based,1.00256361749,end2end,64,cpp,53,3,0.000147,cpu_fp64_edge,True
7.9e-05,cpu,118,case118_ieee,,fp64,case118_ieee,0.000225,6.147611450104e-11,cpp,5,edge_based,1.00256361749,end2end,64,cpp,53,4,0.000146,cpu_fp64_edge,True
7.3e-05,cpu,118,case118_ieee,,fp64,case118_ieee,0.00023,6.147611450104e-11,cpp,5,edge_based,1.00256361749,end2end,64,cpp,53,5,0.000157,cpu_fp64_edge,True
