baseline_count_mean,baseline_ms_mean,baseline_sec_mean,case_name,delta_ms_mg_minus_baseline,measurement_mode,metric,mg_count_mean,mg_ms_mean,mg_sec_mean,profile,speedup_baseline_over_mg
1.0,10.316600000000001,0.0103166,case30_ieee,6.275499999999998,operators,NR.analyze.total.total_sec,1.0,16.5921,0.0165921,cuda_edge,0.6217778340294479
4.0,0.039700000000000006,3.97e-05,case30_ieee,0.0067,operators,NR.iteration.jacobian.total_sec,4.0,0.046400000000000004,4.64e-05,cuda_edge,0.8556034482758621
4.0,0.4929,0.0004929,case30_ieee,1.6425999999999996,operators,NR.iteration.linear_solve.total_sec,4.0,2.1355,0.0021355,cuda_edge,0.2308124560992742
5.0,0.0922,9.22e-05,case30_ieee,0.0161,operators,NR.iteration.mismatch.total_sec,5.0,0.10830000000000001,0.0001083,cuda_edge,0.8513388734995383
5.0,0.6916,0.0006916,case30_ieee,1.6739,operators,NR.iteration.total.total_sec,5.0,2.3655,0.0023655,cuda_edge,0.2923694779116466
4.0,0.0606,6.06e-05,case30_ieee,0.007799999999999993,operators,NR.iteration.voltage_update.total_sec,4.0,0.0684,6.84e-05,cuda_edge,0.8859649122807018
1.0,0.0153,1.53e-05,case30_ieee,0.0021999999999999993,operators,NR.solve.download.total_sec,1.0,0.017499999999999998,1.75e-05,cuda_edge,0.8742857142857143
1.0,0.7583,0.0007583,case30_ieee,1.6849999999999998,operators,NR.solve.total.total_sec,1.0,2.4433,0.0024433,cuda_edge,0.31035894077681825
1.0,0.047799999999999995,4.7799999999999996e-05,case30_ieee,0.009400000000000006,operators,NR.solve.upload.total_sec,1.0,0.0572,5.72e-05,cuda_edge,0.8356643356643356
,10.3176,0.0103176,case30_ieee,6.2755,operators,analyze_sec,,16.5931,0.0165931,cuda_edge,0.6218006279718679
,11.077200000000001,0.0110772,case30_ieee,7.9606,operators,elapsed_sec,,19.0378,0.0190378,cuda_edge,0.5818529451932472
,0.759,0.000759,case30_ieee,1.6852,operators,solve_sec,,2.4442,0.0024442,cuda_edge,0.31053105310531054
1.0,29.0452,0.0290452,case4601_goc,7.928900000000002,operators,CUDA.analyze.cudss32.analysis.total_sec,1.0,36.9741,0.0369741,cuda_edge,0.7855552941112832
1.0,1.6537,0.0016537,case4601_goc,0.26560000000000017,operators,CUDA.analyze.cudss32.setup.total_sec,1.0,1.9193,0.0019193,cuda_edge,0.8616162142447766
