algorithm,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
modified,0.013862,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.014649,7.197241760862e-12,cuda_edge_modified,3,edge_based,6.383030300776e-05,end2end,805,cuda_edge_modified,187,3,0.000786,cuda_mixed_edge_modified,True
modified,0.013748,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.014512,7.202021332226e-12,cuda_edge_modified,3,edge_based,6.38303029921e-05,end2end,805,cuda_edge_modified,187,4,0.000764,cuda_mixed_edge_modified,True
modified,0.013641,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.014413,7.226344657684e-12,cuda_edge_modified,3,edge_based,6.383030295463e-05,end2end,805,cuda_edge_modified,187,5,0.000771,cuda_mixed_edge_modified,True
modified,0.013821,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.014584,7.075799045821e-12,cuda_edge_modified,3,edge_based,6.383030299688e-05,end2end,805,cuda_edge_modified,187,6,0.000762,cuda_mixed_edge_modified,True
modified,0.014065,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.014828,7.015580801076e-12,cuda_edge_modified,3,edge_based,6.383030297754e-05,end2end,805,cuda_edge_modified,187,7,0.000762,cuda_mixed_edge_modified,True
modified,0.015309,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.01607,7.256705336444e-12,cuda_edge_modified,3,edge_based,6.383030297954e-05,end2end,805,cuda_edge_modified,187,8,0.000761,cuda_mixed_edge_modified,True
modified,0.013772,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.014534,7.080327060798e-12,cuda_edge_modified,3,edge_based,6.383030299958e-05,end2end,805,cuda_edge_modified,187,9,0.000762,cuda_mixed_edge_modified,True
standard,0.052393,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.054624,4.892309432148e-09,cuda_edge,4,edge_based,0.02916330893782,end2end,1608,cuda_edge,391,0,0.002231,cuda_mixed_edge,True
standard,0.020696,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.022933,3.260286898396e-09,cuda_edge,4,edge_based,0.02916330896667,end2end,1608,cuda_edge,391,1,0.002236,cuda_mixed_edge,True
standard,0.016256,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.018497,4.857046338186e-09,cuda_edge,4,edge_based,0.02916330896449,end2end,1608,cuda_edge,391,2,0.00224,cuda_mixed_edge,True
standard,0.016396,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.018614,3.503010126063e-09,cuda_edge,4,edge_based,0.0291633089879,end2end,1608,cuda_edge,391,3,0.002218,cuda_mixed_edge,True
standard,0.016172,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.018374,6.198976671246e-09,cuda_edge,4,edge_based,0.02916330896453,end2end,1608,cuda_edge,391,4,0.002202,cuda_mixed_edge,True
standard,0.016172,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.018389,3.248546334713e-09,cuda_edge,4,edge_based,0.02916330897076,end2end,1608,cuda_edge,391,5,0.002217,cuda_mixed_edge,True
standard,0.016197,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.018421,4.570827605691e-09,cuda_edge,4,edge_based,0.02916330892213,end2end,1608,cuda_edge,391,6,0.002224,cuda_mixed_edge,True
standard,0.015948,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.018158,5.973774073565e-09,cuda_edge,4,edge_based,0.02916330894676,end2end,1608,cuda_edge,391,7,0.002209,cuda_mixed_edge,True
standard,0.016286,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.018515,3.779851462413e-09,cuda_edge,4,edge_based,0.02916330898165,end2end,1608,cuda_edge,391,8,0.002228,cuda_mixed_edge,True
standard,0.016097,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.01831,2.65882096345e-09,cuda_edge,4,edge_based,0.0291633089229,end2end,1608,cuda_edge,391,9,0.002213,cuda_mixed_edge,True
modified,0.117508,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.119832,3.96023175731e-11,cuda_edge_modified,5,edge_based,0.02916330894729,end2end,1608,cuda_edge_modified,391,0,0.002323,cuda_mixed_edge_modified,True
modified,0.02238,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.024493,3.93475791054e-11,cuda_edge_modified,5,edge_based,0.02916330894723,end2end,1608,cuda_edge_modified,391,1,0.002113,cuda_mixed_edge_modified,True
modified,0.016232,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.018349,3.893176594994e-11,cuda_edge_modified,5,edge_based,0.02916330894723,end2end,1608,cuda_edge_modified,391,2,0.002117,cuda_mixed_edge_modified,True
modified,0.016007,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.018095,3.955028128879e-11,cuda_edge_modified,5,edge_based,0.02916330894728,end2end,1608,cuda_edge_modified,391,3,0.002088,cuda_mixed_edge_modified,True
