CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear.avg_sec,NR.iteration.linear.count,NR.iteration.linear.total_sec,NR.iteration.linear_factorize.avg_sec,NR.iteration.linear_factorize.count,NR.iteration.linear_factorize.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,algorithm,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.016797,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.018156,6.28682072721e-11,cuda_edge,4,edge_based,0.03058561719004,end2end,444,cuda_edge,55,2,0.001358,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.012506,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013531,7.507633532022e-11,cuda_edge,4,edge_based,0.03058561719003,end2end,444,cuda_edge,55,3,0.001025,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.01208,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013116,5.886339600701e-11,cuda_edge,4,edge_based,0.03058561718987,end2end,444,cuda_edge,55,4,0.001035,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.013595,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.014631,4.854254576604e-11,cuda_edge,4,edge_based,0.03058561718998,end2end,444,cuda_edge,55,5,0.001035,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.012223,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013249,7.610759299567e-11,cuda_edge,4,edge_based,0.03058561719003,end2end,444,cuda_edge,55,6,0.001026,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.012048,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013082,5.738893268481e-11,cuda_edge,4,edge_based,0.03058561718997,end2end,444,cuda_edge,55,7,0.001034,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.012137,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013176,7.372382500808e-11,cuda_edge,4,edge_based,0.03058561718993,end2end,444,cuda_edge,55,8,0.001039,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.01221,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013242,6.681522240755e-11,cuda_edge,4,edge_based,0.03058561718998,end2end,444,cuda_edge,55,9,0.001032,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modified,0.012796,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013865,1.927705062898e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,0,0.001069,cuda_mixed_edge_modified,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modified,0.01219,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.01325,1.933971154307e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,1,0.001059,cuda_mixed_edge_modified,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modified,0.012138,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013174,1.934797855923e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,2,0.001035,cuda_mixed_edge_modified,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modified,0.012271,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013324,1.931484473973e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,3,0.001053,cuda_mixed_edge_modified,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modified,0.012105,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013313,1.92918420529e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,4,0.001208,cuda_mixed_edge_modified,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modified,0.01217,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013204,1.92958590537e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,5,0.001033,cuda_mixed_edge_modified,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modified,0.012302,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013347,1.933033520733e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,6,0.001045,cuda_mixed_edge_modified,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modified,0.012126,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013169,1.928176667347e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,7,0.001042,cuda_mixed_edge_modified,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modified,0.012187,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013231,1.928316476085e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,8,0.001043,cuda_mixed_edge_modified,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modified,0.012103,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013152,1.939206406317e-11,cuda_edge_modified,5,edge_based,0.03058561718934,end2end,444,cuda_edge_modified,55,9,0.001048,cuda_mixed_edge_modified,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.014137,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.015244,2.865456802415e-12,cuda_edge,3,edge_based,6.383030323755e-05,end2end,805,cuda_edge,187,0,0.001107,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.013872,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.014979,4.615006992292e-12,cuda_edge,3,edge_based,6.383030325861e-05,end2end,805,cuda_edge,187,1,0.001106,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.013852,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.014952,1.951113748969e-12,cuda_edge,3,edge_based,6.383030321921e-05,end2end,805,cuda_edge,187,2,0.0011,cuda_mixed_edge,True
