case_name,delta_ms_modified_minus_standard,metric,modified_count_mean,modified_ms_mean,modified_runs_used,modified_sec_mean,speedup_standard_over_modified,standard_count_mean,standard_ms_mean,standard_runs_used,standard_sec_mean
case_ACTIVSg200,-0.0010138888888888884,CUDA.solve.rhsPrepare.total_sec,2.0,0.026875,8,2.6875e-05,1.0377260981912144,2.0,0.027888888888888887,9,2.7888888888888888e-05
case_ACTIVSg200,-0.002736111111111098,CUDA.solve.solve32.total_sec,2.0,0.152375,8,0.000152375,1.0179564305897364,2.0,0.1551111111111111,9,0.0001551111111111111
case_ACTIVSg2000,0.09045,NR.iteration.mismatch.total_sec,5.0,0.20975,8,0.00020975,0.5687723480333731,4.0,0.1193,10,0.0001193
case_ACTIVSg2000,-0.0063999999999999994,NR.iteration.jacobian.total_sec,2.0,0.027,8,2.7e-05,1.237037037037037,3.0,0.0334,10,3.34e-05
case_ACTIVSg2000,-0.07715000000000001,NR.iteration.linear.total_sec,4.0,1.63875,8,0.00163875,1.0470785659801678,3.0,1.7159,10,0.0017159
case_ACTIVSg2000,-0.3312999999999999,NR.iteration.linear_factorize.total_sec,2.0,0.809,8,0.000809,1.4095179233621753,3.0,1.1402999999999999,10,0.0011403
case_ACTIVSg2000,0.254275,NR.iteration.linear_solve.total_sec,4.0,0.828375,8,0.000828375,0.6930436094763845,3.0,0.5741,10,0.0005741
case_ACTIVSg2000,0.024675000000000002,NR.iteration.voltage_update.total_sec,4.0,0.084875,8,8.4875e-05,0.7092783505154638,3.0,0.0602,10,6.02e-05
case_ACTIVSg2000,0.01299999999999999,CUDA.solve.factorization32.total_sec,1.0,0.45199999999999996,8,0.000452,0.9712389380530974,1.0,0.439,10,0.000439
case_ACTIVSg2000,-0.344225,CUDA.solve.refactorization32.total_sec,1.0,0.356875,8,0.000356875,1.964553415061296,2.0,0.7011,10,0.0007011
case_ACTIVSg2000,0.06445,CUDA.solve.rhsPrepare.total_sec,4.0,0.11474999999999999,8,0.00011475,0.4383442265795207,3.0,0.050300000000000004,10,5.03e-05
case_ACTIVSg2000,0.18854999999999988,CUDA.solve.solve32.total_sec,4.0,0.70775,8,0.0007077499999999999,0.7335923701872131,3.0,0.5192,10,0.0005192
case_ACTIVSg25k,0.8343611111111112,NR.iteration.mismatch.total_sec,6.0,2.78625,8,0.00278625,0.7005433428044464,5.0,1.9518888888888888,9,0.0019518888888888889
case_ACTIVSg25k,-0.015305555555555555,NR.iteration.jacobian.total_sec,3.0,0.08125,8,8.125e-05,1.1883760683760685,4.0,0.09655555555555555,9,9.655555555555555e-05
case_ACTIVSg25k,0.47505555555555495,NR.iteration.linear.total_sec,5.0,8.5635,8,0.0085635,0.9445255379744784,4.0,8.088444444444445,9,0.008088444444444445
case_ACTIVSg25k,-1.1176805555555558,NR.iteration.linear_factorize.total_sec,3.0,3.560875,8,0.003560875,1.3138780652383348,4.0,4.678555555555556,9,0.004678555555555556
case_ACTIVSg25k,1.5934444444444447,NR.iteration.linear_solve.total_sec,5.0,5.001,8,0.005001,0.6813748361438823,4.0,3.4075555555555557,9,0.0034075555555555556
case_ACTIVSg25k,0.032541666666666656,NR.iteration.voltage_update.total_sec,5.0,0.15187499999999998,8,0.000151875,0.7857338820301784,4.0,0.11933333333333333,9,0.00011933333333333334
case_ACTIVSg25k,-0.001930555555555583,CUDA.solve.factorization32.total_sec,1.0,1.276625,8,0.001276625,1.0015122338631592,1.0,1.2785555555555557,9,0.0012785555555555556
case_ACTIVSg25k,-1.1155972222222224,CUDA.solve.refactorization32.total_sec,2.0,2.2836250000000002,8,0.002283625,1.488520322829809,3.0,3.3992222222222224,9,0.0033992222222222223
case_ACTIVSg25k,1.0191944444444443,CUDA.solve.rhsPrepare.total_sec,5.0,2.43175,8,0.00243175,0.5808802531327463,4.0,1.4125555555555556,9,0.0014125555555555556
case_ACTIVSg25k,0.5633749999999998,CUDA.solve.solve32.total_sec,5.0,2.502375,8,0.002502375,0.7748638793146512,4.0,1.939,9,0.001939
case_ACTIVSg500,0.02320000000000001,NR.iteration.mismatch.total_sec,5.0,0.12290000000000001,10,0.0001229,0.8112286411716843,4.0,0.0997,10,9.97e-05
case_ACTIVSg500,-0.011199999999999998,NR.iteration.jacobian.total_sec,2.0,0.0222,10,2.22e-05,1.5045045045045045,3.0,0.0334,10,3.34e-05
case_ACTIVSg500,-0.03390000000000001,NR.iteration.linear.total_sec,4.0,0.6845,10,0.0006845,1.0495252008765523,3.0,0.7184,10,0.0007184
case_ACTIVSg500,-0.11900000000000002,NR.iteration.linear_factorize.total_sec,2.0,0.3186,10,0.0003186,1.3735091023226618,3.0,0.4376,10,0.0004376
case_ACTIVSg500,0.0849,NR.iteration.linear_solve.total_sec,4.0,0.3642,10,0.0003642,0.7668863261943987,3.0,0.2793,10,0.0002793
case_ACTIVSg500,0.0197,NR.iteration.voltage_update.total_sec,4.0,0.0803,10,8.03e-05,0.7546699875466999,3.0,0.0606,10,6.06e-05
case_ACTIVSg500,-0.0016999999999999871,CUDA.solve.factorization32.total_sec,1.0,0.203,10,0.000203,1.0083743842364532,1.0,0.2047,10,0.0002047
case_ACTIVSg500,-0.117,CUDA.solve.refactorization32.total_sec,1.0,0.1155,10,0.0001155,2.012987012987013,2.0,0.2325,10,0.0002325
case_ACTIVSg500,0.010799999999999999,CUDA.solve.rhsPrepare.total_sec,4.0,0.047799999999999995,10,4.7799999999999996e-05,0.7740585774058577,3.0,0.037,10,3.7e-05
case_ACTIVSg500,0.0737,CUDA.solve.solve32.total_sec,4.0,0.3121,10,0.0003121,0.7638577379045177,3.0,0.2384,10,0.0002384
case_ACTIVSg70k,3.038333333333333,NR.iteration.mismatch.total_sec,12.0,7.750333333333333,9,0.007750333333333333,0.6079738505870715,7.125,4.712,8,0.004712
