case_name,metric,standard_sec_mean,modified_sec_mean,standard_ms_mean,modified_ms_mean,speedup_standard_over_modified,delta_ms_modified_minus_standard,standard_count_mean,modified_count_mean
Base_Texas_66GW,CUDA.solve.rhsPrepare.total_sec,0.0002877,0.0003595,0.2877,0.3595,0.800278164116829,0.07180000000000002,4.0,5.0
Base_Texas_66GW,CUDA.solve.solve32.total_sec,0.0011183,0.0013671,1.1183,1.3671,0.8180089239997075,0.24879999999999997,4.0,5.0
Base_West_Interconnect_121GW,NR.iteration.mismatch.total_sec,0.0005828,0.0005434999999999999,0.5828,0.5435,1.0723091076356945,-0.039300000000000036,5.8,5.4
Base_West_Interconnect_121GW,NR.iteration.jacobian.total_sec,0.0001093,5.5599999999999996e-05,0.1093,0.0556,1.9658273381294966,-0.053700000000000005,4.8,2.4
Base_West_Interconnect_121GW,NR.iteration.linear.total_sec,0.0077995,0.0050066,7.7995,5.0066,1.5578436463867695,-2.7929,4.8,4.4
Base_West_Interconnect_121GW,NR.iteration.linear_factorize.total_sec,0.0053391,0.0027312,5.3391,2.7312,1.9548550087873462,-2.6079000000000003,4.8,2.4
Base_West_Interconnect_121GW,NR.iteration.linear_solve.total_sec,0.0024572,0.0022737,2.4572000000000003,2.2737,1.0807054580639486,-0.18350000000000008,4.8,4.4
Base_West_Interconnect_121GW,NR.iteration.voltage_update.total_sec,0.00013989999999999999,0.0001288,0.1399,0.1288,1.0861801242236024,-0.011099999999999999,4.8,4.4
Base_West_Interconnect_121GW,CUDA.solve.factorization32.total_sec,0.0012082,0.0012071,1.2082,1.2071,1.0009112749565072,-0.0010999999999999725,1.0,1.0
Base_West_Interconnect_121GW,CUDA.solve.refactorization32.total_sec,0.0041302,0.0015238,4.130199999999999,1.5238,2.7104606903793145,-2.6063999999999994,3.8,1.4
Base_West_Interconnect_121GW,CUDA.solve.rhsPrepare.total_sec,0.0003237,0.0002965,0.3237,0.2965,1.0917369308600338,-0.02720000000000001,4.8,4.4
Base_West_Interconnect_121GW,CUDA.solve.solve32.total_sec,0.0020938,0.001944,2.0938,1.944,1.0770576131687242,-0.14979999999999985,4.8,4.4
MemphisCase2026_Mar7,NR.iteration.mismatch.total_sec,0.0001062,0.0001057,0.1062,0.10569999999999999,1.0047303689687797,-0.0005000000000000122,3.0,3.0
MemphisCase2026_Mar7,NR.iteration.jacobian.total_sec,2.6099999999999997e-05,1.31e-05,0.026099999999999998,0.0131,1.9923664122137403,-0.012999999999999998,2.0,1.0
MemphisCase2026_Mar7,NR.iteration.linear.total_sec,0.0008249,0.0006152,0.8249000000000001,0.6152,1.3408647594278285,-0.20970000000000005,2.0,2.0
MemphisCase2026_Mar7,NR.iteration.linear_factorize.total_sec,0.0005157,0.0003074,0.5157,0.3074,1.6776187378009109,-0.2083,2.0,1.0
MemphisCase2026_Mar7,NR.iteration.linear_solve.total_sec,0.0003079,0.0003072,0.3079,0.3072,1.0022786458333335,-0.000700000000000017,2.0,2.0
MemphisCase2026_Mar7,NR.iteration.voltage_update.total_sec,4.17e-05,4.13e-05,0.041699999999999994,0.0413,1.009685230024213,-0.00039999999999999617,2.0,2.0
MemphisCase2026_Mar7,CUDA.solve.factorization32.total_sec,0.0003073,0.0003073,0.30729999999999996,0.30729999999999996,1.0,0.0,1.0,1.0
MemphisCase2026_Mar7,CUDA.solve.refactorization32.total_sec,0.00020779999999999998,,0.20779999999999998,,,,1.0,
MemphisCase2026_Mar7,CUDA.solve.rhsPrepare.total_sec,4.21e-05,4.19e-05,0.0421,0.0419,1.0047732696897373,-0.00019999999999999809,2.0,2.0
MemphisCase2026_Mar7,CUDA.solve.solve32.total_sec,0.0002629,0.0002623,0.26289999999999997,0.2623,1.0022874571101792,-0.0006000000000000146,2.0,2.0
Texas7k_20220923,NR.iteration.mismatch.total_sec,0.0003617,0.0003987,0.3617,0.3987,0.907198394783045,0.03699999999999998,4.0,4.8
Texas7k_20220923,NR.iteration.jacobian.total_sec,5e-05,3.26e-05,0.05,0.0326,1.5337423312883436,-0.017400000000000002,3.0,2.0
Texas7k_20220923,NR.iteration.linear.total_sec,0.0028522,0.0023732,2.8522,2.3731999999999998,1.2018371818641498,-0.47900000000000026,3.0,3.8
Texas7k_20220923,NR.iteration.linear_factorize.total_sec,0.001788,0.0011779,1.788,1.1779,1.5179556838441295,-0.6101000000000001,3.0,2.0
Texas7k_20220923,NR.iteration.linear_solve.total_sec,0.0010622,0.0011937,1.0621999999999998,1.1937,0.8898383178353019,0.13150000000000012,3.0,3.8
Texas7k_20220923,NR.iteration.voltage_update.total_sec,6.53e-05,7.95e-05,0.0653,0.0795,0.8213836477987422,0.014199999999999992,3.0,3.8
Texas7k_20220923,CUDA.solve.factorization32.total_sec,0.0006574,0.0006372,0.6574000000000001,0.6372,1.0317011927181419,-0.020200000000000058,1.0,1.0
Texas7k_20220923,CUDA.solve.refactorization32.total_sec,0.0011302999999999999,0.0005405,1.1302999999999999,0.5405,2.0912118408880667,-0.5897999999999999,2.0,1.0
Texas7k_20220923,CUDA.solve.rhsPrepare.total_sec,0.00028179999999999997,0.0002458,0.28179999999999994,0.24580000000000002,1.146460537021969,-0.035999999999999956,3.0,3.8
Texas7k_20220923,CUDA.solve.solve32.total_sec,0.0007516,0.0009364,0.7515999999999999,0.9364,0.802648440837249,0.18480000000000005,3.0,3.8
case_ACTIVSg200,NR.iteration.mismatch.total_sec,7.99e-05,7.9e-05,0.0799,0.079,1.0113924050632912,-0.0009000000000000083,3.0,3.0
case_ACTIVSg200,NR.iteration.jacobian.total_sec,2.6099999999999997e-05,1.33e-05,0.026099999999999998,0.0133,1.962406015037594,-0.012799999999999997,2.0,1.0
case_ACTIVSg200,NR.iteration.linear.total_sec,0.0003991,0.0002926,0.3991,0.2926,1.3639781271360218,-0.10649999999999998,2.0,2.0
case_ACTIVSg200,NR.iteration.linear_factorize.total_sec,0.0002127,0.0001103,0.2127,0.1103,1.928377153218495,-0.10239999999999999,2.0,1.0
case_ACTIVSg200,NR.iteration.linear_solve.total_sec,0.0001848,0.0001817,0.1848,0.1817,1.0170610897083103,-0.0030999999999999943,2.0,2.0
case_ACTIVSg200,NR.iteration.voltage_update.total_sec,4.02e-05,3.99e-05,0.0402,0.0399,1.0075187969924813,-0.0003000000000000005,2.0,2.0
case_ACTIVSg200,CUDA.solve.factorization32.total_sec,0.0001095,0.0001101,0.1095,0.1101,0.9945504087193461,0.000600000000000001,1.0,1.0
case_ACTIVSg200,CUDA.solve.refactorization32.total_sec,0.0001031,,0.1031,,,,1.0,
case_ACTIVSg200,CUDA.solve.rhsPrepare.total_sec,2.7799999999999998e-05,2.69e-05,0.0278,0.0269,1.033457249070632,-0.0008999999999999981,2.0,2.0
case_ACTIVSg200,CUDA.solve.solve32.total_sec,0.0001551,0.0001527,0.15510000000000002,0.1527,1.0157170923379175,-0.002400000000000004,2.0,2.0
case_ACTIVSg2000,NR.iteration.mismatch.total_sec,0.0001193,0.0002094,0.1193,0.2094,0.5697230181470869,0.0901,4.0,5.0
case_ACTIVSg2000,NR.iteration.jacobian.total_sec,3.34e-05,2.7e-05,0.0334,0.027,1.237037037037037,-0.0063999999999999994,3.0,2.0
case_ACTIVSg2000,NR.iteration.linear.total_sec,0.0017159,0.0016393,1.7159,1.6393,1.046727261636064,-0.07660000000000002,3.0,4.0
