case	model	scope	fronts	phase3_fronts	tc_scalar_gate_fronts	real_mflop	padded_mflop	padded_over_real	output_tiles	mma_count	stage_elems_m	explicit_convert_elems_m	csc_mb
case6468rte	tf32_ptx	mid	48	9	0	0.301	0.418	1.39	102	102	0.008	0.000	0.000
case6468rte	tf32_ptx	big	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case8387pegase	fp16_wmma	all	7408	19	0	0.852	2.441	2.87	298	298	0.038	0.038	0.610
case8387pegase	fp16_wmma	mid	55	19	0	0.852	2.441	2.87	298	298	0.038	0.038	0.610
case8387pegase	fp16_wmma	big	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case8387pegase	tf32_wmma	all	7408	19	0	0.852	1.221	1.43	298	298	0.019	0.019	0.610
case8387pegase	tf32_wmma	mid	55	19	0	0.852	1.221	1.43	298	298	0.019	0.019	0.610
case8387pegase	tf32_wmma	big	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case8387pegase	tf32_ptx	all	7408	19	0	0.852	1.221	1.43	298	298	0.019	0.000	0.000
case8387pegase	tf32_ptx	mid	55	19	0	0.852	1.221	1.43	298	298	0.019	0.000	0.000
case8387pegase	tf32_ptx	big	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case9241pegase	fp16_wmma	all	8094	19	0	0.849	1.802	2.12	220	220	0.033	0.033	0.451
case9241pegase	fp16_wmma	mid	76	19	0	0.849	1.802	2.12	220	220	0.033	0.033	0.451
case9241pegase	fp16_wmma	big	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case9241pegase	tf32_wmma	all	8094	19	0	0.849	1.561	1.84	220	381	0.028	0.028	0.451
case9241pegase	tf32_wmma	mid	76	19	0	0.849	1.561	1.84	220	381	0.028	0.028	0.451
case9241pegase	tf32_wmma	big	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case9241pegase	tf32_ptx	all	8094	19	0	0.849	1.176	1.38	220	558	0.021	0.000	0.000
