case,n_bus,ybus_nnz,cudss_ok_runs,custom_ok_runs,cudss_converged_runs,custom_converged_runs,cudss_initialize_mean_ms,custom_initialize_mean_ms,initialize_custom_over_cudss,cudss_solve_mean_ms,custom_solve_mean_ms,solve_custom_over_cudss,cudss_total_mean_ms,custom_total_mean_ms,total_custom_over_cudss,status
case30Q,30,112,10,10,10,10,18.401065393118188,0.7604546030052006,0.04132666162306031,0.5280027980916202,0.4997669020667672,0.9465232075911207,18.929068191209808,1.2602215050719678,0.06657599266598783,ok
case30pwl,30,112,10,10,10,10,18.38305940036662,0.7531277951784432,0.04096857757873661,0.528345606289804,0.4965478030499071,0.9398162814995467,18.911405006656423,1.2496755982283503,0.06608052642246784,ok
case3120sp,3120,10488,10,10,10,10,40.77504440792836,8.537391887512058,0.20937786853402016,4.266498395008966,3.6032669129781425,0.8445489906180007,45.04154280293733,12.1406588004902,0.26954358232370457,ok
case3375wp,3374,11510,10,10,10,10,42.604101402685046,10.17127688974142,0.23873938317826823,1.7075733048841357,1.3765929092187434,0.8061691438260975,44.31167470756918,11.547869798960164,0.260605582505497,ok
case33bw,33,97,10,10,10,10,18.309424602193758,0.7144253002479672,0.03901953861304674,0.5032574001234025,0.4703165031969547,0.9345446347766165,18.81268200231716,1.184741803444922,0.06297569922773356,ok
case33mg,33,97,10,10,10,10,18.34864799748175,0.7766166934743524,0.04232555409973197,0.6365171051584184,0.6005619943607599,0.9435127343691574,18.985165102640167,1.3771786878351122,0.0725397266965877,ok
case34sa,34,100,10,10,10,10,18.337386689381674,0.7343453937210143,0.04004634936047018,0.5300817254465073,0.4881072964053601,0.9208151742907367,18.86746841482818,1.2224526901263744,0.06479155884875543,ok
case38si,38,112,10,10,10,10,18.391239101765677,0.7555725111160427,0.041083284651739584,0.6623135006520897,0.6180587981361896,0.9331816390994165,19.053552602417767,1.3736313092522323,0.07209318587012103,ok
case39,39,131,10,10,10,10,18.441958900075406,0.7763306144624949,0.04209588681272468,0.25770809152163565,0.25279069086536765,0.9809187184335841,18.69966699159704,1.0291213053278625,0.055034204929441395,ok
case4_dist,4,10,10,10,10,10,18.036484497133642,0.6647798931226134,0.03685750919078827,0.33903170260600746,0.3324365010485053,0.980546947359768,18.37551619973965,0.9972163941711187,0.05426875540972545,ok
case4gs,4,12,10,10,10,10,18.00576839596033,0.6681506056338549,0.03710758635459052,0.37877710419707,0.3452089964412153,0.9113776746696127,18.3845455001574,1.0133596020750701,0.0551201878809783,ok
case5,5,17,10,10,10,10,18.029321392532438,0.6532255909405649,0.03623129105741741,0.3678427019622177,0.3409721946809441,0.9269510931223163,18.397164094494656,0.994197785621509,0.054040817406146975,ok
case51ga,51,151,10,10,10,10,18.599034496583045,0.8019203960429877,0.04311623789881749,0.6899614061694592,0.627510400954634,0.9094862340756972,19.288995902752504,1.4294307969976217,0.07410602419142225,ok
case51he,51,151,10,10,10,10,18.52264009648934,0.792768393876031,0.0427999674855361,0.5581534060183913,0.5164581001736224,0.9252977668949404,19.08079350250773,1.3092264940496534,0.06861488720988389,ok
case533mt_hi,533,1597,10,10,10,10,22.148043697234243,1.6298833128530532,0.07359039629565957,0.8063766930717975,0.719951797509566,0.8928231727122394,22.95442039030604,2.349835110362619,0.1023696120575968,ok
case533mt_lo,533,1597,10,10,10,10,22.143867815611884,1.6151178919244558,0.07293747891620651,0.8062623965088278,0.725835602497682,0.9002473706334322,22.950130212120712,2.3409534944221377,0.10200175218116209,ok
case57,57,213,10,10,10,10,18.823258916381747,0.8461021934635937,0.044949824959759604,0.6485125981271267,0.5956066946964711,0.9184196211708989,19.471771514508873,1.4417088881600648,0.07404097193138352,ok
case59,59,207,10,10,10,10,18.68956409743987,0.7761972781736404,0.04153105305864064,1.004617300350219,0.8491247077472508,0.8452220636168997,19.69418139779009,1.6253219859208912,0.08252802962926252,ok
case60nordic,60,204,10,10,10,10,18.78542380873114,0.846614217152819,0.045067613367302764,0.282993505243212,0.269071280490607,0.9508037304932498,19.06841731397435,1.115685497643426,0.05850960146680828,ok
case6468rte,6468,22598,10,10,10,10,64.72390100243501,18.03615699755028,0.278663008845399,3.1500585027970374,2.800761704565957,0.8891141869521063,67.87395950523205,20.836918702116236,0.306994300229531,ok
case6470rte,6470,22602,10,10,10,10,65.05405780044384,17.721511400304735,0.27241208311195964,3.1224034959450364,2.7557338995393366,0.8825681572282756,68.17646129638888,20.47724529984407,0.3003565293719446,ok
case6495rte,6495,22663,10,10,10,10,62.807322811568156,17.801728600170463,0.2834339660293824,2.202298794873059,2.0159133069682866,0.9153677564830546,65.00962160644121,19.81764190713875,0.30484167446954036,ok
case6515rte,6515,22723,10,10,10,10,63.075101195136085,18.079276202479377,0.28663095040541176,3.359396895393729,2.771355101140216,0.8249561416634597,66.43449809052981,20.850631303619593,0.3138524697696457,ok
case69,69,205,10,10,10,10,18.612105690408498,0.7729238888714463,0.0415280195442777,0.7556375057902187,0.6721019104588777,0.8894501732758984,19.367743196198717,1.445025799330324,0.07460992149121108,ok
case6ww,6,28,10,10,10,10,18.02467350498773,0.6470027903560549,0.03589539584043053,0.4073657968547195,0.35608860198408365,0.8741249381598842,18.43203930184245,1.0030913923401386,0.05442107495071749,ok
