case,backend,n_bus,ybus_nnz,n_pv,n_pq,runs,ok_runs,converged_runs,initialize_mean_ms,initialize_median_ms,initialize_min_ms,initialize_max_ms,initialize_std_ms,solve_mean_ms,solve_median_ms,solve_min_ms,solve_max_ms,solve_std_ms,total_mean_ms,total_median_ms,final_mismatch_median,iterations_median,first_error
case1354pegase,cudss,1354,4774,259,1094,10,10,10,29.775575088569894,29.745769483270124,29.710387985687703,29.87987600499764,0.05853072863269742,1.9622916064690799,1.9555515318643302,1.9447659724391997,1.998856954742223,0.01948722499645972,31.737866695038974,31.705908477306366,3.6130289376086452e-12,5.0,
case1354pegase,custom,1354,4774,259,1094,10,10,10,4.409376397961751,4.372652474557981,4.337822028901428,4.505185992456973,0.06881355361925152,1.713701500557363,1.71090749790892,1.705317001324147,1.7228489741683006,0.006573716809381995,6.123077898519114,6.093548494391143,3.345580727501487e-12,5.0,
case13659pegase,cudss,13659,50909,4091,9567,10,10,10,108.60187401412986,108.213131519733,108.00869297236204,110.90197699377313,0.8986666757443647,9.025467885658145,8.995358482934535,8.98168800631538,9.129344951361418,0.05624339736055831,117.62734189978801,117.21226701047271,2.2891730312463816e-09,6.0,
case13659pegase,custom,13659,50909,4091,9567,10,10,10,43.28408322180621,43.144192022737116,42.52386902226135,44.74230803316459,0.6563129640132424,7.657906092936173,7.696503482293338,6.986587017308921,8.256617991719395,0.34837110836414953,50.941989314742386,50.890113023342565,2.28917571660965e-09,6.0,
case136ma,cudss,136,406,0,135,10,10,10,18.936324008973315,18.910366023192182,18.864054000005126,19.09719198010862,0.07524958680585234,0.7093796040862799,0.710316002368927,0.6913960096426308,0.7264820160344243,0.013459194687151784,19.645703613059595,19.63292053551413,6.415079569860717e-13,5.0,
case136ma,custom,136,406,0,135,10,10,10,0.8051983895711601,0.8116664830595255,0.7689620251767337,0.8312079589813948,0.021658166514757767,0.5865686049219221,0.5850119632668793,0.5749069969169796,0.6097930017858744,0.009847319716736067,1.3917669944930822,1.3997789938002825,8.98120563765555e-13,5.0,
case14,cudss,14,54,4,9,10,10,10,18.19108580239117,18.18046800326556,18.15526600694284,18.27549102017656,0.038272212843255965,0.33960260334424675,0.33624997013248503,0.3337759990245104,0.37042400799691677,0.01097698278617943,18.530688405735418,18.516618001740426,1.3158059364304364e-10,3.0,
case14,custom,14,54,4,9,10,10,10,0.6893843819852918,0.6727314612362534,0.6556889857165515,0.768902013078332,0.03751546884804808,0.3048806160222739,0.30278752092272043,0.2971370122395456,0.3206609981134534,0.006766757628145739,0.9942649980075657,0.9764810092747211,1.3158066303198268e-10,3.0,
case141,cudss,141,421,0,140,10,10,10,19.21056979917921,19.188963487977162,19.166712008882314,19.343283027410507,0.053970864447608326,0.6539059977512807,0.6538260204251856,0.6481650052592158,0.6646059919148684,0.005331883815074881,19.864475796930492,19.840680004563183,2.1160002085001036e-09,4.0,
case141,custom,141,421,0,140,10,10,10,0.8932505152188241,0.8815525216050446,0.8406559936702251,0.9491990203969181,0.041743007819422376,0.6281598936766386,0.6270860030781478,0.6146630039438605,0.6423739832825959,0.009577720424180938,1.5214104088954628,1.5173800056800246,2.1160002085183545e-09,4.0,
case145,cudss,145,989,49,95,10,10,10,19.73469650838524,19.741358992177993,19.675415998790413,19.797234039288014,0.042843475645960964,0.7824086933396757,0.7815599674358964,0.7734600221738219,0.7961330120451748,0.008153690005671432,20.517105201724917,20.515911019174382,7.834856628843044e-12,4.0,
case145,custom,145,989,49,95,10,10,10,1.0749821143690497,1.0590250021778047,0.9900560253299773,1.1757740285247564,0.06139613829795822,0.7593035814352334,0.759769493015483,0.7445559604093432,0.7749319775030017,0.010046189212764784,1.834285695804283,1.822872000047937,7.757144574015627e-12,4.0,
case15da,cudss,15,43,0,14,10,10,10,18.21857929462567,18.226664484245703,18.1220939848572,18.327369005419314,0.07040344175548945,0.4779148905072361,0.476182991405949,0.47008099500089884,0.4903589724563062,0.005688691362153942,18.696494185132906,18.70565247372724,3.2046892917136915e-10,4.0,
case15da,custom,15,43,0,14,10,10,10,0.7149142911657691,0.7118444482330233,0.6430749781429768,0.7901909993961453,0.05991493748450432,0.40730240871198475,0.40429801447317004,0.39883702993392944,0.4296050174161792,0.009971697518462684,1.1222166998777539,1.115235994802788,3.20469012438096e-10,4.0,
case15nbr,cudss,15,43,0,14,10,10,10,18.20530121331103,18.199262995040044,18.151908996514976,18.298684037290514,0.04311688693528079,0.4902301880065352,0.48932197387330234,0.4793690168298781,0.5076620145700872,0.007739810137719105,18.695531401317567,18.68538447888568,2.1001256289565617e-13,4.0,
case15nbr,custom,15,43,0,14,10,10,10,0.7098966103512794,0.6956139986868948,0.6644059903919697,0.8083350257948041,0.044727373961177624,0.4215794906485826,0.4197320085950196,0.40808500489220023,0.4332619719207287,0.007599449822380452,1.131476100999862,1.116884028306231,2.101233683576842e-13,4.0,
