case,backend,repeat,status,initialize_ms,solve_ms,total_ms,iterations,final_mismatch,converged,n_bus,ybus_nnz,n_pv,n_pq,error
case51ga,cudss,2,ok,18.541319004725665,0.685695034917444,19.22701403964311,5,1.8138962554203886e-13,True,51,151,0,50,
case51ga,custom,2,ok,0.7489839917980134,0.6300410022959113,1.3790249940939248,5,1.8164636461648342e-13,True,51,151,0,50,
case51ga,cudss,3,ok,18.623062991537154,0.6891519878990948,19.31221497943625,5,1.816255479347717e-13,True,51,151,0,50,
case51ga,custom,3,ok,0.9115589782595634,0.638317025732249,1.5498760039918125,5,2.8142072006076546e-13,True,51,151,0,50,
case51ga,cudss,4,ok,18.530528992414474,0.6900539738126099,19.220582966227084,5,1.2730441700803397e-13,True,51,151,0,50,
case51ga,custom,4,ok,0.8142259903252125,0.6300510140135884,1.444277004338801,5,1.8164636461648342e-13,True,51,151,0,50,
case51ga,cudss,5,ok,18.52178300032392,0.6814270163886249,19.203210016712546,5,1.816255479347717e-13,True,51,151,0,50,
case51ga,custom,5,ok,0.7510380237363279,0.619030965026468,1.370068988762796,5,1.8164636461648342e-13,True,51,151,0,50,
case51ga,cudss,6,ok,18.772292009089142,0.712775974534452,19.485067983623594,5,2.048500258311492e-13,True,51,151,0,50,
case51ga,custom,6,ok,0.8621769957244396,0.6268649594858289,1.4890419552102685,5,2.8142072006076546e-13,True,51,151,0,50,
case51ga,cudss,7,ok,18.63115798914805,0.6814880180172622,19.312646007165313,5,2.347323724283257e-13,True,51,151,0,50,
case51ga,custom,7,ok,0.8095569792203605,0.6326360162347555,1.442192995455116,5,1.8164636461648342e-13,True,51,151,0,50,
case51ga,cudss,8,ok,18.52516899816692,0.6834110245108604,19.20858002267778,5,3.3150565625916784e-13,True,51,151,0,50,
case51ga,custom,8,ok,0.7727890042588115,0.6211340078152716,1.393923012074083,5,1.8164636461648342e-13,True,51,151,0,50,
case51ga,cudss,9,ok,18.516483018174767,0.6990099791437387,19.215492997318506,5,2.3480176136736475e-13,True,51,151,0,50,
case51ga,custom,9,ok,0.7612369954586029,0.6215760367922485,1.3828130322508514,5,1.8164636461648342e-13,True,51,151,0,50,
case51ga,cudss,10,ok,18.794623960275203,0.7020360208116472,19.49665998108685,5,1.815665673365885e-13,True,51,151,0,50,
case51ga,custom,10,ok,0.849311996717006,0.6311429897323251,1.480454986449331,5,2.8142072006076546e-13,True,51,151,0,50,
case51he,cudss,1,ok,18.494462012313306,0.5442100227810442,19.03867203509435,4,2.252926742660181e-11,True,51,151,0,50,
case51he,custom,1,ok,0.7362699834629893,0.5001980462111533,1.2364680296741426,4,2.2809687224676207e-11,True,51,151,0,50,
case51he,cudss,2,ok,18.55967298615724,0.5507030291482806,19.11037601530552,4,2.2754258829253784e-11,True,51,151,0,50,
case51he,custom,2,ok,0.7446059607900679,0.4972920287400484,1.2418979895301163,4,2.2809687224676207e-11,True,51,151,0,50,
case51he,cudss,3,ok,18.47591600380838,0.5605010082945228,19.036417012102902,4,2.2754258829253784e-11,True,51,151,0,50,
case51he,custom,3,ok,0.7620489923283458,0.5210369708947837,1.2830859632231295,4,2.275098100829273e-11,True,51,151,0,50,
case51he,cudss,4,ok,18.50085298065096,0.5746969836764038,19.075549964327365,4,2.252926742660181e-11,True,51,151,0,50,
case51he,custom,4,ok,0.7620679680258036,0.5154359969310462,1.2775039649568498,4,2.2809687224676207e-11,True,51,151,0,50,
case51he,cudss,5,ok,18.521851976402104,0.5562729784287512,19.078124954830855,4,2.26988304338311e-11,True,51,151,0,50,
case51he,custom,5,ok,0.781575043220073,0.5187029601074755,1.3002780033275485,4,2.2809687224676207e-11,True,51,151,0,50,
case51he,cudss,6,ok,18.5256699915044,0.560179993044585,19.085849984548986,4,2.252926742660181e-11,True,51,151,0,50,
