case_name,ms_mean,ms_stdev,operator,operator_short,runs,scope,sec_mean,sec_stdev,share,success_all
case118_ieee,0.11614188551902771,0.0034581986641721418,runpf.build_Sbus,build_Sbus,10,runpf,0.0001161418855190277,3.4581986641721417e-06,0.010768527738891025,True
case118_ieee,8.92686527222395,0.08686605250393145,runpf.newtonpf,newtonpf,10,runpf,0.008926865272223949,8.686605250393145e-05,0.827687581234744,True
case118_ieee,0.011222250759601593,0.00023697429250662698,newtonpf.init_index,init_index,10,newtonpf,1.1222250759601592e-05,2.3697429250662696e-07,0.0012654357899241745,True
case118_ieee,0.1752389594912529,0.0029399663927369966,newtonpf.mismatch,mismatch,10,newtonpf,0.0001752389594912529,2.9399663927369965e-06,0.019760176089415472,True
case118_ieee,7.596657797694206,0.07945674645909394,newtonpf.jacobian,jacobian,10,newtonpf,0.007596657797694206,7.945674645909394e-05,0.8566091479272994,True
case118_ieee,1.004021055996418,0.016073833279338583,newtonpf.solve,solve,10,newtonpf,0.001004021055996418,1.6073833279338583e-05,0.11321473787317478,True
case118_ieee,0.08114930242300034,0.0005936136089101393,newtonpf.update_voltage,update_voltage,10,newtonpf,8.114930242300033e-05,5.936136089101393e-07,0.00915050232018615,True
case793_goc,0.3038965165615082,0.0032678313361498403,runpf.load_case_data,load_case_data,10,runpf,0.0003038965165615082,3.26783133614984e-06,0.013760227986017387,True
case793_goc,0.9744400158524513,0.002959384130375035,runpf.bus_indexing,bus_indexing,10,runpf,0.0009744400158524513,2.9593841303750347e-06,0.04412198247133992,True
case793_goc,1.590404286980629,0.01093721235640272,runpf.build_Ybus,build_Ybus,10,runpf,0.001590404286980629,1.093721235640272e-05,0.07201242655364075,True
case793_goc,0.129706971347332,0.005301453095583168,runpf.build_Sbus,build_Sbus,10,runpf,0.000129706971347332,5.301453095583168e-06,0.005873043617970766,True
case793_goc,19.086688943207264,0.11366703681434376,runpf.newtonpf,newtonpf,10,runpf,0.019086688943207263,0.00011366703681434376,0.8642323193710312,True
case793_goc,0.0119747593998909,0.0001948509441445675,newtonpf.init_index,init_index,10,newtonpf,1.1974759399890899e-05,1.9485094414456752e-07,0.0006297049974749699,True
case793_goc,0.2440793439745903,0.005537608870315579,newtonpf.mismatch,mismatch,10,newtonpf,0.0002440793439745903,5.5376088703155786e-06,0.012835162490413965,True
case793_goc,11.049513518810272,0.07071850716819021,newtonpf.jacobian,jacobian,10,newtonpf,0.011049513518810273,7.071850716819021e-05,0.5810499944178805,True
case793_goc,7.502757012844086,0.05739092632590151,newtonpf.solve,solve,10,newtonpf,0.007502757012844086,5.739092632590151e-05,0.3945401680363902,True
case793_goc,0.20813457667827606,0.0013053028322047768,newtonpf.update_voltage,update_voltage,10,newtonpf,0.00020813457667827605,1.305302832204777e-06,0.010944970057840316,True
case1354_pegase,0.5475496873259544,0.267622616303347,runpf.load_case_data,load_case_data,10,runpf,0.0005475496873259544,0.00026762261630334697,0.013934579483066343,True
case1354_pegase,0.9054198861122131,0.06740620611875175,runpf.bus_indexing,bus_indexing,10,runpf,0.0009054198861122131,6.740620611875176e-05,0.02304200999583233,True
case1354_pegase,2.314896509051323,0.03432603374934723,runpf.build_Ybus,build_Ybus,10,runpf,0.002314896509051323,3.4326033749347226e-05,0.05891174837114996,True
case1354_pegase,0.15335362404584885,0.038503966387061155,runpf.build_Sbus,build_Sbus,10,runpf,0.00015335362404584886,3.8503966387061154e-05,0.003902692874721805,True
case1354_pegase,35.37309039384127,3.1471569597251112,runpf.newtonpf,newtonpf,10,runpf,0.03537309039384127,0.0031471569597251114,0.9002089692752295,True
case1354_pegase,0.012340396642684937,0.00013118923602446297,newtonpf.init_index,init_index,10,newtonpf,1.2340396642684936e-05,1.3118923602446298e-07,0.0003499066920769246,True
case1354_pegase,0.4262946546077728,0.2245637022177002,newtonpf.mismatch,mismatch,10,newtonpf,0.00042629465460777285,0.0002245637022177002,0.012087403408730872,True
case1354_pegase,17.8162494674325,1.0660461553062766,newtonpf.jacobian,jacobian,10,newtonpf,0.017816249467432498,0.0010660461553062765,0.505172167222189,True
case1354_pegase,16.582586243748665,1.6835596550662972,newtonpf.solve,solve,10,newtonpf,0.016582586243748663,0.0016835596550662973,0.4701921718269806,True
case1354_pegase,0.4302075132727623,0.12525532752664464,newtonpf.update_voltage,update_voltage,10,newtonpf,0.0004302075132727623,0.00012525532752664465,0.012198350850022605,True
case2746wop_k,0.4892129451036453,0.023908428279197765,runpf.load_case_data,load_case_data,10,runpf,0.0004892129451036453,2.3908428279197763e-05,0.008908376294854643,True
case2746wop_k,1.3236334547400475,0.018402174862216132,runpf.bus_indexing,bus_indexing,10,runpf,0.0013236334547400475,1.8402174862216132e-05,0.024102847255574256,True
case2746wop_k,3.293685056269169,0.020892076083447637,runpf.build_Ybus,build_Ybus,10,runpf,0.0032936850562691688,2.0892076083447637e-05,0.059976716012224374,True
case2746wop_k,0.1653255894780159,0.007007339611574656,runpf.build_Sbus,build_Sbus,10,runpf,0.0001653255894780159,7.0073396115746556e-06,0.0030105142903093076,True
case2746wop_k,49.6442049741745,0.1377932851465326,runpf.newtonpf,newtonpf,10,runpf,0.0496442049741745,0.0001377932851465326,0.9040015461470374,True
case2746wop_k,0.012731552124023438,0.0002478505064220132,newtonpf.init_index,init_index,10,newtonpf,1.2731552124023437e-05,2.4785050642201317e-07,0.0002569027591823145,True
case2746wop_k,0.36691632121801376,0.0034119908388740797,newtonpf.mismatch,mismatch,10,newtonpf,0.0003669163212180138,3.4119908388740797e-06,0.007403796048721154,True
case2746wop_k,20.440838113427162,0.08660275867039897,newtonpf.jacobian,jacobian,10,newtonpf,0.020440838113427163,8.660275867039897e-05,0.41246406252617457,True
case2746wop_k,28.205332905054092,0.12605047687365598,newtonpf.solve,solve,10,newtonpf,0.028205332905054094,0.000126050476873656,0.5691393929332024,True
case2746wop_k,0.5320455878973007,0.004261554697803065,newtonpf.update_voltage,update_voltage,10,newtonpf,0.0005320455878973007,4.2615546978030655e-06,0.010735845732719521,True
