measurement_mode,case_name,nd_label,elapsed_ms_mean,analyze_ms_mean,solve_ms_mean,elapsed_ratio_vs_baseline,elapsed_speedup_vs_baseline,analyze_ratio_vs_baseline,solve_ratio_vs_baseline,runs,success_all
end2end,case8387_pegase,nd_8,46.7624,40.4564,6.3054,0.8690312916977949,1.1507065505619898,0.8471444545420281,1.0416983314059145,10,True
end2end,case8387_pegase,nd_9,50.022000000000006,44.0582,5.9631,0.9296076179432,1.075722682019911,0.9225650282057618,0.985147860565009,10,True
end2end,case8387_pegase,nd_10,53.76390000000001,47.7975,5.9661,0.9991469955286956,1.0008537327091225,1.0008648091766095,0.9856434825706262,10,True
end2end,case8387_pegase,nd_11,57.2109,51.460499999999996,5.7503,1.0632059587658755,0.9405515382558218,1.0775668918381278,0.9499917396332397,10,True
end2end,case9241_pegase,auto,59.2833,52.1002,7.1826,1.0,1.0,1.0,1.0,10,True
end2end,case9241_pegase,nd_8,52.6984,44.6035,8.0944,0.8889248742900615,1.1249544578203512,0.8561099573514113,1.1269456742683708,10,True
end2end,case9241_pegase,nd_9,57.4801,49.130399999999995,8.3491,0.9695833396588922,1.031370857044438,0.9429982994307123,1.162406370952023,10,True
end2end,case9241_pegase,nd_10,61.1735,52.8577,8.3154,1.0318841899826765,0.9691009996158467,1.0145392915958096,1.157714476651909,10,True
end2end,case9241_pegase,nd_11,62.7012,55.8672,6.8335,1.057653673125484,0.9454890815486785,1.0723029854012076,0.9513964302620221,10,True
operators,case30_ieee,auto,11.029499999999999,10.270299999999999,0.7586,1.0,1.0,1.0,1.0,10,True
operators,case30_ieee,nd_8,10.952399999999999,10.2056,0.7466,0.9930096559227526,1.0070395529746905,0.9937002813939224,0.9841813867650936,10,True
operators,case30_ieee,nd_9,10.975999999999999,10.2241,0.7514000000000001,0.9951493721383563,1.0048742711370262,0.995501591969076,0.9905088320590563,10,True
operators,case30_ieee,nd_10,11.2928,10.4486,0.8438,1.0238723423545946,0.9766842589968828,1.0173607392189128,1.1123121539678356,10,True
operators,case30_ieee,nd_11,11.0841,10.331999999999999,0.7516,1.0049503603971168,0.9950740249546648,1.0060076141884853,0.9907724756129713,10,True
operators,case118_ieee,auto,11.5725,10.717600000000001,0.8542000000000001,1.0,1.0,1.0,1.0,10,True
operators,case118_ieee,nd_8,11.518,10.6568,0.8608,0.9952905595160942,1.0047317242576836,0.9943270881540643,1.0077265277452587,10,True
operators,case118_ieee,nd_9,11.5268,10.6694,0.8569,0.996050982933679,1.0039646736301489,0.9955027244905574,1.003160852259424,10,True
operators,case118_ieee,nd_10,11.899,10.9343,0.9644,1.0282134370274358,0.9725607193881839,1.0202190788982608,1.1290095996253804,10,True
operators,case118_ieee,nd_11,11.6709,10.8135,0.8569,1.00850291639663,0.9915687736164306,1.0089478987833096,1.003160852259424,10,True
operators,case793_goc,auto,15.501299999999999,14.0172,1.4838,1.0,1.0,1.0,1.0,10,True
operators,case793_goc,nd_8,14.8706,13.284799999999999,1.585,0.959313089869882,1.0424125455596949,0.9477499072567988,1.0682032618951343,10,True
operators,case793_goc,nd_9,15.823,13.923599999999999,1.8988,1.020753098127254,0.9796688365038235,0.9933224895128842,1.2796872893921014,10,True
operators,case793_goc,nd_10,15.953999999999999,14.2469,1.7064000000000001,1.029204002244973,0.9716246709289206,1.0163870102445567,1.1500202183582693,10,True
operators,case793_goc,nd_11,15.653699999999999,14.1321,1.5211000000000001,1.0098314334926748,0.9902642825657831,1.0081970721684788,1.025138158781507,10,True
operators,case1354_pegase,auto,18.9556,16.8414,2.1134999999999997,1.0,1.0,1.0,1.0,10,True
operators,case1354_pegase,nd_8,17.5102,15.464699999999999,2.045,0.9237481272025154,1.082546173087686,0.9182550144287293,0.9675893068370003,10,True
operators,case1354_pegase,nd_9,18.088800000000003,16.0466,2.0417,0.9542720884593472,1.0479191543938788,0.9528067737836523,0.9660279157795127,10,True
operators,case1354_pegase,nd_10,19.349800000000002,16.9954,2.3538,1.0207959653084049,0.9796276964102988,1.0091441329105657,1.113697657913414,10,True
operators,case1354_pegase,nd_11,19.127200000000002,17.1674,1.9594999999999998,1.009052733756779,0.9910284829980341,1.0193570605769116,0.9271350839839129,10,True
operators,case2746wop_k,auto,24.7055,22.3755,2.3294,1.0,1.0,1.0,1.0,10,True
operators,case2746wop_k,nd_8,23.042099999999998,20.6707,2.3709,0.9326708627633522,1.072189600774235,0.9238095238095239,1.0178157465441744,10,True
operators,case2746wop_k,nd_9,23.8487,21.4834,2.3648000000000002,0.9653194632774078,1.0359264865590159,0.9601304998770978,1.0151970464497295,10,True
operators,case2746wop_k,nd_10,25.3833,22.719199999999997,2.6637000000000004,1.0274351864969338,0.9732974041988238,1.0153605506022212,1.1435133510775306,10,True
operators,case2746wop_k,nd_11,27.2082,24.5114,2.6966,1.1013013296634353,0.9080167008475386,1.0954570847578824,1.1576371597836352,10,True
operators,case4601_goc,auto,36.5397,32.3325,4.2066,1.0,1.0,1.0,1.0,10,True
operators,case4601_goc,nd_8,33.2594,28.8669,4.392,0.9102264112732179,1.0986277563636144,0.8928137323126885,1.0440735986307232,10,True
operators,case4601_goc,nd_9,34.732800000000005,30.4765,4.2557,0.9505496761057152,1.0520228717523494,0.9425964586716152,1.0116721342652024,10,True
operators,case4601_goc,nd_10,37.410399999999996,32.6232,4.7867999999999995,1.0238288765370267,0.9767257233282725,1.008990953375087,1.1379261161032663,10,True
operators,case4601_goc,nd_11,38.8375,34.490399999999994,4.3464,1.0628850264233147,0.9408355326681688,1.0667408953839015,1.0332334902296394,10,True
operators,case8387_pegase,auto,53.9607,47.8503,6.11,1.0,1.0,1.0,1.0,10,True
operators,case8387_pegase,nd_8,46.991400000000006,40.5111,6.479900000000001,0.870844892671889,1.1483101163191562,0.8466216512749137,1.0605400981996727,10,True
operators,case8387_pegase,nd_9,50.194,44.087300000000006,6.1062,0.9301954941281341,1.0750428338048372,0.9213589047508585,0.9993780687397709,10,True
operators,case8387_pegase,nd_10,55.709500000000006,48.5301,7.1789000000000005,1.032408771568938,0.9686085856092767,1.0142068074808308,1.1749427168576105,10,True
operators,case8387_pegase,nd_11,57.29,51.3739,5.915699999999999,1.0616986065784915,0.9418868912550183,1.073637991820323,0.9681996726677576,10,True
operators,case9241_pegase,auto,59.502,52.159400000000005,7.3423,1.0,1.0,1.0,1.0,10,True
operators,case9241_pegase,nd_8,52.9267,44.6241,8.302200000000001,0.8894944707740916,1.1242340822307078,0.8555332308270417,1.1307356005611322,10,True
operators,case9241_pegase,nd_9,55.7618,48.4773,7.2839,0.9371416086854224,1.0670745922836062,0.9294067799859661,0.9920460891001458,10,True
operators,case9241_pegase,nd_10,61.4846,52.9005,8.583799999999998,1.0333198884071124,0.967754527149888,1.0142083689612995,1.1690887051741279,10,True
operators,case9241_pegase,nd_11,62.982,55.9544,7.0268,1.058485429061208,0.9447461179384586,1.07275773877767,0.957029813546164,10,True
