case_name,nd_label,runs,cudss_analysis_ms,cudss_analysis_ms_ratio_vs_baseline,cudss_analysis_ms_speedup_vs_baseline,cudss_setup_ms,cudss_setup_ms_ratio_vs_baseline,cudss_setup_ms_speedup_vs_baseline,cudss_factorization_ms,cudss_factorization_ms_ratio_vs_baseline,cudss_factorization_ms_speedup_vs_baseline,cudss_refactorization_ms,cudss_refactorization_ms_ratio_vs_baseline,cudss_refactorization_ms_speedup_vs_baseline,cudss_solve_ms,cudss_solve_ms_ratio_vs_baseline,cudss_solve_ms_speedup_vs_baseline,nr_analyze_linear_solve_ms,nr_analyze_linear_solve_ms_ratio_vs_baseline,nr_analyze_linear_solve_ms_speedup_vs_baseline,nr_iteration_linear_solve_ms,nr_iteration_linear_solve_ms_ratio_vs_baseline,nr_iteration_linear_solve_ms_speedup_vs_baseline
case4601_goc,nd_10,10,28.9801,1.003024985549983,0.9969841373908302,1.6561000000000001,1.033254304966309,0.9678159531429261,0.5839,1.0534006855493414,0.9493063880801508,0.462375,1.0251080811439972,0.9755068937550689,0.22058,1.0261443989579455,0.9745217154773779,30.6389,1.0046100930215782,0.995411062407593,0.75974,1.0662718239488014,0.9378471582383447
case4601_goc,nd_11,10,30.9282,1.0704503213614511,0.9341862766019361,1.6602,1.0358123284252558,0.965425852306951,0.5702999999999999,1.0288652354320764,0.9719445905663687,0.461875,1.0239995565901785,0.9765629228687416,0.21933999999999998,1.0203758838853738,0.9800310020972008,32.5911,1.0686202181760949,0.9357861502066516,0.7324,1.0279009712008085,0.9728563626433643
case8387_pegase,auto,10,42.6591,1.0,1.0,1.6401000000000001,1.0,1.0,0.6567000000000001,1.0,1.0,0.55754,1.0,1.0,0.24220000000001,1.0,1.0,44.3023,1.0,1.0,0.85321666666666,1.0,1.0
case8387_pegase,nd_8,10,35.4031,0.8299073351289643,1.204953803480486,1.5997,0.9753673556490456,1.0252547352628618,0.6922,1.0540581696360591,0.9487142444380238,0.5945,1.066291207805718,0.9378301093355761,0.25709999999999,1.0615194054499562,0.9420458965383874,37.0062,0.8353110335129327,1.1971588544622254,0.90754999999999,1.0636805813294752,0.9401318568306642
case8387_pegase,nd_9,10,38.879799999999996,0.9114069448253712,1.0972047181312663,1.6538,1.0083531491982196,0.9917160478897087,0.6738,1.02603928734582,0.9746215494211934,0.57454,1.0304910858413747,0.9704111114978939,0.22038333333334,0.9099229287090459,1.0989941768131406,40.5368,0.9150044128634405,1.0928909040674153,0.84945,0.9955853339323815,1.0044342417642709
case8387_pegase,nd_10,10,42.9536,1.0069035680546472,0.9931437644341802,1.7227,1.050362782757149,0.952052011377489,0.6903,1.0511649154865235,0.9513255106475446,0.575,1.0313161387523764,0.9696347826086958,0.24665,1.018373245251816,0.9819582404216906,44.679700000000004,1.0085187450764408,0.9915532109660539,0.91875,1.0768073760084471,0.9286712018140517
case8387_pegase,nd_11,10,46.2529,1.0842446277582038,0.9223010881479865,1.5998,0.9754283275410036,1.0251906488311038,0.632,0.9623876960560377,1.0390822784810128,0.53262,0.9553036553431143,1.0467875783860916,0.22581666666668,0.9323561794660226,1.0725514798139895,47.856,1.0802147969744234,0.9257418087596122,0.8139833333333301,0.9540171507823372,1.0481991850774954
case9241_pegase,auto,10,46.5733,1.0,1.0,1.6307,1.0,1.0,0.6906,1.0,1.0,0.59258333333333,1.0,1.0,0.24175714285716,1.0,1.0,48.2072,1.0,1.0,0.89332857142858,1.0,1.0
case9241_pegase,nd_8,10,39.082100000000004,0.8391524757747465,1.1916785433740766,1.6038000000000001,0.9835040166799535,1.016772664920813,0.8123,1.1762235737040256,0.8501785054782716,0.71848333333333,1.2124595696807774,0.8247697696536678,0.26355714285715,1.0901731371505756,0.9172854897284808,40.689099999999996,0.8440461175923928,1.1847693854128012,1.0339142857142,1.1573729071049415,0.8640257551055045
case9241_pegase,nd_9,10,42.8902,0.9209182085014375,1.0858727634751062,1.5984,0.9801925553443307,1.0202077077077076,0.6952,1.0066608746017955,0.9933831990794015,0.59578333333333,1.0054000843763184,0.994628919909363,0.23378571428571,0.9670271228504721,1.0340971585702114,44.4918,0.9229285251995551,1.0835075227345263,0.8863142857142899,0.9921481457790239,1.0079139937461767
case9241_pegase,nd_10,10,46.9092,1.007212286868227,0.9928393577379279,1.7182,1.0536579383087017,0.9490746129670586,0.7167,1.0377932232841007,0.9635830891586438,0.6199,1.046097595274932,0.9559337527558155,0.24739999999999002,1.023341015186319,0.9771913615892067,48.6306,1.0087829203936343,0.9912935476839685,0.96698571428572,1.082452465098424,0.9238280961456106
