level	bin	lo	hi	count
27	9-12	9	12	0
27	13-16	13	16	0
27	17-20	17	20	0
27	21-24	21	24	0
27	25-28	25	28	0
27	29-32	29	32	0
27	33-40	33	40	0
27	41-48	41	48	0
27	49-56	49	56	0
27	57-64	57	64	0
27	65-72	65	72	0
27	73-80	73	80	0
27	81-96	81	96	0
27	97-112	97	112	0
27	113-128	113	128	0
