baseline_alg,baseline_analyze_ms,baseline_cuda_factorization_ms,baseline_cuda_refactorization_ms,baseline_cuda_solve_ms,baseline_cudss_analysis_ms,baseline_elapsed_ms,baseline_nr_linear_factorize_ms,baseline_nr_linear_solve_ms,baseline_runs,baseline_solve_ms,baseline_success_all,candidate_alg,candidate_analyze_ms,candidate_cuda_factorization_ms,candidate_cuda_refactorization_ms,candidate_cuda_solve_ms,candidate_cudss_analysis_ms,candidate_elapsed_ms,candidate_nr_linear_factorize_ms,candidate_nr_linear_solve_ms,candidate_runs,candidate_solve_ms,candidate_success_all,candidate_vs_baseline_analyze_ms_ratio,candidate_vs_baseline_analyze_ms_speedup,candidate_vs_baseline_cuda_factorization_ms_ratio,candidate_vs_baseline_cuda_factorization_ms_speedup,candidate_vs_baseline_cuda_refactorization_ms_ratio,candidate_vs_baseline_cuda_refactorization_ms_speedup,candidate_vs_baseline_cuda_solve_ms_ratio,candidate_vs_baseline_cuda_solve_ms_speedup,candidate_vs_baseline_cudss_analysis_ms_ratio,candidate_vs_baseline_cudss_analysis_ms_speedup,candidate_vs_baseline_elapsed_ms_ratio,candidate_vs_baseline_elapsed_ms_speedup,candidate_vs_baseline_nr_linear_factorize_ms_ratio,candidate_vs_baseline_nr_linear_factorize_ms_speedup,candidate_vs_baseline_nr_linear_solve_ms_ratio,candidate_vs_baseline_nr_linear_solve_ms_speedup,candidate_vs_baseline_solve_ms_ratio,candidate_vs_baseline_solve_ms_speedup,case_name
DEFAULT,12.1421,0.2047,0.11625,0.079466666666667,10.185,13.1443,0.14586666666666,0.093099999999997,10,1.0017,True,ALG_1,3.6376,5.2931,0.4651,0.38859999999999,1.6345,11.4133,2.0746000000001,0.40626666666665,10,7.7752,True,0.29958573887548284,3.3379425995161642,25.857840742550074,0.03867298936351098,4.0008602150537635,0.24994624811868416,4.890100671140793,0.20449476754160847,0.16048109965635737,6.2312633832976445,0.8683079357592265,1.1516651625734888,14.222577696527845,0.07031074263311143,4.363766559255242,0.22915982934033677,7.762004592193271,0.12883269883732895,case_ACTIVSg500
DEFAULT,176.9503,2.9201,2.8028833333333,1.1719357142857,135.78480000000002,218.5544,2.8223452380952,1.9537571428571001,10,41.6037,True,ALG_1,107.3665,788.6731,39.276683333332,72.516457142858,64.1272,1649.4841999999999,146.33352857143,72.8574,10,1542.1172,True,0.606760768419155,1.6480960076001359,270.0842779356871,0.0037025479885138724,14.01295689557746,0.07136252594308655,61.8775042512098,0.016160962083089325,0.47227082854634683,2.1174291096445814,7.547247733287456,0.13249863199659628,51.848202904542774,0.019287071566223623,37.29091932759673,0.026816179864462636,37.066828190761875,0.026978299703809806,case_ACTIVSg70k
DEFAULT,201.34900000000002,3.4533,3.28453,1.2358700000001002,151.5379,241.9754,3.3147866666667,1.8585066666667,10,40.6257,True,ALG_2,143.5046,931.8788,55.31718,92.930883333334,83.7338,1926.2291,201.41096666666,93.583266666667,10,1782.7238,True,0.7127157323850627,1.4030839429537452,269.851678105001,0.003705739415898291,16.84173382493081,0.059376309493723294,75.19470764184459,0.013298808272026806,0.5525601186237898,1.809757827782807,7.960433581264872,0.12562129811038572,60.76136624176658,0.016457826113077306,50.35401182311174,0.019859390817019568,43.88167588496936,0.022788555355574433,Base_Eastern_Interconnect_515GW
DEFAULT,24.817,0.5667,0.47003333333333996,0.235525,20.2125,29.021,0.49425,0.2962,10,4.2033000000000005,True,ALG_2,11.796100000000001,65.378,3.6969666666668,5.028025,7.0123999999999995,109.193,19.117475,5.062175,10,97.3963,True,0.47532336704678246,2.1038309271708444,115.36615493206283,0.00866805347364557,7.865328700092365,0.12714026814775797,21.34815836959983,0.046842448078519894,0.3469338280766852,2.882394044834864,3.7625512559870438,0.2657771102543203,38.67976732422863,0.02585330960286335,17.090395003376095,0.05851239832680617,23.17138914662289,0.043156670222585465,Base_Florida_42GW
DEFAULT,36.526199999999996,0.8525,0.76193333333334,0.32205,29.7484,43.0231,0.7847,0.423325,10,6.4962,True,ALG_2,20.2737,121.2389,8.0701,12.81505,12.3993,218.1655,36.362525,12.868875000000001,10,197.8911,True,0.5550454194523384,1.8016543600822736,142.21571847507332,0.007031571550055305,10.591609064659982,0.09441436082989554,39.79211302592765,0.025130608152133624,0.4168056097134636,2.39919995483616,5.070892148636431,0.19720395754599146,46.33939722186823,0.021579909535985195,30.399515738498792,0.0328952608522501,30.462593516209477,0.032827145839302525,Base_MIOHIN_76GW
DEFAULT,28.6495,0.6895,0.5952666666666699,0.279575,23.3099,33.846199999999996,0.618875,0.354875,10,5.1959,True,ALG_2,14.5589,85.4078,4.5019,7.07625,8.5047,142.76510000000002,24.728575,7.119025,10,128.2057,True,0.5081729175029233,1.9678341083460977,123.86918056562726,0.008073033142172026,7.562828984208716,0.1322256528724916,25.310739515335776,0.039508920685391274,0.3648535600753328,2.740825661105036,4.218054020835427,0.23707614816226089,39.957301555241365,0.02502671504524624,20.0606551602677,0.049848820589898195,24.67439712080679,0.04052783924583696,Base_Texas_66GW
DEFAULT,57.2807,1.2082,1.0869499999999999,0.436145,46.3624,66.7249,1.11254,0.5118550000000001,10,9.4436,True,ALG_2,37.4446,239.9714,13.188783333334,22.997595,22.816699999999997,434.9693,63.076350000000005,23.19701,10,397.5244,True,0.6537036034824993,1.5297452770225881,198.61893726204272,0.00503476664302496,12.133753469188097,0.0824147286772683,52.72924142200415,0.018964809146347694,0.492138025641468,2.0319502820302677,6.518845288640372,0.15340140097243646,56.69580419580419,0.01763798951588036,45.31949477879477,0.022065559311307797,42.09458257444195,0.023756026045193702,Base_West_Interconnect_121GW
DEFAULT,14.153400000000001,0.3073,0.20779999999999998,0.13145,11.8397,15.325899999999999,0.25785,0.15395,10,1.1718,True,ALG_2,4.3061,9.9886,0.823,0.93345,2.1804,17.2786,5.4059,0.95035,10,12.972199999999999,True,0.3042449164158435,3.2868256659157944,32.50439310120403,0.03076507218228781,3.960538979788258,0.2524908869987849,7.101179155572461,0.14082168300391024,0.1841600716234364,5.430058704824803,1.127411767008789,0.8869873716620559,20.965289897227066,0.047697885643463625,6.173108151997401,0.16199294996580207,11.070319167093361,0.09033163225975548,MemphisCase2026_Mar7
DEFAULT,26.997,0.6574,0.5651499999999999,0.25053333333333,21.7255,31.0134,0.59600000000001,0.35406666666666,10,4.0158,True,ALG_2,12.5001,75.5596,4.5512999999999995,6.7644333333334,7.4174,118.2342,28.220899999999002,6.8041333333334,10,105.7335,True,0.4630181131236804,2.1597427220582235,114.93702464253118,0.008700416624757144,8.053260196408033,0.12417331311932854,27.000133049495037,0.037036854528341004,0.3414144668707279,2.92899129074878,3.812358528893962,0.2623048153579929,47.35050335570223,0.02111909967435592,19.217096591979463,0.05203699711939652,26.329373972807414,0.0379803941040446,Texas7k_20220923
DEFAULT,11.7614,0.10950000000000001,0.1031,0.07755,9.8804,12.4024,0.10635,0.0924,10,0.6408,True,ALG_2,3.3621,2.2674,0.2792,0.20185,1.4196,6.5877,1.27345,0.21825,10,3.2249,True,0.28585882633019877,3.4982302727462002,20.70684931506849,0.04829319925906325,2.7080504364694473,0.36926934097421205,2.6028368794326244,0.3841961852861035,0.14367839358730417,6.959988729219498,0.5311633232277624,1.8826601089909984,11.974141984015045,0.08351329066708547,2.362012987012987,0.4233676975945017,5.032615480649188,0.19870383577785358,case_ACTIVSg200
