case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
case4020_goc,true,true,18,8.84784868791930112e-04,1.25679268442646652e-02,1.62471019999999994e-02,2.53471679999999998e-02,4.15942700000000026e-02,false,10,1.359389906036e+01,4020,88,3931,/workspace/exp/20260413/iterative/pf_dumps/case4020_goc/cuda_mixed_edge/iter_000
RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr,true,true,16,7.85702596055250831e-04,4.56644172161395545e+00,1.33660700000000007e-02,2.35240879999999986e-02,3.68901579999999993e-02,false,10,6.248772188023e+04,4492,181,4310,/workspace/exp/20260413/iterative/pf_dumps/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr/cuda_mixed_edge/iter_000
case4601_goc,true,true,27,3.10784405075593604e-04,4.91256914082294216e-03,1.63841620000000007e-02,4.28271910000000006e-02,5.92113530000000013e-02,true,6,2.846984870075e-10,4601,132,4468,/workspace/exp/20260413/iterative/pf_dumps/case4601_goc/cuda_mixed_edge/iter_000
case4619_goc,true,true,42,7.80431356962778397e-04,1.97763405907313006e-02,1.76520429999999992e-02,6.95024999999999948e-02,8.71545430000000010e-02,true,6,1.190209993063e-09,4619,129,4489,/workspace/exp/20260413/iterative/pf_dumps/case4619_goc/cuda_mixed_edge/iter_000
case4661_sdet,false,false,76,1.16815454548377688e-03,4.79459564753652590e-02,9.78096799999999926e-03,1.05361285999999998e-01,1.15142253999999999e-01,false,10,1.035818863952e+04,4661,630,4030,/workspace/exp/20260413/iterative/pf_dumps/case4661_sdet/cuda_mixed_edge/iter_000
case4837_goc,true,true,29,3.18434320993185897e-04,5.73181777787734603e-03,1.52272510000000007e-02,4.77151749999999986e-02,6.29424259999999958e-02,false,10,5.533659467606e+07,4837,149,4687,/workspace/exp/20260413/iterative/pf_dumps/case4837_goc/cuda_mixed_edge/iter_000
case4917_goc,true,true,68,4.79028294523506652e-04,1.14926296655617488e-02,1.19735889999999998e-02,1.05645116999999997e-01,1.17618705999999990e-01,false,10,3.550286638140e+10,4917,552,4364,/workspace/exp/20260413/iterative/pf_dumps/case4917_goc/cuda_mixed_edge/iter_000
case5658_epigrids,false,false,1000,1.17320829510083671e-01,3.13105826574198476e+00,2.00979350000000008e-02,2.08658827799999980e+00,2.10668621299999970e+00,true,5,5.539486284691e-10,5658,104,5553,/workspace/exp/20260413/iterative/pf_dumps/case5658_epigrids/cuda_mixed_edge/iter_000
case6468_rte,false,false,1000,3.01790211642119555e-01,1.76097498823586875e+02,1.84370329999999985e-02,2.17613367999999996e+00,2.19457071300000006e+00,false,10,1.883240657100e+09,6468,290,6177,/workspace/exp/20260413/iterative/pf_dumps/case6468_rte/cuda_mixed_edge/iter_000
case6470_rte,false,false,1000,3.84446399922797166e-01,2.24328181784834214e+02,1.81073929999999994e-02,2.14481582400000015e+00,2.16292321700000034e+00,false,10,1.316357372426e+09,6470,452,6017,/workspace/exp/20260413/iterative/pf_dumps/case6470_rte/cuda_mixed_edge/iter_000
case6495_rte,false,false,1000,2.44136467652969702e-01,1.42455983218884853e+02,1.80875329999999994e-02,2.14779991199999998e+00,2.16588744500000008e+00,false,10,4.853444320003e+10,6495,492,6002,/workspace/exp/20260413/iterative/pf_dumps/case6495_rte/cuda_mixed_edge/iter_000
case6515_rte,false,false,1000,5.44730176185341253e-01,3.17855310939390620e+02,1.81827219999999984e-02,2.14957979099999985e+00,2.16776251300000000e+00,false,10,9.283106943686e+08,6515,492,6022,/workspace/exp/20260413/iterative/pf_dumps/case6515_rte/cuda_mixed_edge/iter_000
case7336_epigrids,false,false,1000,2.41237190589752348e+00,6.35491141109250606e+01,2.53391479999999988e-02,2.66825043899999992e+00,2.69358958699999995e+00,true,6,1.571986985027e-11,7336,239,7096,/workspace/exp/20260413/iterative/pf_dumps/case7336_epigrids/cuda_mixed_edge/iter_000
case8387_pegase,true,true,177,6.15350550986606352e-04,1.37870387642646364e+00,2.20637550000000009e-02,4.80720354999999988e-01,5.02784110000000006e-01,true,7,2.014866495870e-09,8387,1864,6522,/workspace/exp/20260413/iterative/pf_dumps/case8387_pegase/cuda_mixed_edge/iter_000
case9241_pegase,false,false,1000,3.50273306404173645e-01,1.00112359776540334e+01,2.59856480000000001e-02,3.13521916899999997e+00,3.16120481699999978e+00,true,8,5.490430332600e-10,9241,1444,7796,/workspace/exp/20260413/iterative/pf_dumps/case9241_pegase/cuda_mixed_edge/iter_000
