source_mat,case,converted_dir,snapshot_dir,profile,status,converged,iterations,final_mismatch,snapshots,total_sec,n_bus,ybus_nnz,n_ref,n_pv,n_pq,returncode,error
/workspace/datasets/pf_dataset/pglib_opf_case2746wp_k.mat,case2746wp_k,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2746wp_k,/workspace/exp/20260413/iterative/pf_dumps/case2746wp_k/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,5,5.858362239386e-09,1,9.015953665000e+00,2746,9292,1,363,2382,0,
/workspace/datasets/pf_dataset/pglib_opf_case2848_rte.mat,case2848_rte,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2848_rte,/workspace/exp/20260413/iterative/pf_dumps/case2848_rte/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,2.374327585249e+06,1,9.079562317000e+00,2848,9732,1,369,2478,0,
/workspace/datasets/pf_dataset/pglib_opf_case2853_sdet.mat,case2853_sdet,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2853_sdet,/workspace/exp/20260413/iterative/pf_dumps/case2853_sdet/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,1.616364543680e+08,1,9.183232714000e+00,2853,10123,1,798,2054,0,
/workspace/datasets/pf_dataset/pglib_opf_case2868_rte.mat,case2868_rte,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2868_rte,/workspace/exp/20260413/iterative/pf_dumps/case2868_rte/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,1.264244973030e+07,1,9.128822614000e+00,2868,9810,1,412,2455,0,
/workspace/datasets/pf_dataset/pglib_opf_case2869_pegase.mat,case2869_pegase,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2869_pegase,/workspace/exp/20260413/iterative/pf_dumps/case2869_pegase/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,6,8.506317872303e-11,1,9.035217429000e+00,2869,10805,1,509,2359,0,
/workspace/datasets/pf_dataset/pglib_opf_case30000_goc.mat,case30000_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case30000_goc,/workspace/exp/20260413/iterative/pf_dumps/case30000_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,1.328386150549e+01,1,9.415399751000e+00,30000,100466,1,2277,27722,0,
/workspace/datasets/pf_dataset/pglib_opf_case300_ieee.mat,case300_ieee,/workspace/exp/20260413/iterative/pf_cupf_dumps/case300_ieee,/workspace/exp/20260413/iterative/pf_dumps/case300_ieee/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,5.408878852085e+04,1,8.961692642000e+00,300,1118,1,68,231,0,
/workspace/datasets/pf_dataset/pglib_opf_case3012wp_k.mat,case3012wp_k,/workspace/exp/20260413/iterative/pf_cupf_dumps/case3012wp_k,/workspace/exp/20260413/iterative/pf_dumps/case3012wp_k/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,7,8.687808083898e-12,1,9.168649033000e+00,3012,10144,1,297,2714,0,
/workspace/datasets/pf_dataset/pglib_opf_case3022_goc.mat,case3022_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case3022_goc,/workspace/exp/20260413/iterative/pf_dumps/case3022_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,3.528715899914e+09,1,9.186972635000e+00,3022,10756,1,318,2703,0,
/workspace/datasets/pf_dataset/pglib_opf_case30_as.mat,case30_as,/workspace/exp/20260413/iterative/pf_cupf_dumps/case30_as,/workspace/exp/20260413/iterative/pf_dumps/case30_as/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,5,1.017796957825e-12,1,9.102256220000e+00,30,112,1,2,27,0,
/workspace/datasets/pf_dataset/pglib_opf_case30_ieee.mat,case30_ieee,/workspace/exp/20260413/iterative/pf_cupf_dumps/case30_ieee,/workspace/exp/20260413/iterative/pf_dumps/case30_ieee/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,5,2.601446840299e-13,1,9.090905426000e+00,30,112,1,5,24,0,
/workspace/datasets/pf_dataset/pglib_opf_case3120sp_k.mat,case3120sp_k,/workspace/exp/20260413/iterative/pf_cupf_dumps/case3120sp_k,/workspace/exp/20260413/iterative/pf_dumps/case3120sp_k/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,6,5.802414659282e-12,1,9.006312262000e+00,3120,10488,1,247,2872,0,
/workspace/datasets/pf_dataset/pglib_opf_case3375wp_k.mat,case3375wp_k,/workspace/exp/20260413/iterative/pf_cupf_dumps/case3375wp_k,/workspace/exp/20260413/iterative/pf_dumps/case3375wp_k/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,6,6.197135079120e-11,1,9.065221348000e+00,3374,11510,1,391,2982,0,
/workspace/datasets/pf_dataset/pglib_opf_case3970_goc.mat,case3970_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case3970_goc,/workspace/exp/20260413/iterative/pf_dumps/case3970_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,6,6.290856724434e-12,1,9.057509256000e+00,3970,15394,1,122,3847,0,
/workspace/datasets/pf_dataset/pglib_opf_case39_epri.mat,case39_epri,/workspace/exp/20260413/iterative/pf_cupf_dumps/case39_epri,/workspace/exp/20260413/iterative/pf_dumps/case39_epri/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,1.352689202441e+03,1,8.991355937000e+00,39,131,1,9,29,0,
/workspace/datasets/pf_dataset/pglib_opf_case3_lmbd.mat,case3_lmbd,/workspace/exp/20260413/iterative/pf_cupf_dumps/case3_lmbd,/workspace/exp/20260413/iterative/pf_dumps/case3_lmbd/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,9.718034879158e+00,1,9.107963768000e+00,3,9,1,2,0,0,
/workspace/datasets/pf_dataset/pglib_opf_case4020_goc.mat,case4020_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case4020_goc,/workspace/exp/20260413/iterative/pf_dumps/case4020_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,1.359389906036e+01,1,9.041384729000e+00,4020,16198,1,88,3931,0,
/workspace/datasets/pf_dataset/pglib_opf_case4601_goc.mat,case4601_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case4601_goc,/workspace/exp/20260413/iterative/pf_dumps/case4601_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,6,2.846984870075e-10,1,9.069041492000e+00,4601,17211,1,132,4468,0,
