case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
case2869_pegase,false,false,1000,1.31351348861079710e-03,3.50270054852199475e-02,4.06667799999999979e-03,1.35322254000000003e-01,1.39388931999999993e-01,true,6,8.506317872303e-11,2869,509,2359,/workspace/exp/20260413/iterative/pf_dumps/case2869_pegase/cuda_mixed_edge/iter_000
case30000_goc,false,false,1000,1.46185540632366522e-04,9.82264849362404074e-03,4.86913559999999981e-02,1.97740798700000009e+00,2.02609934300000027e+00,false,10,1.328386150549e+01,30000,2277,27722,/workspace/exp/20260413/iterative/pf_dumps/case30000_goc/cuda_mixed_edge/iter_000
case300_ieee,true,true,130,9.32802036473678170e-09,1.63231371530514480e-07,4.27468999999999983e-04,1.55781900000000000e-03,1.98528799999999998e-03,false,10,5.408878852085e+04,300,68,231,/workspace/exp/20260413/iterative/pf_dumps/case300_ieee/cuda_mixed_edge/iter_000
case3012wp_k,false,false,1000,2.44407932058254007e-02,6.64972099844672204e-01,4.49287700000000016e-03,1.36407733000000003e-01,1.40900610000000009e-01,true,7,8.687808083898e-12,3012,297,2714,/workspace/exp/20260413/iterative/pf_dumps/case3012wp_k/cuda_mixed_edge/iter_000
case3022_goc,false,false,1000,1.02556452093197165e-01,2.36798369958270616e+00,4.49938600000000018e-03,1.50885613000000002e-01,1.55384998999999996e-01,false,10,3.528715899914e+09,3022,318,2703,/workspace/exp/20260413/iterative/pf_dumps/case3022_goc/cuda_mixed_edge/iter_000
case30_as,true,true,13,5.97104730274083271e-09,6.65323414417162695e-09,4.38100000000000024e-05,1.96199999999999985e-05,6.34300000000000076e-05,true,5,1.017796957825e-12,30,2,27,/workspace/exp/20260413/iterative/pf_dumps/case30_as/cuda_mixed_edge/iter_000
case30_ieee,true,true,12,9.89913985837810603e-09,9.32498946809579010e-09,4.13400000000000006e-05,1.69299999999999988e-05,5.82699999999999961e-05,true,5,2.601446840299e-13,30,5,24,/workspace/exp/20260413/iterative/pf_dumps/case30_ieee/cuda_mixed_edge/iter_000
case3120sp_k,false,false,1000,5.28889458111439677e-03,1.45834412428558935e-01,4.67754600000000031e-03,1.43516597999999995e-01,1.48194144000000000e-01,true,6,5.802414659282e-12,3120,247,2872,/workspace/exp/20260413/iterative/pf_dumps/case3120sp_k/cuda_mixed_edge/iter_000
case3375wp_k,false,false,1000,7.56758079271122736e-02,2.05894712503601340e+00,4.95484700000000007e-03,1.57767897999999990e-01,1.62722745000000002e-01,true,6,6.197135079120e-11,3374,391,2982,/workspace/exp/20260413/iterative/pf_dumps/case3375wp_k/cuda_mixed_edge/iter_000
case3970_goc,true,true,533,9.53131665257500362e-09,1.50661523854334761e-07,6.17450500000000027e-03,1.21969094000000000e-01,1.28143598999999997e-01,true,6,6.290856724434e-12,3970,122,3847,/workspace/exp/20260413/iterative/pf_dumps/case3970_goc/cuda_mixed_edge/iter_000
case39_epri,true,true,16,9.93241016271279002e-09,8.25071877486038829e-08,5.72689999999999967e-05,3.75199999999999999e-05,9.47889999999999898e-05,false,10,1.352689202441e+03,39,9,29,/workspace/exp/20260413/iterative/pf_dumps/case39_epri/cuda_mixed_edge/iter_000
case3_lmbd,true,true,1,9.97953323335981286e-17,8.88178419700125232e-16,1.34999999999999999e-06,6.40000000000000013e-07,1.99000000000000001e-06,false,10,9.718034879158e+00,3,2,0,/workspace/exp/20260413/iterative/pf_dumps/case3_lmbd/cuda_mixed_edge/iter_000
case4020_goc,false,false,1000,2.48115362327788342e-07,3.52435471340228901e-06,6.16876499999999967e-03,2.39390110999999989e-01,2.45558875999999981e-01,false,10,1.359389906036e+01,4020,88,3931,/workspace/exp/20260413/iterative/pf_dumps/case4020_goc/cuda_mixed_edge/iter_000
case4601_goc,true,true,509,2.33263360658290344e-09,3.68719397929841765e-08,7.05896500000000038e-03,1.39150652000000014e-01,1.46209617000000014e-01,true,6,2.846984870075e-10,4601,132,4468,/workspace/exp/20260413/iterative/pf_dumps/case4601_goc/cuda_mixed_edge/iter_000
case4619_goc,true,true,833,7.47504725599737884e-09,1.89419708918059371e-07,7.08368399999999981e-03,2.40044050000000009e-01,2.47127734000000016e-01,true,6,1.190209993063e-09,4619,129,4489,/workspace/exp/20260413/iterative/pf_dumps/case4619_goc/cuda_mixed_edge/iter_000
case4661_sdet,false,false,1000,9.93530301171952401e-01,4.07786459087219555e+01,6.75195400000000012e-03,2.47811675000000009e-01,2.54563629000000013e-01,false,10,1.035818863952e+04,4661,630,4030,/workspace/exp/20260413/iterative/pf_dumps/case4661_sdet/cuda_mixed_edge/iter_000
case4837_goc,true,true,947,9.41089778944754232e-09,1.69396160210055768e-07,7.41648499999999957e-03,2.66072540999999996e-01,2.73489025999999968e-01,false,10,5.533659467606e+07,4837,149,4687,/workspace/exp/20260413/iterative/pf_dumps/case4837_goc/cuda_mixed_edge/iter_000
case4917_goc,false,false,1000,1.58631750475251828e-04,3.80582103866185283e-03,7.33966400000000008e-03,2.91515234000000012e-01,2.98854898000000035e-01,false,10,3.550286638140e+10,4917,552,4364,/workspace/exp/20260413/iterative/pf_dumps/case4917_goc/cuda_mixed_edge/iter_000
case500_goc,true,true,182,8.56304910425928309e-09,2.11754809114478304e-07,7.33159000000000046e-04,3.70976800000000001e-03,4.44292700000000016e-03,false,10,2.554613215887e+01,500,112,387,/workspace/exp/20260413/iterative/pf_dumps/case500_goc/cuda_mixed_edge/iter_000
case5658_epigrids,false,false,1000,9.58332801703070530e-03,2.55759855486375809e-01,8.81391400000000082e-03,3.55129477999999998e-01,3.63943391999999977e-01,true,5,5.539486284691e-10,5658,104,5553,/workspace/exp/20260413/iterative/pf_dumps/case5658_epigrids/cuda_mixed_edge/iter_000
case57_ieee,true,true,31,2.06110309478402902e-09,8.85243794934709172e-09,9.44099999999999990e-05,7.52690000000000005e-05,1.69679000000000000e-04,true,5,4.405632109128e-12,57,6,50,/workspace/exp/20260413/iterative/pf_dumps/case57_ieee/cuda_mixed_edge/iter_000
case588_sdet,false,false,1000,4.83672723814526318e-08,7.32530065504326255e-07,8.56030000000000029e-04,2.47937220000000007e-02,2.56497520000000014e-02,true,6,5.156487433125e-12,588,80,507,/workspace/exp/20260413/iterative/pf_dumps/case588_sdet/cuda_mixed_edge/iter_000
case5_pjm,true,true,1,2.96059473233375061e-16,8.88178419700125232e-16,3.48000000000000014e-06,9.40000000000000000e-07,4.42000000000000003e-06,true,4,3.695588279840e-11,5,3,1,/workspace/exp/20260413/iterative/pf_dumps/case5_pjm/cuda_mixed_edge/iter_000
case60_c,true,true,36,7.31394136563686647e-09,1.64929372215016912e-07,8.03200000000000035e-05,8.09899999999999954e-05,1.61310000000000012e-04,true,6,8.186456814788e-13,60,22,37,/workspace/exp/20260413/iterative/pf_dumps/case60_c/cuda_mixed_edge/iter_000
case6468_rte,false,false,257,3.89177274361535694e+01,2.27088692642284514e+04,9.93344399999999961e-03,1.06193373999999993e-01,1.16126817999999993e-01,false,10,1.883240657100e+09,6468,290,6177,/workspace/exp/20260413/iterative/pf_dumps/case6468_rte/cuda_mixed_edge/iter_000
case6470_rte,false,false,667,7.28749173687830876e-01,4.25232170579359263e+02,9.69177300000000075e-03,2.69105839000000013e-01,2.78797612000000028e-01,false,10,1.316357372426e+09,6470,452,6017,/workspace/exp/20260413/iterative/pf_dumps/case6470_rte/cuda_mixed_edge/iter_000
case6495_rte,false,false,463,2.29778017118879241e-01,1.34077688865740100e+02,9.72097199999999960e-03,1.84377110000000011e-01,1.94098082000000005e-01,false,10,4.853444320003e+10,6495,492,6002,/workspace/exp/20260413/iterative/pf_dumps/case6495_rte/cuda_mixed_edge/iter_000
case6515_rte,false,false,192,1.17849246908993628e+01,6.87661720570552279e+03,9.74093300000000023e-03,7.72911550000000003e-02,8.70320880000000074e-02,false,10,9.283106943686e+08,6515,492,6022,/workspace/exp/20260413/iterative/pf_dumps/case6515_rte/cuda_mixed_edge/iter_000
case7336_epigrids,false,false,1000,1.36538838816292890e-02,3.59684268718987177e-01,1.13204719999999998e-02,4.62840052000000002e-01,4.74160524000000028e-01,true,6,1.571986985027e-11,7336,239,7096,/workspace/exp/20260413/iterative/pf_dumps/case7336_epigrids/cuda_mixed_edge/iter_000
case73_ieee_rts,true,true,34,9.30787591038269811e-09,4.22856823202588661e-08,8.90400000000000013e-05,8.59099999999999957e-05,1.74949999999999997e-04,true,6,1.077471445399e-13,73,32,40,/workspace/exp/20260413/iterative/pf_dumps/case73_ieee_rts/cuda_mixed_edge/iter_000
case78484_epigrids,false,false,1000,2.69062931195113864e+00,9.15177206768304785e+01,1.35191044000000010e-01,7.79711842599999994e+00,7.93230946999999986e+00,false,10,1.108899578530e+14,78478,2038,76439,/workspace/exp/20260413/iterative/pf_dumps/case78484_epigrids/cuda_mixed_edge/iter_000
case793_goc,true,true,698,8.36085947190662146e-09,5.51713061192061327e-08,1.17598899999999990e-03,2.42225229999999993e-02,2.53985119999999981e-02,true,6,2.639533557003e-12,793,88,704,/workspace/exp/20260413/iterative/pf_dumps/case793_goc/cuda_mixed_edge/iter_000
case8387_pegase,false,false,1000,3.28645691670778547e-02,7.36336529399192870e+01,1.16248120000000000e-02,5.05915181999999963e-01,5.17539993999999948e-01,true,7,2.014866495870e-09,8387,1864,6522,/workspace/exp/20260413/iterative/pf_dumps/case8387_pegase/cuda_mixed_edge/iter_000
case89_pegase,true,true,126,8.11182530396430512e-09,1.09294262529147090e-07,1.38779999999999996e-04,5.82169000000000002e-04,7.20949000000000026e-04,true,5,6.929104401365e-09,89,11,77,/workspace/exp/20260413/iterative/pf_dumps/case89_pegase/cuda_mixed_edge/iter_000
case9241_pegase,false,false,285,1.51865701171776979e+00,4.34050595219560336e+01,1.32498800000000003e-02,1.66181482999999991e-01,1.79431362999999983e-01,true,8,5.490430332600e-10,9241,1444,7796,/workspace/exp/20260413/iterative/pf_dumps/case9241_pegase/cuda_mixed_edge/iter_000
case9591_goc,true,true,674,9.94794526495115794e-09,1.45140522933573379e-07,1.48105000000000007e-02,4.22663650999999974e-01,4.37474150999999978e-01,false,10,1.026429475934e+09,9591,167,9423,/workspace/exp/20260413/iterative/pf_dumps/case9591_goc/cuda_mixed_edge/iter_000
