case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,iterative_solve_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
case4601_goc,true,true,5,1.06303516572392071e-09,1.68033970349146244e-08,3.47119499999999984e-03,true,6,2.846984870075e-10,4601,132,4468,/workspace/exp/20260413/iterative/pf_dumps/case4601_goc/cuda_mixed_edge/iter_000
case4619_goc,true,true,5,5.67424899350305300e-09,1.43786996371908504e-07,3.91361299999999981e-03,true,6,1.190209993063e-09,4619,129,4489,/workspace/exp/20260413/iterative/pf_dumps/case4619_goc/cuda_mixed_edge/iter_000
case4661_sdet,true,true,7,5.18387561367138839e-09,2.12767972788963089e-07,4.18822200000000013e-03,false,10,1.035818863952e+04,4661,630,4030,/workspace/exp/20260413/iterative/pf_dumps/case4661_sdet/cuda_mixed_edge/iter_000
case4837_goc,true,true,5,9.88092669413415695e-09,1.77856680494414832e-07,3.50130399999999979e-03,false,10,5.533659467606e+07,4837,149,4687,/workspace/exp/20260413/iterative/pf_dumps/case4837_goc/cuda_mixed_edge/iter_000
case4917_goc,true,true,5,1.32206058081595668e-10,3.17182780734670544e-09,3.35390499999999991e-03,false,10,3.550286638140e+10,4917,552,4364,/workspace/exp/20260413/iterative/pf_dumps/case4917_goc/cuda_mixed_edge/iter_000
case500_goc,true,true,3,4.82557647069863305e-13,1.19331211578810326e-11,1.83418999999999987e-04,false,10,2.554613215887e+01,500,112,387,/workspace/exp/20260413/iterative/pf_dumps/case500_goc/cuda_mixed_edge/iter_000
case5658_epigrids,true,true,5,1.66796229564885897e-09,4.45145772881572199e-08,4.31986999999999996e-03,true,5,5.539486284691e-10,5658,104,5553,/workspace/exp/20260413/iterative/pf_dumps/case5658_epigrids/cuda_mixed_edge/iter_000
case57_ieee,true,true,2,7.88791473166812421e-13,3.38785943743147300e-12,1.59300000000000016e-05,true,5,4.405632109128e-12,57,6,50,/workspace/exp/20260413/iterative/pf_dumps/case57_ieee/cuda_mixed_edge/iter_000
case588_sdet,true,true,3,6.65665486090580775e-09,1.00816101078482490e-07,2.06259000000000005e-04,true,6,5.156487433125e-12,588,80,507,/workspace/exp/20260413/iterative/pf_dumps/case588_sdet/cuda_mixed_edge/iter_000
case5_pjm,true,true,3,3.70074341541718863e-16,1.11022302462515654e-15,2.15000000000000017e-06,true,4,3.695588279840e-11,5,3,1,/workspace/exp/20260413/iterative/pf_dumps/case5_pjm/cuda_mixed_edge/iter_000
