case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
case300_ieee,true,true,46,9.23632737811663010e-09,1.61626832584360614e-07,2.41040000000000010e-04,9.01379000000000004e-04,1.14241899999999999e-03,false,10,5.408878852085e+04,300,68,231,/workspace/exp/20260413/iterative/pf_dumps/case300_ieee/cuda_mixed_edge/iter_000
case3012wp_k,true,true,182,8.47323731456397917e-09,2.30535333370640346e-07,2.08192900000000016e-03,6.54288529999999952e-02,6.75107819999999914e-02,true,7,8.687808083898e-12,3012,297,2714,/workspace/exp/20260413/iterative/pf_dumps/case3012wp_k/cuda_mixed_edge/iter_000
case3022_goc,true,true,224,8.82423615961099844e-09,2.03747759996986133e-07,2.65520800000000005e-03,8.84208870000000036e-02,9.10760950000000097e-02,false,10,3.528715899914e+09,3022,318,2703,/workspace/exp/20260413/iterative/pf_dumps/case3022_goc/cuda_mixed_edge/iter_000
case30_as,true,true,12,4.09174139667059949e-09,4.55921921049817769e-09,2.86099999999999988e-05,2.94599999999999992e-05,5.80699999999999980e-05,true,5,1.017796957825e-12,30,2,27,/workspace/exp/20260413/iterative/pf_dumps/case30_as/cuda_mixed_edge/iter_000
case30_ieee,true,true,12,6.89559393866199497e-10,6.49564929622314935e-10,2.65299999999999984e-05,2.66199999999999992e-05,5.31499999999999976e-05,true,5,2.601446840299e-13,30,5,24,/workspace/exp/20260413/iterative/pf_dumps/case30_ieee/cuda_mixed_edge/iter_000
case3120sp_k,true,true,194,5.76869577413867879e-09,1.59064308391521081e-07,2.21856800000000019e-03,7.22460389999999980e-02,7.44646070000000021e-02,true,6,5.802414659282e-12,3120,247,2872,/workspace/exp/20260413/iterative/pf_dumps/case3120sp_k/cuda_mixed_edge/iter_000
case3375wp_k,true,true,189,7.54165265670862329e-09,2.05189273572159436e-07,2.39435800000000008e-03,7.69362849999999932e-02,7.93306429999999924e-02,true,6,6.197135079120e-11,3374,391,2982,/workspace/exp/20260413/iterative/pf_dumps/case3375wp_k/cuda_mixed_edge/iter_000
case3970_goc,true,true,122,7.28560874765035216e-09,1.15163618641389576e-07,3.42407800000000010e-03,6.44365539999999931e-02,6.78606319999999902e-02,true,6,6.290856724434e-12,3970,122,3847,/workspace/exp/20260413/iterative/pf_dumps/case3970_goc/cuda_mixed_edge/iter_000
case39_epri,true,true,16,9.81201224311357768e-09,8.15070585157007255e-08,2.96600000000000006e-05,4.33300000000000002e-05,7.29900000000000042e-05,false,10,1.352689202441e+03,39,9,29,/workspace/exp/20260413/iterative/pf_dumps/case39_epri/cuda_mixed_edge/iter_000
case3_lmbd,true,true,1,9.97953323335981286e-17,8.88178419700125232e-16,5.60000000000000038e-07,7.89999999999999954e-07,1.34999999999999999e-06,false,10,9.718034879158e+00,3,2,0,/workspace/exp/20260413/iterative/pf_dumps/case3_lmbd/cuda_mixed_edge/iter_000
