case,n_bus,ilu0_solved,ilut_solved,ilu0_iterations,ilut_iterations,ilu0_solve_sec,ilut_solve_sec,solve_sec_ratio_ilu0_over_ilut,ilu0_setup_sec,ilut_setup_sec,ilu0_total_sec,ilut_total_sec,ilu0_sec_per_iter,ilut_sec_per_iter,sec_per_iter_ratio_ilu0_over_ilut,ilu0_relative_residual_inf,ilut_relative_residual_inf
case793_goc,793,true,true,69,2,4.98868200000000036e-03,1.99230000000000002e-04,25.03981328113236,5.37880000000000020e-04,7.86400000000000033e-04,5.52656200000000049e-03,9.85629999999999926e-04,7.229973913043479e-05,9.9615e-05,0.7257916893081844,9.94757310882227273e-04,3.42985638977629052e-06
case1354_pegase,1354,true,true,85,1,1.28742340000000000e-02,1.90900000000000005e-04,67.43967522262965,1.07627099999999996e-03,1.41192100000000001e-03,1.39505050000000002e-02,1.60282099999999993e-03,0.00015146157647058823,0.0001909,0.7934079437956428,9.04343635542073556e-04,2.33066211099387029e-04
case1803_snem,1803,true,true,845,4,1.66508709000000005e-01,8.50850000000000000e-04,195.6969019216078,1.47383999999999992e-03,1.66782999999999992e-03,1.67982549000000009e-01,2.51867999999999970e-03,0.00019705172662721893,0.0002127125,0.926375867084534,9.84590736034648842e-04,1.97355242693089255e-04
case2000_goc,2000,true,true,62,2,1.63891460000000003e-02,6.29960000000000047e-04,26.016169280589242,1.86665099999999999e-03,3.34941100000000005e-03,1.82557970000000007e-02,3.97937099999999978e-03,0.00026434106451612906,0.00031498,0.8392312671157821,9.84438492436089541e-04,2.49325173712932523e-05
case2312_goc,2312,true,true,75,3,2.10360380000000000e-02,9.11630999999999986e-04,23.075167474559333,1.83880000000000003e-03,2.92610099999999996e-03,2.28748380000000015e-02,3.83773199999999995e-03,0.0002804805066666667,0.000303877,0.9230066989823734,7.14312794314573467e-04,2.14042329748900990e-05
case2383wp_k,2383,true,true,99,4,2.78625499999999998e-02,1.17668999999999998e-03,23.6787514128615,1.67482999999999998e-03,2.64036099999999992e-03,2.95373799999999985e-02,3.81705100000000012e-03,0.000281439898989899,0.0002941725,0.9567172288024849,9.87847588235449313e-04,3.65760285527022390e-05
case2736sp_k,2736,true,true,70,3,2.28217479999999993e-02,1.01599999999999998e-03,22.46235039370079,1.98449100000000012e-03,3.15965099999999987e-03,2.48062390000000008e-02,4.17565099999999984e-03,0.00032602497142857143,0.00033866666666666664,0.9626721597300338,7.71632162033306979e-04,9.60653873786769427e-06
case2737sop_k,2737,true,true,80,3,2.59604090000000003e-02,1.02883100000000002e-03,25.23291872037293,2.00548099999999993e-03,3.23802100000000022e-03,2.79658900000000002e-02,4.26685199999999980e-03,0.0003245051125,0.00034294366666666665,0.9462344520139848,8.99786913905814057e-04,1.09419912459803584e-05
case2742_goc,2742,true,false,38,2,1.38560950000000006e-02,9.13941000000000037e-04,15.160820009169083,2.64015099999999987e-03,7.15473199999999959e-03,1.64962459999999991e-02,8.06867300000000016e-03,0.0003646340789473684,0.0004569705,0.7979378952194253,5.96989947623761930e-04,1.05538463848682648e-03
case2746wop_k,2746,true,true,70,3,2.28290090000000008e-02,1.01461999999999993e-03,22.500058149849206,1.91030999999999992e-03,3.10649099999999985e-03,2.47393189999999992e-02,4.12111100000000022e-03,0.0003261287,0.00033820666666666666,0.9642882064221088,9.84790374847803766e-04,3.79760834298930298e-05
case2746wp_k,2746,true,true,80,3,2.58557290000000009e-02,1.00664000000000005e-03,25.685179408726057,1.88594000000000001e-03,2.99537100000000014e-03,2.77416690000000001e-02,4.00201099999999976e-03,0.00032319661250000003,0.0003355466666666667,0.9631942278272273,9.91261949268480670e-04,1.05752666030166118e-04
case2853_sdet,2853,true,true,267,4,8.56589700000000009e-02,1.34993099999999996e-03,63.45433211030786,2.18544999999999981e-03,3.02180100000000017e-03,8.78444200000000064e-02,4.37173199999999970e-03,0.00032082011235955057,0.00033748275,0.9506266982817657,4.29003386832375226e-04,4.64408719291313228e-04
case2869_pegase,2869,true,true,115,3,4.31731549999999978e-02,1.17820100000000003e-03,36.643284974295554,2.75559000000000004e-03,3.40864100000000001e-03,4.59287450000000000e-02,4.58684199999999983e-03,0.0003754187391304348,0.0003927336666666667,0.955911781938145,9.98177117438569335e-04,6.58590419730974671e-08
case3012wp_k,3012,true,true,95,3,3.41155419999999987e-02,1.11856999999999994e-03,30.499246359190753,2.10293100000000016e-03,3.39022200000000003e-03,3.62184730000000010e-02,4.50879200000000018e-03,0.0003591109684210526,0.00037285666666666666,0.9631340955533921,4.04702931846839819e-04,8.51948409848767821e-04
case3022_goc,3022,true,true,112,3,4.43449750000000018e-02,1.23889000000000009e-03,35.79411812186716,2.67750100000000010e-03,3.87164199999999979e-03,4.70224760000000006e-02,5.11053200000000010e-03,0.0003959372767857143,0.00041296333333333334,0.9587710211214417,7.99402969795735201e-04,4.20358237137528800e-05
case3120sp_k,3120,true,true,86,3,3.20747809999999967e-02,1.16387099999999992e-03,27.558707966776385,2.22678100000000016e-03,3.59292099999999979e-03,3.43015619999999938e-02,4.75679199999999927e-03,0.00037296256976744184,0.00038795699999999997,0.9613502779108042,9.16396081639414290e-04,4.10007636572971073e-05
case3375wp_k,3374,true,true,96,3,3.90814130000000023e-02,1.28130999999999991e-03,30.501137897932587,2.43383100000000002e-03,3.87267200000000018e-03,4.15152439999999998e-02,5.15398199999999966e-03,0.00040709805208333336,0.0004271033333333333,0.9531605593103935,9.81649712722337982e-04,3.44640705147590391e-04
case3970_goc,3970,true,true,58,3,3.03373810000000001e-02,1.85074099999999993e-03,16.392018656311176,3.48867100000000005e-03,1.03478540000000001e-02,3.38260520000000023e-02,1.21985949999999996e-02,0.0005230582931034483,0.0006169136666666666,0.8478630339471298,4.58641348609154593e-04,2.60371502221785445e-04
case4020_goc,4020,true,true,56,4,3.12537410000000015e-02,2.64890199999999985e-03,11.798753219258396,3.95006100000000037e-03,1.28926140000000002e-02,3.52038019999999993e-02,1.55415160000000000e-02,0.0005581025178571429,0.0006622255,0.8427680870898855,9.90934812966023882e-04,1.08425577704373576e-04
RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr,4492,true,true,56,1,2.49080789999999996e-02,5.27340999999999964e-04,47.23334426869901,4.85395099999999958e-03,5.57156100000000005e-03,2.97620299999999983e-02,6.09890199999999980e-03,0.00044478712499999997,0.000527341,0.8434525762267678,9.98537832641925756e-04,1.56584322827394839e-04
case4601_goc,4601,true,true,59,3,3.67483820000000030e-02,2.11430099999999985e-03,17.380865827524087,3.97008100000000030e-03,1.03875040000000005e-02,4.07184630000000033e-02,1.25018050000000013e-02,0.0006228539322033899,0.0007047669999999999,0.8837728386876655,4.78092963487819478e-04,3.64159233198146375e-05
case4619_goc,4619,true,true,75,3,4.99611969999999989e-02,2.39494099999999982e-03,20.86113895916434,5.28914200000000015e-03,1.50705950000000009e-02,5.52503389999999955e-02,1.74655360000000003e-02,0.0006661492933333333,0.0007983136666666666,0.8344455583665736,8.19676973266906389e-04,1.67550380192247456e-04
case4661_sdet,4661,true,true,151,3,8.86555499999999996e-02,1.84449099999999997e-03,48.06504884003229,3.52104099999999993e-03,7.51811200000000041e-03,9.21765910000000022e-02,9.36260300000000059e-03,0.0005871228476821192,0.0006148303333333333,0.9549347451662045,8.89609515760097797e-04,8.68727352321928704e-04
case4837_goc,4837,true,true,109,3,6.96092340000000059e-02,2.14204099999999991e-03,32.496686104514346,4.12920099999999988e-03,9.15657299999999945e-03,7.37384350000000049e-02,1.12986139999999985e-02,0.0006386168256880734,0.0007140136666666666,0.8944042047114039,8.68588836920767605e-04,2.49679978606500948e-04
case4917_goc,4917,true,true,144,3,9.52122920000000039e-02,2.06162100000000003e-03,46.183217962952455,4.08937199999999997e-03,6.30622200000000022e-03,9.93016639999999978e-02,8.36784299999999981e-03,0.0006611964722222222,0.000687207,0.9621503742281761,8.66968328582609009e-04,1.09897320852895347e-05
case5658_epigrids,5658,true,true,81,2,6.42344819999999955e-02,1.81179100000000010e-03,35.45358267040734,5.32753200000000027e-03,1.19997639999999996e-02,6.95620139999999915e-02,1.38115549999999997e-02,0.0007930182962962962,0.0009058955,0.8753971029730209,2.16825362754535935e-04,6.94119624631649775e-04
case7336_epigrids,7336,true,true,126,4,1.29156554000000007e-01,4.56995100000000005e-03,28.262131038166494,6.35339200000000024e-03,1.54232659999999997e-02,1.35509946000000020e-01,1.99932170000000006e-02,0.0010250520158730158,0.00114248775,0.8972105091481426,6.07889803572106879e-04,7.52955719723188706e-07
case8387_pegase,8387,true,true,93,3,1.07728365000000006e-01,3.57993200000000008e-03,30.092293652505134,9.40339299999999947e-03,1.18404140000000005e-02,1.17131758000000002e-01,1.54203460000000014e-02,0.0011583695161290323,0.0011933106666666667,0.9707191500808108,5.81503697325914492e-04,1.48261442627287371e-04
case9591_goc,9591,true,true,78,5,1.11661566000000004e-01,7.87097299999999986e-03,14.18650095737846,9.16089299999999981e-03,3.16056109999999987e-02,1.20822459000000007e-01,3.94765839999999951e-02,0.0014315585384615385,0.0015741945999999999,0.9093910870114398,9.85454055846601840e-04,3.80334480751433259e-04
case10000_goc,10000,true,true,218,4,2.83674990999999987e-01,5.51713099999999977e-03,51.41712078252265,1.01363340000000003e-02,2.03291779999999998e-02,2.93811325000000012e-01,2.58463089999999979e-02,0.0013012614266055046,0.00137928275,0.9434334088536267,9.33394429444254397e-04,5.84544332539776524e-04
case10192_epigrids,10189,true,true,105,4,1.51433324000000008e-01,6.63563199999999982e-03,22.82123601791058,1.20646350000000006e-02,3.09803919999999990e-02,1.63497958999999998e-01,3.76160239999999979e-02,0.0014422221333333335,0.001658908,0.8693804197299269,2.84436418153922945e-04,2.65484379607862527e-04
case10480_goc,10480,true,true,235,5,3.60263559000000011e-01,8.75940300000000067e-03,41.128780009322554,1.27020840000000006e-02,3.58010230000000013e-02,3.72965643000000013e-01,4.45604260000000002e-02,0.0015330364212765958,0.0017518806000000001,0.8750804257302671,9.36767624556975390e-04,9.90447676413845277e-04
case19402_goc,19402,true,true,161,6,4.52631170000000027e-01,2.08137580000000016e-02,21.746729735206877,2.23309180000000017e-02,8.17959899999999990e-02,4.74962088000000004e-01,1.02609748000000001e-01,0.0028113737267080746,0.003468959666666667,0.810437132989076,7.40278460539629791e-04,3.49614406396919471e-04
case20758_epigrids,20758,true,true,320,8,9.51037943999999968e-01,2.68295300000000007e-02,35.447432139139224,1.98988759999999994e-02,5.19194089999999997e-02,9.70936819999999923e-01,7.87489390000000039e-02,0.002971993575,0.00335369125,0.8861858034784805,7.03801551106311837e-04,2.67500291648502058e-04
case24464_goc,24464,true,false,318,19,1.09129246999999996e+00,7.61596580000000051e-02,14.329009591928576,2.69091389999999986e-02,6.82959340000000026e-02,1.11820160899999999e+00,1.44455592000000022e-01,0.003431737327044025,0.0040084030526315794,0.8561357932284368,6.27760288413893564e-04,1.04766471653723885e-03
case30000_goc,30000,true,true,388,7,1.46332171300000002e+00,3.03046309999999985e-02,48.28706586132001,2.37481579999999984e-02,5.17647280000000029e-02,1.48706987100000010e+00,8.20693590000000084e-02,0.003771447713917526,0.004329233,0.8711584047145363,9.95171977618585033e-04,2.26822051698062854e-04
case78484_epigrids,78478,true,false,705,12,8.22291679699999989e+00,2.04316673000000004e-01,40.245941147446146,1.04372283999999996e-01,2.39215066000000004e-01,8.32728908099999998e+00,4.43531738999999980e-01,0.011663711768794325,0.017026389416666666,0.685037296126743,5.35936993127287750e-04,1.52142600574012667e-03
