case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
case39_epri,true,true,7,2.18351107085005858e-04,1.81381311204908968e-03,5.81400000000000024e-05,2.42699999999999997e-05,8.24100000000000055e-05,false,10,1.352689202441e+03,39,9,29,/workspace/exp/20260413/iterative/pf_dumps/case39_epri/cuda_mixed_edge/iter_000
case3_lmbd,true,true,1,9.97953323335981286e-17,8.88178419700125232e-16,5.09999999999999988e-07,8.09999999999999974e-07,1.32000000000000007e-06,false,10,9.718034879158e+00,3,2,0,/workspace/exp/20260413/iterative/pf_dumps/case3_lmbd/cuda_mixed_edge/iter_000
case4020_goc,true,true,56,1.99180522949643550e-04,2.82925977774850859e-03,1.01004930000000003e-02,4.29301119999999994e-02,5.30306050000000015e-02,false,10,1.359389906036e+01,4020,88,3931,/workspace/exp/20260413/iterative/pf_dumps/case4020_goc/cuda_mixed_edge/iter_000
case4601_goc,true,true,40,7.16036543099104832e-04,1.13183897514889803e-02,1.01787930000000002e-02,3.39415299999999975e-02,4.41203229999999960e-02,true,6,2.846984870075e-10,4601,132,4468,/workspace/exp/20260413/iterative/pf_dumps/case4601_goc/cuda_mixed_edge/iter_000
case4619_goc,true,true,60,8.02881702442404454e-04,2.03452383863203176e-02,1.25860429999999999e-02,5.53371470000000032e-02,6.79231900000000083e-02,true,6,1.190209993063e-09,4619,129,4489,/workspace/exp/20260413/iterative/pf_dumps/case4619_goc/cuda_mixed_edge/iter_000
case4661_sdet,true,true,102,7.69244942668424747e-04,3.15730351627411046e-02,8.65221300000000061e-03,7.78970529999999939e-02,8.65492659999999997e-02,false,10,1.035818863952e+04,4661,630,4030,/workspace/exp/20260413/iterative/pf_dumps/case4661_sdet/cuda_mixed_edge/iter_000
case4837_goc,true,true,74,7.82538103465514742e-04,1.40856858623792658e-02,9.57218299999999973e-03,6.22933889999999976e-02,7.18655720000000026e-02,false,10,5.533659467606e+07,4837,149,4687,/workspace/exp/20260413/iterative/pf_dumps/case4837_goc/cuda_mixed_edge/iter_000
case4917_goc,true,true,81,3.72415652654077718e-04,8.93482749671223320e-03,1.05998440000000006e-02,7.03532709999999950e-02,8.09531149999999922e-02,false,10,3.550286638140e+10,4917,552,4364,/workspace/exp/20260413/iterative/pf_dumps/case4917_goc/cuda_mixed_edge/iter_000
case500_goc,true,true,19,1.65915953473969496e-04,4.10291948920993299e-03,9.39819999999999957e-04,9.13761000000000022e-04,1.85358099999999998e-03,false,10,2.554613215887e+01,500,112,387,/workspace/exp/20260413/iterative/pf_dumps/case500_goc/cuda_mixed_edge/iter_000
case5658_epigrids,true,true,63,9.87067766559094088e-04,2.63428642828228421e-02,1.27397329999999996e-02,6.67287500000000033e-02,7.94684830000000064e-02,true,5,5.539486284691e-10,5658,104,5553,/workspace/exp/20260413/iterative/pf_dumps/case5658_epigrids/cuda_mixed_edge/iter_000
