case,fgmres_solved,fgmres_iterations,fgmres_setup_sec,fgmres_solve_sec,fgmres_relative_residual_inf,bicgstab_solved,bicgstab_iterations,bicgstab_setup_sec,bicgstab_solve_sec,bicgstab_relative_residual_inf,both_solved,fgmres_only,bicgstab_only,fgmres_solve_sec_minus_bicgstab_solve_sec
case6470_rte,false,1000,1.829842000000e-02,1.265359967000e+00,1.197551630440e-01,false,1000,1.810739300000e-02,2.144815824000e+00,3.844463999228e-01,false,false,false,-8.794558570000e-01
case6495_rte,false,1000,1.832540000000e-02,1.268755974000e+00,1.078566815415e-01,false,1000,1.808753300000e-02,2.147799912000e+00,2.441364676530e-01,false,false,false,-8.790439380000e-01
case6515_rte,false,1000,1.801007600000e-02,1.269014624000e+00,7.198250390306e-02,false,1000,1.818272200000e-02,2.149579791000e+00,5.447301761853e-01,false,false,false,-8.805651670000e-01
case7336_epigrids,false,1000,2.607216200000e-02,1.556942003000e+00,1.673541272120e-01,false,1000,2.533914800000e-02,2.668250439000e+00,2.412371905898e+00,false,false,false,-1.111308436000e+00
case73_ieee_rts,true,6,2.855520000000e-04,5.329100000000e-05,1.738093682276e-04,true,3,3.041300000000e-04,4.985000000000e-05,5.548388374555e-04,true,false,false,3.441000000000e-06
case78484_epigrids,false,1000,3.024798750000e-01,1.766408551100e+01,2.603561719190e-01,false,1000,3.112890530000e-01,3.007399067100e+01,6.331717742721e+07,false,false,false,-1.240990516000e+01
case793_goc,false,38,2.047116000000e-03,3.977532000000e-03,1.873419088529e-03,false,24,2.073352000000e-03,3.954063000000e-03,1.236469112706e-03,false,false,false,2.346900000000e-05
case8387_pegase,true,383,2.225658600000e-02,6.056298380000e-01,8.349046325620e-04,true,177,2.206375500000e-02,4.807203550000e-01,6.153505509866e-04,true,false,false,1.249094830000e-01
case89_pegase,false,5,3.968830000000e-04,7.947000000000e-05,1.175958565790e-03,true,4,3.926900000000e-04,1.088500000000e-04,8.638761913985e-04,false,false,true,-2.938000000000e-05
case9241_pegase,false,1000,2.602406500000e-02,1.828720487000e+00,6.113826971863e-01,false,1000,2.598564800000e-02,3.135219169000e+00,3.502733064042e-01,false,false,false,-1.306498682000e+00
case9591_goc,true,81,3.695439000000e-02,1.659790640000e-01,5.090111194674e-04,true,31,3.664602600000e-02,1.104776660000e-01,4.874313082261e-04,true,false,false,5.550139800000e-02
