case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
case30_as,true,true,1,1.84141795201925450e-11,2.05179831458401907e-11,3.83300000000000006e-05,6.22999999999999964e-06,4.45600000000000003e-05,true,5,1.017796957825e-12,30,2,27,/workspace/exp/20260413/iterative/pf_dumps/case30_as/cuda_mixed_edge/iter_000
case30_ieee,true,true,1,1.15704365093468745e-11,1.08993508662891259e-11,3.51600000000000022e-05,5.71000000000000039e-06,4.08700000000000000e-05,true,5,2.601446840299e-13,30,5,24,/workspace/exp/20260413/iterative/pf_dumps/case30_ieee/cuda_mixed_edge/iter_000
case3120sp_k,true,true,3,4.10007636572971073e-05,1.13054291126072379e-03,3.59292099999999979e-03,1.16387099999999992e-03,4.75679199999999927e-03,true,6,5.802414659282e-12,3120,247,2872,/workspace/exp/20260413/iterative/pf_dumps/case3120sp_k/cuda_mixed_edge/iter_000
case3375wp_k,true,true,3,3.44640705147590391e-04,9.37680096811743802e-03,3.87267200000000018e-03,1.28130999999999991e-03,5.15398199999999966e-03,true,6,6.197135079120e-11,3374,391,2982,/workspace/exp/20260413/iterative/pf_dumps/case3375wp_k/cuda_mixed_edge/iter_000
case3970_goc,true,true,3,2.60371502221785445e-04,4.11569237733577786e-03,1.03478540000000001e-02,1.85074099999999993e-03,1.21985949999999996e-02,true,6,6.290856724434e-12,3970,122,3847,/workspace/exp/20260413/iterative/pf_dumps/case3970_goc/cuda_mixed_edge/iter_000
case39_epri,true,true,1,8.25200686039470205e-09,6.85483048101787062e-08,4.41900000000000021e-05,7.68999999999999922e-06,5.18799999999999979e-05,false,10,1.352689202441e+03,39,9,29,/workspace/exp/20260413/iterative/pf_dumps/case39_epri/cuda_mixed_edge/iter_000
case3_lmbd,true,true,2,0.00000000000000000e+00,0.00000000000000000e+00,2.97999999999999984e-06,1.26000000000000001e-06,4.24000000000000006e-06,false,10,9.718034879158e+00,3,2,0,/workspace/exp/20260413/iterative/pf_dumps/case3_lmbd/cuda_mixed_edge/iter_000
case4020_goc,true,true,4,1.08425577704373576e-04,1.54013114000953362e-03,1.28926140000000002e-02,2.64890199999999985e-03,1.55415160000000000e-02,false,10,1.359389906036e+01,4020,88,3931,/workspace/exp/20260413/iterative/pf_dumps/case4020_goc/cuda_mixed_edge/iter_000
case4601_goc,true,true,3,3.64159233198146375e-05,5.75626505750770345e-04,1.03875040000000005e-02,2.11430099999999985e-03,1.25018050000000013e-02,true,6,2.846984870075e-10,4601,132,4468,/workspace/exp/20260413/iterative/pf_dumps/case4601_goc/cuda_mixed_edge/iter_000
case4619_goc,true,true,3,1.67550380192247456e-04,4.24577171999310048e-03,1.50705950000000009e-02,2.39494099999999982e-03,1.74655360000000003e-02,true,6,1.190209993063e-09,4619,129,4489,/workspace/exp/20260413/iterative/pf_dumps/case4619_goc/cuda_mixed_edge/iter_000
case4661_sdet,true,true,3,8.68727352321928704e-04,3.56562100318129141e-02,7.51811200000000041e-03,1.84449099999999997e-03,9.36260300000000059e-03,false,10,1.035818863952e+04,4661,630,4030,/workspace/exp/20260413/iterative/pf_dumps/case4661_sdet/cuda_mixed_edge/iter_000
case4837_goc,true,true,3,2.49679978606500948e-04,4.49423961491701718e-03,9.15657299999999945e-03,2.14204099999999991e-03,1.12986139999999985e-02,false,10,5.533659467606e+07,4837,149,4687,/workspace/exp/20260413/iterative/pf_dumps/case4837_goc/cuda_mixed_edge/iter_000
case4917_goc,true,true,3,1.09897320852895347e-05,2.63660669784875328e-04,6.30622200000000022e-03,2.06162100000000003e-03,8.36784299999999981e-03,false,10,3.550286638140e+10,4917,552,4364,/workspace/exp/20260413/iterative/pf_dumps/case4917_goc/cuda_mixed_edge/iter_000
case500_goc,true,true,1,1.91819526791865691e-04,4.74348643639532774e-03,6.16730000000000013e-04,7.49800000000000038e-05,6.91710000000000003e-04,false,10,2.554613215887e+01,500,112,387,/workspace/exp/20260413/iterative/pf_dumps/case500_goc/cuda_mixed_edge/iter_000
case5658_epigrids,true,true,2,6.94119624631649775e-04,1.85246643515238202e-02,1.19997639999999996e-02,1.81179100000000010e-03,1.38115549999999997e-02,true,5,5.539486284691e-10,5658,104,5553,/workspace/exp/20260413/iterative/pf_dumps/case5658_epigrids/cuda_mixed_edge/iter_000
case57_ieee,true,true,1,2.31558197194763753e-07,9.94542474617998717e-07,7.03899999999999952e-05,9.91999999999999989e-06,8.03099999999999951e-05,true,5,4.405632109128e-12,57,6,50,/workspace/exp/20260413/iterative/pf_dumps/case57_ieee/cuda_mixed_edge/iter_000
case588_sdet,true,true,2,3.49525946872911511e-05,5.29362629215490710e-04,5.74340000000000007e-04,1.46529999999999995e-04,7.20869999999999974e-04,true,6,5.156487433125e-12,588,80,507,/workspace/exp/20260413/iterative/pf_dumps/case588_sdet/cuda_mixed_edge/iter_000
case5_pjm,true,true,2,4.13573036121365599e-06,1.24071910836409671e-05,4.45999999999999965e-06,2.07000000000000009e-06,6.53000000000000016e-06,true,4,3.695588279840e-11,5,3,1,/workspace/exp/20260413/iterative/pf_dumps/case5_pjm/cuda_mixed_edge/iter_000
case60_c,true,true,1,2.12450494114709265e-09,4.79075848019983042e-08,5.46399999999999986e-05,9.47000000000000081e-06,6.41099999999999944e-05,true,6,8.186456814788e-13,60,22,37,/workspace/exp/20260413/iterative/pf_dumps/case60_c/cuda_mixed_edge/iter_000
case6468_rte,true,true,4,1.86686584474001818e-05,1.08933422362866850e-02,8.40793199999999991e-03,3.63571200000000015e-03,1.20436439999999992e-02,false,10,1.883240657100e+09,6468,290,6177,/workspace/exp/20260413/iterative/pf_dumps/case6468_rte/cuda_mixed_edge/iter_000
case6470_rte,true,true,4,3.26866699599621653e-04,1.90729871373272353e-01,8.37105299999999983e-03,3.61004100000000003e-03,1.19810939999999994e-02,false,10,1.316357372426e+09,6470,452,6017,/workspace/exp/20260413/iterative/pf_dumps/case6470_rte/cuda_mixed_edge/iter_000
case6495_rte,true,true,4,8.36206967158439554e-05,4.87934829344567333e-02,8.24732300000000085e-03,3.60470100000000009e-03,1.18520240000000009e-02,false,10,4.853444320003e+10,6495,492,6002,/workspace/exp/20260413/iterative/pf_dumps/case6495_rte/cuda_mixed_edge/iter_000
case6515_rte,true,true,3,8.67925849076863257e-04,5.06443102826739988e-01,8.52432300000000032e-03,2.75428099999999992e-03,1.12786040000000011e-02,false,10,9.283106943686e+08,6515,492,6022,/workspace/exp/20260413/iterative/pf_dumps/case6515_rte/cuda_mixed_edge/iter_000
case7336_epigrids,true,true,4,7.52955719723188706e-07,1.98351128348761563e-05,1.54232659999999997e-02,4.56995100000000005e-03,1.99932170000000006e-02,true,6,1.571986985027e-11,7336,239,7096,/workspace/exp/20260413/iterative/pf_dumps/case7336_epigrids/cuda_mixed_edge/iter_000
case73_ieee_rts,true,true,1,1.13724259040207747e-07,5.16649333981433756e-07,7.44199999999999956e-05,1.14600000000000004e-05,8.58799999999999977e-05,true,6,1.077471445399e-13,73,32,40,/workspace/exp/20260413/iterative/pf_dumps/case73_ieee_rts/cuda_mixed_edge/iter_000
case78484_epigrids,false,true,12,1.52142600574012667e-03,5.17490237712534551e-02,2.39215066000000004e-01,2.04316673000000004e-01,4.43531738999999980e-01,false,10,1.108899578530e+14,78478,2038,76439,/workspace/exp/20260413/iterative/pf_dumps/case78484_epigrids/cuda_mixed_edge/iter_000
case793_goc,true,true,2,3.42985638977629052e-06,2.26327995896946632e-05,7.86400000000000033e-04,1.99230000000000002e-04,9.85629999999999926e-04,true,6,2.639533557003e-12,793,88,704,/workspace/exp/20260413/iterative/pf_dumps/case793_goc/cuda_mixed_edge/iter_000
case8387_pegase,true,true,3,1.48261442627287371e-04,3.32182404561249811e-01,1.18404140000000005e-02,3.57993200000000008e-03,1.54203460000000014e-02,true,7,2.014866495870e-09,8387,1864,6522,/workspace/exp/20260413/iterative/pf_dumps/case8387_pegase/cuda_mixed_edge/iter_000
case89_pegase,true,true,1,1.21980599382368900e-04,1.64349935468210973e-03,1.61680000000000011e-04,1.83899999999999984e-05,1.80070000000000002e-04,true,5,6.929104401365e-09,89,11,77,/workspace/exp/20260413/iterative/pf_dumps/case89_pegase/cuda_mixed_edge/iter_000
case9241_pegase,true,true,4,3.84404810080498695e-05,1.09867557541498684e-03,1.40443860000000007e-02,5.42431100000000024e-03,1.94686970000000001e-02,true,8,5.490430332600e-10,9241,1444,7796,/workspace/exp/20260413/iterative/pf_dumps/case9241_pegase/cuda_mixed_edge/iter_000
case9591_goc,true,true,5,3.80334480751433259e-04,5.54908013219784779e-03,3.16056109999999987e-02,7.87097299999999986e-03,3.94765839999999951e-02,false,10,1.026429475934e+09,9591,167,9423,/workspace/exp/20260413/iterative/pf_dumps/case9591_goc/cuda_mixed_edge/iter_000
