case	solver	precision	B	analyze_ms	factor_per_sys_ms	solve_per_sys_ms	relres	n	nnz
case9241pegase	custom	fp32	64	22.5792	0.0311032	0.0246696	2.84567e-06	17036	129412
case9241pegase	custom	fp16	64	23.6181	0.0305061	0.0237554	0.000544156	17036	129412
case9241pegase	custom	tf32	64	23.2593	0.0323175	0.0241552	0.00106854	17036	129412
case9241pegase	cuDSS_ubatch_mtauto	fp32	256	33.3155	0.171406	0.0651419	2.84001e-06	17036	129412
case9241pegase	custom	fp32	256	22.2002	0.027737	0.0205333	2.75774e-06	17036	129412
case9241pegase	custom	fp16	256	23.1293	0.0348265	0.0256117	0.000646189	17036	129412
case9241pegase	custom	tf32	256	21.5283	0.0263754	0.0208797	0.00102059	17036	129412
case_ACTIVSg10k	cuDSS_ubatch_mtauto	fp32	1	33.2278	0.4665	0.236621	0.000632226	18544	125174
case_ACTIVSg10k	custom	fp32	1	23.2935	0.37016	0.250688	0.000281263	18544	125174
case_ACTIVSg10k	custom	fp16	1	22.7454	0.459427	0.255797	0.0118346	18544	125174
case_ACTIVSg10k	custom	tf32	1	23.0635	0.430623	0.247611	0.0497752	18544	125174
case_ACTIVSg10k	cuDSS_ubatch_mtauto	fp32	4	32.5401	0.269144	0.117349	0.000637317	18544	125174
case_ACTIVSg10k	custom	fp32	4	22.3412	0.105602	0.0913353	0.000278808	18544	125174
case_ACTIVSg10k	custom	fp16	4	22.7973	0.137636	0.0896395	0.0128316	18544	125174
case_ACTIVSg10k	custom	tf32	4	22.9314	0.141594	0.0909445	0.0501585	18544	125174
case_ACTIVSg10k	cuDSS_ubatch_mtauto	fp32	32	39.6102	0.212151	0.0822653	0.000940959	18544	125174
case_ACTIVSg10k	custom	fp32	32	22.5068	0.0378293	0.027814	0.000249292	18544	125174
case_ACTIVSg10k	custom	fp16	32	22.5927	0.0417369	0.0281657	0.0124142	18544	125174
case_ACTIVSg10k	custom	tf32	32	22.9798	0.0390112	0.0266281	0.0553479	18544	125174
case_ACTIVSg10k	cuDSS_ubatch_mtauto	fp32	64	50.2981	0.207841	0.0800764	0.000946645	18544	125174
case_ACTIVSg10k	custom	fp32	64	22.7286	0.033469	0.0228465	0.00055261	18544	125174
case_ACTIVSg10k	custom	fp16	64	22.3787	0.0378182	0.023993	0.0203333	18544	125174
case_ACTIVSg10k	custom	tf32	64	23.0237	0.0340549	0.0231457	0.0554244	18544	125174
case_ACTIVSg10k	cuDSS_ubatch_mtauto	fp32	256	42.1398	0.204586	0.0781481	0.000956737	18544	125174
case_ACTIVSg10k	custom	fp32	256	23.1936	0.0307959	0.020355	0.000541346	18544	125174
case_ACTIVSg10k	custom	fp16	256	22.3386	0.033812	0.0204514	0.0171884	18544	125174
case_ACTIVSg10k	custom	tf32	256	22.9019	0.0314689	0.0202046	0.0500292	18544	125174
