analyze_sec,backend,buses,case_name,case_stem,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,newtonpf.init_index.avg_sec,newtonpf.init_index.count,newtonpf.init_index.total_sec,newtonpf.jacobian.avg_sec,newtonpf.jacobian.count,newtonpf.jacobian.total_sec,newtonpf.mismatch.avg_sec,newtonpf.mismatch.count,newtonpf.mismatch.total_sec,newtonpf.solve.avg_sec,newtonpf.solve.count,newtonpf.solve.total_sec,newtonpf.update_voltage.avg_sec,newtonpf.update_voltage.count,newtonpf.update_voltage.total_sec,pq,profile,pv,repeat_idx,runpf.build_Sbus.avg_sec,runpf.build_Sbus.count,runpf.build_Sbus.total_sec,runpf.build_Ybus.avg_sec,runpf.build_Ybus.count,runpf.build_Ybus.total_sec,runpf.bus_indexing.avg_sec,runpf.bus_indexing.count,runpf.bus_indexing.total_sec,runpf.load_case_data.avg_sec,runpf.load_case_data.count,runpf.load_case_data.total_sec,runpf.newtonpf.avg_sec,runpf.newtonpf.count,runpf.newtonpf.total_sec,solve_sec,source_profile,success
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.014152446761727333,3.471928421412708e-11,pypower,3,pypower,,operators,1.1429190635681152e-05,1,1.1429190635681152e-05,0.0024743185689051947,3,0.007422955706715584,4.337308928370476e-05,4,0.00017349235713481903,0.0012653563171625137,3,0.003796068951487541,3.847045203049978e-05,3,0.00011541135609149933,,pypower,,0,0.00012147054076194763,1,0.00012147054076194763,0.0013687629252672195,1,0.0013687629252672195,0.001203380525112152,1,0.001203380525112152,0.0023656710982322693,1,0.0023656710982322693,0.011581333354115486,1,0.011581333354115486,0.011581333354115486,pypower,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.013987317681312561,3.471928421412708e-11,pypower,3,pypower,,operators,1.158006489276886e-05,1,1.158006489276886e-05,0.0024279349793990455,3,0.007283804938197136,4.3157488107681274e-05,4,0.0001726299524307251,0.0012619954844315846,3,0.003785986453294754,3.8279841343561806e-05,3,0.00011483952403068542,,pypower,,1,0.00012070126831531525,1,0.00012070126831531525,0.001368943601846695,1,0.001368943601846695,0.0010113995522260666,1,0.0010113995522260666,0.0023914705961942673,1,0.0023914705961942673,0.011431882157921791,1,0.011431882157921791,0.011431882157921791,pypower,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.014181926846504211,3.471928421412708e-11,pypower,3,pypower,,operators,1.1732801795005798e-05,1,1.1732801795005798e-05,0.0024636592715978622,3,0.007390977814793587,4.325713962316513e-05,4,0.00017302855849266052,0.0012824318061272304,3,0.003847295418381691,3.8084263602892556e-05,3,0.00011425279080867767,,pypower,,2,0.00012077949941158295,1,0.00012077949941158295,0.001374201849102974,1,0.001374201849102974,0.0010038428008556366,1,0.0010038428008556366,0.0023830533027648926,1,0.0023830533027648926,0.01159980334341526,1,0.01159980334341526,0.01159980334341526,pypower,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.014195898547768593,3.471928421412708e-11,pypower,3,pypower,,operators,1.1708587408065796e-05,1,1.1708587408065796e-05,0.0024528447538614273,3,0.007358534261584282,4.57223504781723e-05,4,0.0001828894019126892,0.0012833991398413975,3,0.003850197419524193,3.9089471101760864e-05,3,0.00011726841330528259,,pypower,,3,0.00013382360339164734,1,0.00013382360339164734,0.0013869013637304306,1,0.0013869013637304306,0.0010181926190853119,1,0.0010181926190853119,0.002375194802880287,1,0.002375194802880287,0.011583974584937096,1,0.011583974584937096,0.011583974584937096,pypower,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.014010056853294373,3.471928421412708e-11,pypower,3,pypower,,operators,1.1447817087173462e-05,1,1.1447817087173462e-05,0.002421638617912928,3,0.007264915853738785,4.3880194425582886e-05,4,0.00017552077770233154,0.001272132620215416,3,0.003816397860646248,3.829287985960642e-05,3,0.00011487863957881927,,pypower,,4,0.00012070685625076294,1,0.00012070685625076294,0.0013796836137771606,1,0.0013796836137771606,0.0010086819529533386,1,0.0010086819529533386,0.0023657139390707016,1,0.0023657139390707016,0.0114454235881567,1,0.0114454235881567,0.0114454235881567,pypower,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.013991596177220345,3.471928421412708e-11,pypower,3,pypower,,operators,1.1660158634185791e-05,1,1.1660158634185791e-05,0.0024400639037291207,3,0.007320191711187363,4.288461059331894e-05,4,0.00017153844237327576,0.0012556475897630055,3,0.0037669427692890167,3.828046222527822e-05,3,0.00011484138667583466,,pypower,,5,0.00011857971549034119,1,0.00011857971549034119,0.001361791044473648,1,0.001361791044473648,0.0010087322443723679,1,0.0010087322443723679,0.0023638643324375153,1,0.0023638643324375153,0.011447692289948463,1,0.011447692289948463,0.011447692289948463,pypower,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.013998595997691154,3.471928421412708e-11,pypower,3,pypower,,operators,1.1799857020378113e-05,1,1.1799857020378113e-05,0.002445791537563006,3,0.007337374612689018,4.319380968809128e-05,4,0.0001727752387523651,0.0012504160404205322,3,0.0037512481212615967,3.823389609654745e-05,3,0.00011470168828964233,,pypower,,6,0.00012111105024814606,1,0.00012111105024814606,0.001361701637506485,1,0.001361701637506485,0.0010104719549417496,1,0.0010104719549417496,0.0023745354264974594,1,0.0023745354264974594,0.011450761929154396,1,0.011450761929154396,0.011450761929154396,pypower,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.014111267402768135,3.471928421412708e-11,pypower,3,pypower,,operators,1.1419877409934998e-05,1,1.1419877409934998e-05,0.00245102122426033,3,0.007353063672780991,4.360545426607132e-05,4,0.00017442181706428528,0.001266258458296458,3,0.0037987753748893738,3.830716013908386e-05,3,0.00011492148041725159,,pypower,,7,0.00012183934450149536,1,0.00012183934450149536,0.0013925619423389435,1,0.0013925619423389435,0.0010068044066429138,1,0.0010068044066429138,0.002385135740041733,1,0.002385135740041733,0.011516371741890907,1,0.011516371741890907,0.011516371741890907,pypower,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.013973245397210121,3.471928421412708e-11,pypower,3,pypower,,operators,1.1421740055084229e-05,1,1.1421740055084229e-05,0.0024353619664907455,3,0.007306085899472237,4.3723732233047485e-05,4,0.00017489492893218994,0.0012487918138504028,3,0.0037463754415512085,3.848659495512644e-05,3,0.00011545978486537933,,pypower,,8,0.00012073852121829987,1,0.00012073852121829987,0.0013605523854494095,1,0.0013605523854494095,0.0010121800005435944,1,0.0010121800005435944,0.0023741666227579117,1,0.0023741666227579117,0.011417731642723083,1,0.011417731642723083,0.011417731642723083,pypower,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.014033447951078415,3.471928421412708e-11,pypower,3,pypower,,operators,1.1527910828590393e-05,1,1.1527910828590393e-05,0.002438576892018318,3,0.0073157306760549545,4.3396372348070145e-05,4,0.00017358548939228058,0.0012612553934256236,3,0.0037837661802768707,3.8563584287961326e-05,3,0.00011569075286388397,,pypower,,9,0.00012064911425113678,1,0.00012064911425113678,0.001367863267660141,1,0.001367863267660141,0.0010183528065681458,1,0.0010183528065681458,0.0023476257920265198,1,0.0023476257920265198,0.01146269217133522,1,0.01146269217133522,0.01146269217133522,pypower,True
,python,,MemphisCase2026_Mar7,pglib_opf_caseMemphisCase2026_Mar7,fp64,,0.015349499881267548,5.963778581004823e-12,pypower,2,pypower,,operators,1.1900439858436584e-05,1,1.1900439858436584e-05,0.0030429353937506676,2,0.006085870787501335,4.978602131207784e-05,3,0.00014935806393623352,0.0028442153707146645,2,0.005688430741429329,6.165355443954468e-05,2,0.00012330710887908936,,pypower,,0,0.0001350492238998413,1,0.0001350492238998413,0.0018622633069753647,1,0.0018622633069753647,0.0015570428222417831,1,0.0015570428222417831,0.00450475886464119,1,0.00450475886464119,0.012119371443986893,1,0.012119371443986893,0.012119371443986893,pypower,True
,python,,MemphisCase2026_Mar7,pglib_opf_caseMemphisCase2026_Mar7,fp64,,0.015344347804784775,5.963778581004823e-12,pypower,2,pypower,,operators,1.1749565601348877e-05,1,1.1749565601348877e-05,0.0030602561309933662,2,0.0061205122619867325,4.982389509677887e-05,3,0.0001494716852903366,0.0028377147391438484,2,0.005675429478287697,6.316322833299637e-05,2,0.00012632645666599274,,pypower,,1,0.00013120844960212708,1,0.00013120844960212708,0.0018549449741840363,1,0.0018549449741840363,0.0015774108469486237,1,0.0015774108469486237,0.0045163072645664215,1,0.0045163072645664215,0.01214500330388546,1,0.01214500330388546,0.01214500330388546,pypower,True
,python,,MemphisCase2026_Mar7,pglib_opf_caseMemphisCase2026_Mar7,fp64,,0.015334779396653175,5.963778581004823e-12,pypower,2,pypower,,operators,1.2069940567016602e-05,1,1.2069940567016602e-05,0.0030589094385504723,2,0.0061178188771009445,4.96388723452886e-05,3,0.00014891661703586578,0.0028252964839339256,2,0.005650592967867851,6.154552102088928e-05,2,0.00012309104204177856,,pypower,,2,0.00013474002480506897,1,0.00013474002480506897,0.0018698442727327347,1,0.0018698442727327347,0.0015590526163578033,1,0.0015590526163578033,0.004460908472537994,1,0.004460908472537994,0.012113900855183601,1,0.012113900855183601,0.012113900855183601,pypower,True
,python,,MemphisCase2026_Mar7,pglib_opf_caseMemphisCase2026_Mar7,fp64,,0.015354350209236145,5.963778581004823e-12,pypower,2,pypower,,operators,1.193210482597351e-05,1,1.193210482597351e-05,0.0030395854264497757,2,0.006079170852899551,4.975001017252604e-05,3,0.00014925003051757812,0.0028515104204416275,2,0.005703020840883255,6.182119250297546e-05,2,0.00012364238500595093,,pypower,,3,0.00013653002679347992,1,0.00013653002679347992,0.0018780436366796494,1,0.0018780436366796494,0.0015676412731409073,1,0.0015676412731409073,0.004466209560632706,1,0.004466209560632706,0.01212773472070694,1,0.01212773472070694,0.01212773472070694,pypower,True
