measurement_mode,case_name,mt_label,elapsed_ms_mean,analyze_ms_mean,solve_ms_mean,elapsed_ratio_vs_no_mt,elapsed_speedup_vs_no_mt,analyze_ratio_vs_no_mt,solve_ratio_vs_no_mt,runs,success_all
end2end,case793_goc,mt_32,14.9348,13.520900000000001,1.4133,0.9640579410777453,1.0372820526555426,0.9601411711238301,1.0031230037618,10,True
end2end,case1354_pegase,no_mt,18.8645,16.853199999999998,2.0108,1.0,1.0,1.0,1.0,10,True
end2end,case1354_pegase,mt_auto,16.5516,14.548399999999999,2.0027,0.877394047019534,1.139738756374006,0.8632425889445329,0.995971752536304,10,True
end2end,case1354_pegase,mt_1,18.8563,16.8345,2.0211,0.9995653211057807,1.0004348679221269,0.9988904184368548,1.005122339367416,10,True
end2end,case1354_pegase,mt_2,17.7083,15.7005,2.0074,0.9387102759150786,1.0652914170191379,0.9316034936985261,0.998309130694251,10,True
end2end,case1354_pegase,mt_4,17.497700000000002,15.4807,2.0166,0.9275464496806172,1.0781131234390804,0.9185614601381341,1.002884424109807,10,True
end2end,case1354_pegase,mt_8,17.0453,15.0104,2.0344,0.9035648970288107,1.1067273676614668,0.8906557805045927,1.0117366222399045,10,True
end2end,case1354_pegase,mt_16,17.279799999999998,15.114600000000001,2.1646,0.9159956532110577,1.0917082373638585,0.8968385825837231,1.0764869703600557,10,True
end2end,case1354_pegase,mt_32,16.558,14.5599,1.9976,0.8777333085955101,1.1392982244232395,0.863924951937911,0.9934354485776805,10,True
end2end,case2746wop_k,no_mt,24.577,22.3396,2.2367,1.0,1.0,1.0,1.0,10,True
end2end,case2746wop_k,mt_auto,19.7354,17.4509,2.2838,0.8030028075029498,1.245325658461445,0.7811643896936382,1.0210578083784145,10,True
end2end,case2746wop_k,mt_1,24.6431,22.4112,2.2312,1.002689506449119,0.9973177075936064,1.0032050708159501,0.9975410202530515,10,True
end2end,case2746wop_k,mt_2,21.6081,19.3826,2.2252,0.8792000651015177,1.1373975499928268,0.8676341563859693,0.9948584968927439,10,True
end2end,case2746wop_k,mt_4,20.3486,18.101200000000002,2.2472999999999996,0.8279529641534769,1.207798079474755,0.8102741320345933,1.00473912460321,10,True
end2end,case2746wop_k,mt_8,20.2717,18.0277,2.2435,0.8248240224600235,1.2123798201433527,0.8069840104567674,1.003040193141682,10,True
end2end,case2746wop_k,mt_16,20.474100000000004,17.9307,2.5431,0.8330593644464337,1.200394644941658,0.8026419452452148,1.1369875262663747,10,True
end2end,case2746wop_k,mt_32,26.7083,24.3862,2.3215000000000003,1.0867192903934573,0.9202008364441017,1.0916130996078712,1.0379129968256808,10,True
end2end,case4601_goc,no_mt,36.3598,32.2429,4.1168000000000005,1.0,1.0,1.0,1.0,10,True
end2end,case4601_goc,mt_auto,26.9065,22.3089,4.597,0.740006820719586,1.351338895805846,0.6919011627366025,1.1166439953361835,10,True
end2end,case4601_goc,mt_1,36.4138,32.2675,4.146000000000001,1.0014851566840304,0.9985170457354079,1.0007629586668694,1.0070928876797514,10,True
end2end,case4601_goc,mt_2,30.1226,26.0126,4.1097,0.8284589024142047,1.207060479507081,0.8067698625123672,0.9982753595025261,10,True
end2end,case4601_goc,mt_4,27.422,23.337300000000003,4.0841,0.7541845664717629,1.3259353803515423,0.7237965567613336,0.9920569374271279,10,True
end2end,case4601_goc,mt_8,27.5843,23.475800000000003,4.108,0.7586482873943201,1.3181338660034874,0.7280920760849676,0.9978624174115817,10,True
end2end,case4601_goc,mt_16,27.3679,22.7604,4.6071,0.752696659497577,1.3285564475169815,0.70590424558585,1.119097357170618,10,True
end2end,case4601_goc,mt_32,36.4598,31.8318,4.627400000000001,1.0027502901556116,0.9972572531939286,0.9872499061808957,1.1240283715507189,10,True
end2end,case8387_pegase,no_mt,53.735,47.745599999999996,5.9887999999999995,1.0,1.0,1.0,1.0,10,True
end2end,case8387_pegase,mt_auto,37.1132,31.144499999999997,5.9683,0.6906708848981111,1.4478676050569608,0.6523009450085453,0.9965769436281059,10,True
end2end,case8387_pegase,mt_1,53.8106,47.8344,5.976,1.0014069042523495,0.9985950723463406,1.0018598572433899,0.9978626769970613,10,True
end2end,case8387_pegase,mt_2,45.9834,40.0038,5.9793,0.8557439285381967,1.1685738766598381,0.8378531215441841,0.9984137055837563,10,True
end2end,case8387_pegase,mt_4,42.9445,36.0182,6.925800000000001,0.7991904717595608,1.2512661691252664,0.7543773667102309,1.1564587229495058,10,True
end2end,case8387_pegase,mt_8,38.5488,32.5783,5.9700999999999995,0.7173871778170653,1.3939474121114015,0.6823309373010288,0.996877504675394,10,True
end2end,case8387_pegase,mt_16,41.5817,33.604499999999994,7.9766,0.7738289755280544,1.2922752076033448,0.7038240172916457,1.3319195832220145,10,True
end2end,case8387_pegase,mt_32,36.5375,30.5982,5.9387,0.6799571973574021,1.470680807389668,0.6408590529807983,0.9916343841838098,10,True
end2end,case9241_pegase,no_mt,65.0022,54.8082,10.1937,1.0,1.0,1.0,1.0,10,True
end2end,case9241_pegase,mt_auto,40.11299999999999,32.963100000000004,7.1495,0.6171021903874022,1.6204771520454717,0.6014264288920271,0.7013645683118004,10,True
end2end,case9241_pegase,mt_1,59.3458,52.1756,7.1694,0.9129814067831551,1.0953125579232228,0.9519670414281075,0.7033167544659937,10,True
end2end,case9241_pegase,mt_2,49.3661,42.2765,7.0889999999999995,0.7594527569836099,1.316737599283719,0.7713535565845987,0.6954295300038259,10,True
end2end,case9241_pegase,mt_4,44.693799999999996,37.5401,7.1532,0.6875736513533388,1.4543896468861452,0.6849358307698483,0.701727537596751,10,True
end2end,case9241_pegase,mt_8,42.0798,35.0108,7.068599999999999,0.6473596278279813,1.5447364293556527,0.6387876266690021,0.6934282939462609,10,True
end2end,case9241_pegase,mt_16,42.439499999999995,34.0033,8.435699999999999,0.6528932866887582,1.531643869508359,0.6204053408066676,0.8275405397451366,10,True
end2end,case9241_pegase,mt_32,45.5057,38.393499999999996,7.1118,0.7000639978339195,1.4284408326868943,0.7005064935538842,0.697666205597575,10,True
operators,case30_ieee,no_mt,11.2716,10.432,0.839,1.0,1.0,1.0,1.0,10,True
operators,case30_ieee,mt_auto,11.625200000000001,10.8718,0.7529,1.0313708790233862,0.9695833189966624,1.0421587423312884,0.897377830750894,10,True
operators,case30_ieee,mt_1,11.0277,10.2768,0.7508,0.9783615458320025,1.0221170325634539,0.985122699386503,0.8948748510131109,10,True
operators,case30_ieee,mt_2,11.047899999999998,10.294,0.7535000000000001,0.980153660527343,1.0202481919640838,0.9867714723926381,0.898092967818832,10,True
operators,case30_ieee,mt_4,11.0389,10.295800000000002,0.7427,0.9793551935838746,1.021079998912935,0.986944018404908,0.8852205005959476,10,True
operators,case30_ieee,mt_8,11.0454,10.3011,0.744,0.9799318641541575,1.0204791134771036,0.9874520705521472,0.8867699642431466,10,True
