mt_label,run_name,analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
mt_auto,cuda_edge_mt_mt_auto,0.035204,0.0329631,0.0325915,0.032181,0.0009373671698492065,cuda,case9241_pegase,mixed,0.042335,0.040112999999999996,0.039746000000000004,0.039346,0.000936837825405822,1.272321113049e-09,cuda_edge,8.0,edge_based,end2end,cuda_edge,10,0.007189,0.0071495,0.0071485,0.007101,2.5846770698784837e-05,cuda_mixed_edge,True
mt_auto,cuda_edge_mt_mt_auto,0.011161,0.010805,0.01073,0.010698,0.00017517293043034838,cuda,case118_ieee,mixed,0.012009,0.011666600000000001,0.01159,0.011565,0.00017460444184244306,7.957567937922e-11,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.000874,0.0008609,0.0008595,0.000847,7.936553968120474e-06,cuda_mixed_edge,True
mt_auto,cuda_edge_mt_mt_auto,0.015059,0.0146516,0.0146035,0.01442,0.0002090450243900153,cuda,case1354_pegase,mixed,0.017305,0.016772600000000002,0.016702500000000002,0.016546,0.0002407161537302112,7.289035809805e-12,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.002246,0.0021207,0.0021054999999999997,0.002085,4.567287062481529e-05,cuda_mixed_edge,True
mt_auto,cuda_edge_mt_mt_auto,0.061033,0.0223682,0.017819500000000002,0.016812,0.01364321961675876,cuda,case2746wop_k,mixed,0.063333,0.0247487,0.020159,0.01918,0.013619729570247227,1.118435534712e-09,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.002688,0.0023799999999999997,0.0023155,0.002299,0.00012248083750348687,cuda_mixed_edge,True
mt_auto,cuda_edge_mt_mt_auto,0.014991,0.010871800000000001,0.010342500000000001,0.010315,0.0014552869743723327,cuda,case30_ieee,mixed,0.015734,0.0116252,0.0110955,0.011069,0.001452365105612222,2.601446840299e-13,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.000778,0.0007529,0.0007509999999999999,0.00074,1.2215200002910769e-05,cuda_mixed_edge,True
mt_auto,cuda_edge_mt_mt_auto,0.022912,0.0223505,0.0224285,0.021605,0.00043294116870027017,cuda,case4601_goc,mixed,0.027117,0.0265539,0.026633999999999998,0.025812,0.00043070625463043516,4.022202571008e-10,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.004213,0.004203,0.0042045,0.004193,6.182412330330494e-06,cuda_mixed_edge,True
mt_auto,cuda_edge_mt_mt_auto,0.097841,0.0218963,0.013150499999999999,0.013036,0.02669834043552354,cuda,case793_goc,mixed,0.0994,0.023451200000000002,0.014694,0.014602,0.02669977899950152,2.412237076754e-12,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.001575,0.0015546,0.001556,0.001534,1.1983321743156198e-05,cuda_mixed_edge,True
mt_auto,cuda_edge_mt_mt_auto,0.067751,0.0341643,0.030296,0.030046,0.011815080016186471,cuda,case8387_pegase,mixed,0.073822,0.0402522,0.0363705,0.036107,0.011808947490968212,3.157188732672e-09,cuda_edge,7.0,edge_based,operators,cuda_edge,10,0.006289,0.0060872,0.0060615,0.006045,7.204134615313327e-05,cuda_mixed_edge,True
mt_auto,cuda_edge_mt_mt_auto,0.034101,0.032856500000000004,0.032755,0.032174,0.0006585742597122635,cuda,case9241_pegase,mixed,0.04141,0.0401213,0.039979,0.039403,0.000659432592798115,2.718982441974e-09,cuda_edge,8.0,edge_based,operators,cuda_edge,10,0.007422,0.0072643,0.007239,0.007207,6.5089767074232e-05,cuda_mixed_edge,True
mt_1,cuda_edge_mt_mt_1,0.010865,0.0107108,0.010686999999999999,0.010658,6.499880340778923e-05,cuda,case118_ieee,mixed,0.011642,0.0114951,0.011472,0.011445,6.302636132779844e-05,7.639612740606e-11,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000788,0.000784,0.000785,0.000777,4.027681991198193e-06,cuda_mixed_edge,True
mt_1,cuda_edge_mt_mt_1,0.017323,0.0168345,0.016753,0.016694,0.00019739371260954066,cuda,case1354_pegase,mixed,0.019448,0.0188563,0.018764000000000003,0.018692,0.0002289352407220097,6.990964840224e-12,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.002125,0.0020211,0.0020095,0.001996,3.835636988964303e-05,cuda_mixed_edge,True
mt_1,cuda_edge_mt_mt_1,0.023431,0.0224112,0.0222695,0.022197,0.00037344992227130596,cuda,case2746wop_k,mixed,0.025694,0.0246431,0.024503999999999998,0.024424,0.0003837905823637565,9.271777979416e-10,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.002262,0.0022312,0.0022295,0.002217,1.218195386627289e-05,cuda_mixed_edge,True
mt_1,cuda_edge_mt_mt_1,0.010552,0.010313600000000001,0.0102635,0.010231,0.00011062870834964647,cuda,case30_ieee,mixed,0.011246,0.0110028,0.0109535,0.010923,0.00011055697374858123,2.330856106253e-13,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.0007,0.0006889,0.000692,0.000677,7.665941994736616e-06,cuda_mixed_edge,True
mt_1,cuda_edge_mt_mt_1,0.033766,0.0322675,0.0320565,0.031999,0.0005378651731098078,cuda,case4601_goc,mixed,0.037953,0.0364138,0.0361925,0.036138,0.0005528664295188205,4.272293629981e-10,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.004187,0.004146,0.0041405,0.004129,1.8529256146249707e-05,cuda_mixed_edge,True
mt_1,cuda_edge_mt_mt_1,0.01431,0.0140503,0.0139825,0.013962,0.0001321102653930503,cuda,case793_goc,mixed,0.015739,0.0154647,0.015448,0.015176,0.00014045406524712764,9.943439075182e-09,cuda_edge,5.8,edge_based,end2end,cuda_edge,10,0.001474,0.0014142,0.0014585000000000002,0.001208,0.00010326642995453825,cuda_mixed_edge,True
mt_1,cuda_edge_mt_mt_1,0.050486,0.0478344,0.0475825,0.047365,0.0009379619987564069,cuda,case8387_pegase,mixed,0.056454,0.0538106,0.053530999999999995,0.053318,0.0009412978274701361,3.048531205252e-09,cuda_edge,7.0,edge_based,end2end,cuda_edge,10,0.006163,0.005976,0.0059605000000000005,0.005903,7.47781905222223e-05,cuda_mixed_edge,True
