case_name,mt_label,runs,cudss_analysis_ms,cudss_analysis_ms_ratio_vs_no_mt,cudss_analysis_ms_speedup_vs_no_mt,cudss_setup_ms,cudss_setup_ms_ratio_vs_no_mt,cudss_setup_ms_speedup_vs_no_mt,cudss_factorization_ms,cudss_factorization_ms_ratio_vs_no_mt,cudss_factorization_ms_speedup_vs_no_mt,cudss_refactorization_ms,cudss_refactorization_ms_ratio_vs_no_mt,cudss_refactorization_ms_speedup_vs_no_mt,cudss_solve_ms,cudss_solve_ms_ratio_vs_no_mt,cudss_solve_ms_speedup_vs_no_mt,nr_analyze_linear_solve_ms,nr_analyze_linear_solve_ms_ratio_vs_no_mt,nr_analyze_linear_solve_ms_speedup_vs_no_mt,nr_iteration_linear_solve_ms,nr_iteration_linear_solve_ms_ratio_vs_no_mt,nr_iteration_linear_solve_ms_speedup_vs_no_mt
case118_ieee,mt_1,10,8.8815,0.995494132284206,1.0045262624556661,1.5447,0.9541664092902588,1.0480352171942773,0.0767,0.9422604422604424,1.0612777053455018,0.06950000000000099,0.9337214509628352,1.070983213429251,0.0614,0.9233082706766917,1.0830618892508144,10.4294,0.9891875486086081,1.010930638387635,0.14355,0.9228543876567021,1.083594566353187
case118_ieee,mt_2,10,8.859,0.9929721913985003,1.0070775482560108,1.6068,0.9925257891160665,1.007530495394573,0.0762,0.9361179361179361,1.068241469816273,0.06949999999999999,0.9337214509628218,1.0709832134292663,0.061575000000000005,0.9259398496240602,1.0799837596427122,10.4689,0.9929339681696606,1.0071163159453238,0.143925,0.9252651880424301,1.0807712350182386
case118_ieee,mt_4,10,8.8658,0.9937343779772914,1.0063051275688601,1.5636,0.9658410031502873,1.0353671015605013,0.0761,0.9348894348894349,1.0696452036793693,0.069433333333334,0.9328257948947609,1.0720115218434942,0.0611,0.918796992481203,1.088379705400982,10.4324,0.9894720868031185,1.010639929450558,0.1438,0.9244615879138541,1.0817107093184979
case118_ieee,mt_8,10,8.8566,0.9927031843706917,1.007350450511483,1.5483,0.9563901414540738,1.0455983982432344,0.0756,0.9287469287469288,1.0767195767195767,0.068799999999998,0.9243170622480615,1.0818798449612814,0.060525,0.9101503759398496,1.0987195373812475,10.4079,0.9871483582146177,1.0130189567540042,0.14227499999999998,0.9146576663452266,1.0933052187664734
case118_ieee,mt_16,10,8.9444,1.0025443581380231,0.997462099190555,1.5683,0.9687442090308234,1.0322642351590894,0.07579999999999999,0.9312039312039311,1.0738786279683379,0.068933333333334,0.9261083743842371,1.0797872340425525,0.060575,0.9109022556390977,1.0978126289723484,10.5157,0.9973727640040215,1.0026341565468775,0.142175,0.9140147862423658,1.094074204325655
case118_ieee,mt_32,10,8.971499999999999,1.0055818958270284,0.9944490887811404,1.5528,0.9591698066588424,1.0425682637815559,0.0764,0.9385749385749386,1.0654450261780106,0.069533333333333,0.9341692789968523,1.070469798657733,0.061525,0.925187969924812,1.0808614384396587,10.5274,0.9984824629626117,1.001519843456124,0.144175,0.9268723882995822,1.0788971735737818
case793_goc,no_mt,10,12.0549,1.0,1.0,1.6634,1.0,1.0,0.2485,1.0,1.0,0.11913333333334,1.0,1.0,0.08990000000000001,1.0,1.0,13.7211,1.0,1.0,0.25508,1.0,1.0
case793_goc,mt_auto,10,19.7589,1.6390762262648384,0.6100997525165874,1.5948,0.9587591679692197,1.043014798093805,0.2193,0.8824949698189135,1.1331509347925217,0.114025,0.957120872971407,1.0448001169334795,0.0836,0.9299221357063402,1.0753588516746413,21.356399999999997,1.5564641318844696,0.6424818789683655,0.23226,0.9105378704720088,1.0982519590114526
case793_goc,mt_1,10,12.006,0.9959435582211383,1.0040729635182408,1.5678,0.9425273536130817,1.0609771654547773,0.2192,0.8820925553319919,1.1336678832116789,0.11413333333334,0.9580302182428675,1.0438084112149508,0.08427,0.9373748609566184,1.066809066097069,13.5765,0.9894614863239828,1.0106507568224505,0.23428,0.9184569546808845,1.0887826532354448
case793_goc,mt_2,10,11.9965,0.9951554969348563,1.0048680865252366,1.6848,1.0128652158230131,0.9872981956315289,0.2507,1.0088531187122736,0.9912245712006383,0.12026666666666999,1.0095131505315886,0.9905764966740858,0.09033000000000001,1.0047830923248053,0.9952396767408391,13.6842,0.9973107112403525,1.0026965405358004,0.25789,1.0110161517955152,0.9891038814998642
