case,tier,n,nnz,range,phase,wall_ms,runtime_api_ms,cuda_sync_api_ms,cudss_api_ms,gpu_kernel_ms,gpu_kernel_count,memcpy_ms,memcpy_count,memset_ms,memset_count,sync_activity_ms,sync_activity_count
case_ACTIVSg70k,very-large,134104,900558,cudss_solve_2,solve,1.396899,1.390547,1.342005,0.0,1.354854,7,0.00928,4,0.004577,4,1.341465,1
case_ACTIVSg70k,very-large,134104,900558,cudss_solve_3,solve,1.39216,1.387042,1.343167,0.0,1.355718,7,0.009249,4,0.004448,4,1.342767,1
case_ACTIVSg70k,very-large,134104,900558,cudss_solve_4,solve,1.394494,1.389495,1.341514,0.0,1.354536,7,0.011712,4,0.004416,4,1.340993,1
case_SyntheticUSA,largest,156255,1052085,cudss_analysis,analysis,309.523482,39.177206,0.055782,0.0,28.32917,179,1.227234,89,0.14164,25,0.032576,71
case_SyntheticUSA,largest,156255,1052085,cudss_factorize_0,factorize,19.41485,19.366308,4.450231,0.0,4.629158,7,0.0,0,0.031233,4,4.448018,1
case_SyntheticUSA,largest,156255,1052085,cudss_factorize_1,factorize,4.703255,4.691665,4.64674,0.0,4.642343,7,0.0,0,0.031905,4,4.646168,1
case_SyntheticUSA,largest,156255,1052085,cudss_factorize_2,factorize,4.6948,4.690371,4.659313,0.0,4.646342,7,0.0,0,0.031681,4,4.658802,1
case_SyntheticUSA,largest,156255,1052085,cudss_factorize_3,factorize,4.71667,4.712193,4.677176,0.0,4.667366,7,0.0,0,0.031745,4,4.676656,1
case_SyntheticUSA,largest,156255,1052085,cudss_factorize_4,factorize,4.736628,4.732359,4.701402,0.0,4.687399,7,0.0,0,0.031809,4,4.700601,1
case_SyntheticUSA,largest,156255,1052085,cudss_solve_0,solve,5.104197,5.060716,1.36086,0.0,1.467883,7,0.01136,4,0.004672,4,1.360079,1
case_SyntheticUSA,largest,156255,1052085,cudss_solve_1,solve,1.511613,1.503988,1.452232,0.0,1.465739,7,0.009568,4,0.00464,4,1.451731,1
case_SyntheticUSA,largest,156255,1052085,cudss_solve_2,solve,1.504039,1.497848,1.44092,0.0,1.465897,7,0.009504,4,0.004576,4,1.44037,1
case_SyntheticUSA,largest,156255,1052085,cudss_solve_3,solve,1.50473,1.498716,1.448004,0.0,1.465355,7,0.009632,4,0.004416,4,1.447513,1
case_SyntheticUSA,largest,156255,1052085,cudss_solve_4,solve,1.511363,1.501802,1.452984,0.0,1.466763,7,0.0096,4,0.004224,4,1.452452,1
