nd_label,run_name,source_exp,analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
nd_5,cuda_edge_nd_nd_5,20260413,0.010343,0.0101813,0.010155500000000001,0.010128,7.443125090384468e-05,cuda,case30_ieee,mixed,0.01104,0.0108696,0.010842000000000001,0.010817,7.67726803260405e-05,2.075455991352e-13,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000696,0.0006878,0.000687,0.000683,3.938414796731196e-06,cuda_mixed_edge,True
nd_6,cuda_edge_nd_nd_6,20260413,0.010672,0.010355,0.010283,0.010264,0.00014684912892716314,cuda,case30_ieee,mixed,0.011398,0.0110713,0.0110025,0.010969,0.00014989926246946285,2.601446840299e-13,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000728,0.0007160000000000001,0.000717,0.000705,7.659416862050706e-06,cuda_mixed_edge,True
nd_7,cuda_edge_nd_nd_7,20260413,0.010368,0.010187,0.0101665,0.010128,6.949340496286921e-05,cuda,case30_ieee,mixed,0.011057,0.0108723,0.010851,0.010811,7.054242222473912e-05,2.29446584649e-13,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000694,0.0006849,0.0006835000000000001,0.000682,3.6040101122067882e-06,cuda_mixed_edge,True
nd_8,cuda_edge_nd_nd_8,20260412,0.0103,0.0102089,0.0101965,0.010135,6.457803204048766e-05,cuda,case30_ieee,mixed,0.010984,0.0108925,0.0108795,0.010821,6.293779998273401e-05,2.270185713203e-13,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000688,0.000683,0.0006845,0.000673,4.216370213557836e-06,cuda_mixed_edge,True
nd_9,cuda_edge_nd_nd_9,20260412,0.010314,0.0101987,0.010189,0.010172,4.130657736164219e-05,cuda,case30_ieee,mixed,0.011005,0.0108783,0.0108645,0.010851,4.5436280168556205e-05,2.601446840299e-13,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000691,0.0006792,0.000675,0.00067,8.323994767471248e-06,cuda_mixed_edge,True
nd_10,cuda_edge_nd_nd_10,20260412,0.010691,0.0104325,0.0103735,0.010358,0.00012804014127521836,cuda,case30_ieee,mixed,0.011422,0.0111506,0.011092999999999999,0.011071,0.00013000871765641992,2.330856106253e-13,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000731,0.0007177,0.0007145000000000001,0.00071,7.394442357458586e-06,cuda_mixed_edge,True
nd_11,cuda_edge_nd_nd_11,20260412,0.010855,0.010518,0.010464000000000001,0.010392,0.0001516347951860361,cuda,case30_ieee,mixed,0.011587,0.0112318,0.0111845,0.011095,0.00015786407655532858,2.182698466413e-13,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000732,0.0007134,0.000712,0.000701,1.0658330075579379e-05,cuda_mixed_edge,True
auto,cuda_edge_nd_auto,20260412,0.033898,0.0323485,0.0321855,0.031978,0.000566502574280705,cuda,case4601_goc,mixed,0.038011,0.0364663,0.0363085,0.036083,0.0005670765282471939,4.32284874563e-10,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.004158,0.0041175000000000005,0.004111,0.004085,2.6340716264622234e-05,cuda_mixed_edge,True
nd_5,cuda_edge_nd_nd_5,20260413,0.029403,0.0279762,0.0277975,0.027703,0.0005141739437626573,cuda,case4601_goc,mixed,0.036102,0.0346688,0.0345275,0.03436,0.0005149806468855574,5.831553018254e-10,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.006754,0.006692,0.0066879999999999995,0.006645,3.909532509705539e-05,cuda_mixed_edge,True
nd_6,cuda_edge_nd_nd_6,20260413,0.028514,0.0270424,0.02685,0.026815,0.000523652811189501,cuda,case4601_goc,mixed,0.034485,0.0329582,0.0327735,0.032676,0.0005434191752229585,4.460785074656e-10,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.005979,0.0059155,0.005917,0.005853,4.188675208225151e-05,cuda_mixed_edge,True
nd_7,cuda_edge_nd_nd_7,20260413,0.028504,0.0269138,0.026737999999999998,0.026642,0.0005662967027588596,cuda,case4601_goc,mixed,0.033499,0.0318736,0.031682,0.031601,0.0005782272140872579,4.014422128051e-10,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.004995,0.0049594,0.004956,0.004939,1.6741166825125113e-05,cuda_mixed_edge,True
nd_8,cuda_edge_nd_nd_8,20260412,0.030467,0.0288241,0.028651,0.028494,0.0005919242537877821,cuda,case4601_goc,mixed,0.03472,0.0330804,0.0329405,0.032704,0.0005950341166689527,5.954576831613e-10,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.004411,0.004255699999999999,0.0042395,0.004209,5.7769753716321596e-05,cuda_mixed_edge,True
nd_9,cuda_edge_nd_nd_9,20260412,0.031882,0.0304137,0.0302125,0.03014,0.0005396167467131961,cuda,case4601_goc,mixed,0.036033,0.034582800000000004,0.0344065,0.034243,0.0005326330402402352,4.224183225432e-10,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.004271,0.0041684,0.0041495,0.004102,5.706565419662585e-05,cuda_mixed_edge,True
