measurement_mode,case_name,nd_label,source_exp,elapsed_ms_mean,analyze_ms_mean,solve_ms_mean,elapsed_ratio_vs_baseline,elapsed_speedup_vs_baseline,analyze_ratio_vs_baseline,solve_ratio_vs_baseline,runs,success_all
operators,case8387_pegase,nd_7,20260413,46.8455,40.004,6.8409,0.8681410730401941,1.1518865205836206,0.8360240165683391,1.1196235679214404,10,True
operators,case8387_pegase,nd_8,20260412,46.991400000000006,40.5111,6.479900000000001,0.870844892671889,1.1483101163191562,0.8466216512749136,1.0605400981996727,10,True
operators,case8387_pegase,nd_9,20260412,50.194,44.087300000000006,6.1062,0.930195494128134,1.0750428338048372,0.9213589047508586,0.9993780687397709,10,True
operators,case8387_pegase,nd_10,20260412,55.709500000000006,48.5301,7.1789000000000005,1.0324087715689383,0.9686085856092767,1.0142068074808308,1.1749427168576105,10,True
operators,case8387_pegase,nd_11,20260412,57.29,51.3739,5.915699999999999,1.0616986065784912,0.9418868912550183,1.073637991820323,0.9681996726677576,10,True
operators,case9241_pegase,auto,20260412,59.502,52.159400000000005,7.3423,1.0,1.0,1.0,1.0,10,True
operators,case9241_pegase,nd_5,20260413,56.9405,47.646800000000006,9.293,0.9569510268562401,1.0449855550969873,0.9134844342534615,1.2656796916497555,10,True
operators,case9241_pegase,nd_6,20260413,54.2117,45.186299999999996,9.025100000000002,0.9110903835165204,1.097585945469336,0.8663117290459628,1.229192487367719,10,True
operators,case9241_pegase,nd_7,20260413,53.0432,44.1958,8.8468,0.8914523881550199,1.121764901061776,0.8473218633649926,1.204908543644362,10,True
operators,case9241_pegase,nd_8,20260412,52.9267,44.6241,8.302200000000001,0.8894944707740915,1.124234082230708,0.8555332308270416,1.1307356005611322,10,True
operators,case9241_pegase,nd_9,20260412,55.7618,48.4773,7.2839,0.9371416086854223,1.0670745922836065,0.929406779985966,0.9920460891001458,10,True
operators,case9241_pegase,nd_10,20260412,61.4846,52.9005,8.583799999999998,1.0333198884071124,0.967754527149888,1.0142083689612993,1.1690887051741279,10,True
operators,case9241_pegase,nd_11,20260412,62.982,55.9544,7.0268,1.058485429061208,0.9447461179384586,1.07275773877767,0.957029813546164,10,True
