case_name,nd_label,source_exp,runs,cudss_analysis_ms,cudss_analysis_ms_ratio_vs_baseline,cudss_analysis_ms_speedup_vs_baseline,cudss_setup_ms,cudss_setup_ms_ratio_vs_baseline,cudss_setup_ms_speedup_vs_baseline,cudss_factorization_ms,cudss_factorization_ms_ratio_vs_baseline,cudss_factorization_ms_speedup_vs_baseline,cudss_refactorization_ms,cudss_refactorization_ms_ratio_vs_baseline,cudss_refactorization_ms_speedup_vs_baseline,cudss_solve_ms,cudss_solve_ms_ratio_vs_baseline,cudss_solve_ms_speedup_vs_baseline,nr_analyze_linear_solve_ms,nr_analyze_linear_solve_ms_ratio_vs_baseline,nr_analyze_linear_solve_ms_speedup_vs_baseline,nr_iteration_linear_solve_ms,nr_iteration_linear_solve_ms_ratio_vs_baseline,nr_iteration_linear_solve_ms_speedup_vs_baseline
case30_ieee,nd_7,20260413,10,8.4185,0.9934505546377154,1.0065926233889648,1.5512,0.9960190060357005,1.0039969056214544,0.06620000000000001,0.9895366218236175,1.010574018126888,0.058733333333333,0.9810690423162637,1.0192962542565212,0.050825,0.9888132295719846,1.011313330054107,9.9728,0.9938809272288771,1.0061567463500722,0.12225,0.9892777665385393,1.010838445807771
case30_ieee,nd_8,20260412,10,8.414200000000001,0.9929431201321691,1.0071070333483871,1.5588,1.0008989341209709,0.9991018732358223,0.066,0.9865470852017938,1.0136363636363637,0.058499999999999,0.977171492204894,1.0233618233618296,0.050625,0.984922178988327,1.0153086419753086,9.9759,0.9941898706424029,1.0058440842430258,0.12145,0.9828039652033178,1.0174969123095925
case30_ieee,nd_9,20260412,10,8.4376,0.9957045079065376,1.0043140229449132,1.5538,0.9976884551175036,1.002316900501995,0.0661,0.9880418535127056,1.0121028744326777,0.058833333333334,0.9827394209354341,1.0175637393767476,0.0509,0.9902723735408562,1.0098231827111983,9.9942,0.9960136333738613,1.004002321346381,0.1224,0.9904916042888933,1.0095996732026145
case30_ieee,nd_10,20260412,10,8.5236,1.0058531980174652,0.994180862546342,1.6459000000000001,1.0568254783613718,0.9462300261255239,0.0713,1.0657698056801197,0.938288920056101,0.063866666666666,1.0668151447661478,0.9373695198329847,0.0564,1.0972762645914398,0.9113475177304964,10.1723,1.0137629307767435,0.986423915928551,0.1347,1.0900262998179242,0.9174090571640684
case30_ieee,nd_11,20260412,10,8.5379,1.0075407127684683,0.9925157240070743,1.5624,1.0032104790034675,0.9967997951868919,0.0659,0.9850523168908819,1.015174506828528,0.058633333333333995,0.9793986636971267,1.0210346787947469,0.05125,0.9970817120622568,1.0029268292682927,10.1032,1.006876482430089,0.9931704806397974,0.122375,0.9902892979971677,1.009805924412666
case4601_goc,auto,20260412,10,28.8927,1.0,1.0,1.6028,1.0,1.0,0.5543,1.0,1.0,0.45105,1.0,1.0,0.21496,1.0,1.0,30.4983,1.0,1.0,0.71252,1.0,1.0
case4601_goc,nd_5,20260413,10,24.5821,0.850806605128631,1.175355238161101,1.6213,1.0115423009732967,0.9885894035650404,1.0399,1.8760598953635217,0.5330320223098375,0.93995,2.0839153087240883,0.47986595031650625,0.23966,1.1149050986229996,0.896937327881165,26.206,0.8592610079906093,1.1637907349461956,1.22738,1.7225902430808957,0.5805211100066809
case4601_goc,nd_6,20260413,10,23.6124,0.8172444942840233,1.2236240280530568,1.6274,1.015348140753681,0.9848838638318791,0.8917,1.608695652173913,0.6216216216216216,0.7872,1.7452610575324243,0.5729801829268293,0.23612,1.0984369184964644,0.9103845502286974,25.2423,0.8276625254522383,1.2082219132171,1.07314,1.5061191264806602,0.6639581042548037
case4601_goc,nd_7,20260413,10,23.4864,0.8128835311341619,1.2301885346413244,1.6208,1.0112303468929373,0.9888943731490621,0.702,1.266462204582356,0.7896011396011396,0.59715,1.3239108746258728,0.7553378548103492,0.2314,1.0764793449944174,0.9289541918755403,25.1097,0.823314742133168,1.2146023249979092,0.87758,1.2316566552517825,0.8119145832858543
case4601_goc,nd_8,20260412,10,25.3594,0.8777095944650378,1.1393290062067716,1.6421000000000001,1.0245195907162465,0.9760672309847146,0.5868,1.0586325094714053,0.9446148602590321,0.48105,1.0665114732291319,0.9376364203305271,0.21660000000000001,1.0076293263863045,0.9924284395198523,27.0043,0.8854362374296272,1.1293868013612647,0.74614,1.0471846404311458,0.9549414319028601
case4601_goc,nd_9,20260412,10,27.0138,0.9349697328390908,1.0695533394043044,1.6236,1.0129772897429499,0.9871889627987189,0.5601,1.0104636478441278,0.9896447063024459,0.4544,1.0074271145105864,0.9926276408450704,0.21714,1.0101414216598437,0.9899603942157135,28.6401,0.9390720138499523,1.0648810583761927,0.71974,1.0101330488968732,0.9899685997721399
case4601_goc,nd_10,20260412,10,28.9801,1.003024985549983,0.9969841373908302,1.6561000000000001,1.033254304966309,0.9678159531429261,0.5839,1.0534006855493414,0.9493063880801508,0.462375,1.0251080811439972,0.9755068937550689,0.22058,1.0261443989579455,0.9745217154773779,30.6389,1.0046100930215782,0.995411062407593,0.75974,1.0662718239488014,0.9378471582383447
case4601_goc,nd_11,20260412,10,30.9282,1.0704503213614511,0.9341862766019361,1.6602,1.0358123284252558,0.965425852306951,0.5702999999999999,1.0288652354320764,0.9719445905663687,0.461875,1.0239995565901785,0.9765629228687416,0.21933999999999998,1.0203758838853738,0.9800310020972008,32.5911,1.0686202181760949,0.9357861502066516,0.7324,1.0279009712008085,0.9728563626433643
case793_goc,auto,20260412,10,11.999,1.0,1.0,1.5471,1.0,1.0,0.2202,1.0,1.0,0.11414166666666001,1.0,1.0,0.08444,1.0,1.0,13.549,1.0,1.0,0.235015,1.0,1.0
case793_goc,nd_5,20260413,10,10.548399999999999,0.8791065922160178,1.1375184862159191,1.564,1.0109236636287249,0.9891943734015345,0.1337,0.6071752951861944,1.6469708302169035,0.12683333333333,1.1111922318756289,0.8999342969776322,0.09861,1.1678114637612507,0.856302606226549,12.1151,0.8941693113882944,1.118356431230448,0.240405,1.0229347062953429,0.9775795012582933
case793_goc,nd_6,20260413,10,10.7254,0.8938578214851237,1.1187461539895949,1.5485,1.0009049188804862,0.9990958992573458,0.1263,0.5735694822888283,1.7434679334916865,0.11914166666666,1.0438052128203281,0.958033153808489,0.096575,1.1437115111321647,0.874346362930365,12.2768,0.9061037714960514,1.1036263521438812,0.23097,0.9827883326596175,1.0175130969389963
case793_goc,nd_7,20260413,10,10.9679,0.9140678389865822,1.0940107039633842,1.5531,1.0038782237735118,0.9961367587405834,0.1252,0.5685740236148955,1.7587859424920127,0.11875,1.0403738044827942,0.9611929824560843,0.09935,1.1765750828991,0.8499245093105184,12.5236,0.9243191379437597,1.08187741543965,0.23300500000000002,0.9914473544241857,1.0086264243256582
case793_goc,nd_8,20260412,10,11.2415,0.9368697391449288,1.067384245874661,1.5731,1.0168056363518843,0.9834721251032992,0.2283,1.0367847411444142,0.9645203679369251,0.121225,1.0620573848288566,0.9415687083246855,0.09926,1.1755092373282805,0.850695144066089,12.8174,0.946003395084508,1.057078658698332,0.257125,1.0940791013339575,0.9140106951871658
case793_goc,nd_9,20260412,10,11.7582,0.9799316609717477,1.0204793250667619,1.6348,1.0566867041561632,0.9463542941032541,0.2592,1.1771117166212532,0.8495370370370371,0.1325,1.1608381397386967,0.8614465408804528,0.10711999999999999,1.268593083846518,0.7882748319641524,13.395999999999999,0.9887076537013801,1.0114213197969544,0.28398,1.2083484032934069,0.8275758856257482
case793_goc,nd_10,20260412,10,12.0419,1.0035752979414951,0.9964374392745331,1.6720000000000002,1.080731691551936,0.9252990430622008,0.25279999999999997,1.1480472297910989,0.8710443037974684,0.11989166666667,1.050375994743465,0.9520400361436588,0.08991,1.0647797252486972,0.939161383605828,13.7168,1.0123846778360026,0.987766826081885,0.256935,1.0932706422994278,0.914686593885613
