analyze_sec,backend,buses,case_name,case_stem,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
4e-06,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.004386,3.478008101171e-11,cpp_naive,4,pypower_like,0.03058561719037,end2end,444,cpp_naive,55,7,0.004381,cpp_pypowerlike,True
4e-06,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.004362,3.478008101171e-11,cpp_naive,4,pypower_like,0.03058561719037,end2end,444,cpp_naive,55,8,0.004358,cpp_pypowerlike,True
4e-06,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.004358,3.478008101171e-11,cpp_naive,4,pypower_like,0.03058561719037,end2end,444,cpp_naive,55,9,0.004354,cpp_pypowerlike,True
0.000436,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.001427,3.478689418726e-11,cpp,4,edge_based,0.03058561719037,end2end,444,cpp,55,0,0.000991,cpu_fp64_edge,True
0.000421,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.001402,3.478689418726e-11,cpp,4,edge_based,0.03058561719037,end2end,444,cpp,55,1,0.000981,cpu_fp64_edge,True
0.000417,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.001396,3.478689418726e-11,cpp,4,edge_based,0.03058561719037,end2end,444,cpp,55,2,0.000979,cpu_fp64_edge,True
0.000513,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.001492,3.478689418726e-11,cpp,4,edge_based,0.03058561719037,end2end,444,cpp,55,3,0.000978,cpu_fp64_edge,True
0.00051,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.001476,3.478689418726e-11,cpp,4,edge_based,0.03058561719037,end2end,444,cpp,55,4,0.000966,cpu_fp64_edge,True
0.000519,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.001492,3.478689418726e-11,cpp,4,edge_based,0.03058561719037,end2end,444,cpp,55,5,0.000973,cpu_fp64_edge,True
0.000513,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.001485,3.478689418726e-11,cpp,4,edge_based,0.03058561719037,end2end,444,cpp,55,6,0.000971,cpu_fp64_edge,True
