config	case	B	iters	solve_total_us	factorize_us	tri_solve_us	ibus_us	jacobian_us	mismatch_us	mnorm_us	prepare_rhs_us	voltage_update_us	upload_us	download_us
cudss-fp64	case_ACTIVSg25k	16	5	82192.3	58775.8	17986.1	541.333	1489.2	194.467	147.333	0	322.933	1590.33	1124.13
cudss-fp64	case_ACTIVSg25k	64	5	312479	225448	67102.3	2072.73	5831.33	639.533	267.733	0	1074.6	5526.07	4382.47
cudss-fp64	case_ACTIVSg25k	256	5	1.30147e+06	892524	262766	7963.8	23269.4	3447.33	934.467	0	4845.13	22565.3	73896.1
custom-fp64	case_ACTIVSg25k	1	5	10806.2	7086.33	2846.87	94.7333	145.867	45.0667	94.5333	0	62.1333	323.733	87.9333
custom-fp64	case_ACTIVSg25k	16	5	29313.7	18298.7	5570.6	539	1500.53	188.733	129.8	0	311.533	1510.93	1212.67
custom-fp64	case_ACTIVSg25k	64	5	97332.8	62629	14785.5	1950.47	5809.67	622.267	253.2	0	1068.27	5338.87	4737.73
custom-fp64	case_ACTIVSg25k	256	5	421428	241569	52185.2	7672.87	23370.7	2362.07	706.133	0	4106.2	18684.3	63435.7
cudss-mixed	case_ACTIVSg25k	1	5	6481.2	3998.47	1629.93	95.1333	65.2	46.2667	93.5333	27	60.4667	357	88.8
cudss-mixed	case_ACTIVSg25k	16	5	51978.9	34889.1	12623.5	525.2	567.8	195.067	133.133	66.9333	301.133	1560.27	1095.07
cudss-mixed	case_ACTIVSg25k	64	6	213888	145141	51229.5	2021.53	2511	695.133	290.267	222.933	1170.67	5807.53	4654.27
cudss-mixed	case_ACTIVSg25k	256	6	956486	623565	219078	8350.47	9630.13	2832.67	853.333	871.467	4925.87	18515.3	60868.7
custom-mixed-fp32	case_ACTIVSg25k	1	5	5156.8	2870.27	1507	94.2667	66.2667	45.2	91.5333	0	60.7333	319	83.7333
custom-mixed-fp32	case_ACTIVSg25k	16	5	14330.5	7234.8	2939.8	512.067	539.333	190.2	128.2	0	294.267	1428.73	1044.4
custom-mixed-fp32	case_ACTIVSg25k	64	5	49267.8	24843.1	6800.8	2057.2	2026.27	880	264.333	0	1055.53	5904.27	5299.67
