config	case	B	solve_total_us	fac_us	sol_us	ibus_us	jac_us	upload_us	download_us	iters
custom-fp64	case13659pegase	16	15932.1	8029.71	3918.29	660	1129.14	823.714	812.714	6
custom-fp64	case13659pegase	64	47251.9	23792.3	9278	2260.57	4342.43	2963.43	3057.86	6
custom-fp64	case13659pegase	256	201729	90883.7	32066.4	8583.29	17318.4	10594.7	33421.4	6
cudss-mixed	case13659pegase	1	6749.14	4156.43	1711.29	148.286	89.8571	256.143	61.2857	7
cudss-mixed	case13659pegase	16	37464.7	23735.3	9985	755.143	464.286	1082.86	741.286	7
cudss-mixed	case13659pegase	64	135320	86881.6	36128.6	2550.43	1634.14	3052.71	3071	7
cudss-mixed	case13659pegase	256	547723	339071	139919	9675.71	6344.71	10123.3	32572.4	7
custom-mixed-fp32	case13659pegase	1	4491.71	2349	1296.57	146.143	91.8571	259.571	66.5714	7
custom-mixed-fp32	case13659pegase	16	12846.4	5435.57	2593	773.143	470.857	1385.86	1205	7
custom-mixed-fp32	case13659pegase	64	31241.6	13249.4	5668	2710.71	1635.14	2973.86	3132.86	7
custom-mixed-fp32	case13659pegase	256	137098	48839.1	16706.7	10070.4	6459.29	11410.1	34211.9	7
custom-mixed-tf32	case13659pegase	1	4392.86	2253.43	1296.86	146.429	93.5714	258	59	7
custom-mixed-tf32	case13659pegase	16	10938.1	4940.71	2452.71	773.286	468.286	817.429	821.571	7
custom-mixed-tf32	case13659pegase	64	31455.7	14268.7	5270.14	2551.57	1648.57	2933.57	2976.57	7
custom-mixed-tf32	case13659pegase	256	137154	51459.9	16730.1	9829.29	6342.14	10132.9	32874.3	7
