case_name,count_mean,metric,ms_mean,ms_stdev,profile,profile_elapsed_speedup_vs_cuda_edge,profile_solve_speedup_vs_cuda_edge,runs,sec_mean,sec_stdev,section,share_of_profile_elapsed,share_of_profile_solve,source_column,success_all
case_ACTIVSg200,,cpu_naive_jacobian,,,cuda_wo_cudss,8.181275035643967,0.5557402870143507,10,,,ablation_bridge,,,ABLATION.cpu_naive_jacobian.total_sec,True
case_ACTIVSg200,,cpu_jacobian_to_cuda_csr,,,cuda_wo_cudss,8.181275035643967,0.5557402870143507,10,,,ablation_bridge,,,ABLATION.cpu_jacobian_to_cuda_csr.total_sec,True
case_ACTIVSg200,2.0,cuda_F_to_cpu,0.0193,0.0006749485577105533,cuda_wo_cudss,8.181275035643967,0.5557402870143507,10,1.93e-05,6.749485577105533e-07,ablation_bridge,0.013103401452916016,0.01688834441722086,ABLATION.cuda_F_to_cpu.total_sec,True
case_ACTIVSg200,2.0,cuda_J_to_cpu_csc,0.0761,0.0007378647873726242,cuda_wo_cudss,8.181275035643967,0.5557402870143507,10,7.61e-05,7.378647873726242e-07,ablation_bridge,0.05166677982211963,0.06659082954147708,ABLATION.cuda_J_to_cpu_csc.total_sec,True
case_ACTIVSg200,2.0,cpu_dx_to_cuda,0.008,0.0,cuda_wo_cudss,8.181275035643967,0.5557402870143507,10,8e-06,0.0,ablation_bridge,0.005431461742141353,0.007000350017500875,ABLATION.cpu_dx_to_cuda.total_sec,True
case_ACTIVSg200,,cpu_naive_jacobian_dS_dVm,,,cuda_wo_cudss,8.181275035643967,0.5557402870143507,10,,,cpu_reference,,,CPU.naive.jacobian.dS_dVm.total_sec,True
case_ACTIVSg200,,cpu_naive_jacobian_dS_dVa,,,cuda_wo_cudss,8.181275035643967,0.5557402870143507,10,,,cpu_reference,,,CPU.naive.jacobian.dS_dVa.total_sec,True
case_ACTIVSg200,,cpu_naive_jacobian_assemble,,,cuda_wo_cudss,8.181275035643967,0.5557402870143507,10,,,cpu_reference,,,CPU.naive.jacobian.assemble.total_sec,True
case_ACTIVSg200,2.0,cpu_superlu,0.8011999999999999,0.014883249346534205,cuda_wo_cudss,8.181275035643967,0.5557402870143507,10,0.0008012,1.4883249346534205e-05,cpu_reference,0.5439608934754565,0.7010850542527126,CPU.naive.solve.superlu.total_sec,True
case_ACTIVSg200,,elapsed,12.2774,0.16203031266470524,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,0.0122774,0.00016203031266470523,top_level,1.0,12.854570202073083,elapsed_sec,True
case_ACTIVSg200,,analyze,11.3215,0.16089489322743158,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,0.0113215,0.00016089489322743158,top_level,0.9221414957564305,11.853732593445713,analyze_sec,True
case_ACTIVSg200,,solve,0.9551,0.018033610595527206,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,0.0009551,1.8033610595527205e-05,top_level,0.07779334386759411,1.0,solve_sec,True
case_ACTIVSg200,1.0,upload,0.0875,0.0015811388300841875,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,8.75e-05,1.5811388300841875e-06,nr,0.007126916122306025,0.09161344361846928,NR.solve.upload.total_sec,True
