case_name,ms_mean,ms_stdev,operator,operator_short,runs,scope,sec_mean,sec_stdev,share,success_all
case_ACTIVSg2000,0.31224824488162994,0.0019032865461533948,newtonpf.update_voltage,update_voltage,10,newtonpf,0.00031224824488162994,1.9032865461533949e-06,0.009086135586485236,True
Base_Florida_42GW,25.428794510662556,0.29250409551621276,runpf.load_case_data,load_case_data,10,runpf,0.025428794510662555,0.00029250409551621274,0.15883894902341203,True
Base_Florida_42GW,7.282016798853874,0.051082955796080166,runpf.bus_indexing,bus_indexing,10,runpf,0.007282016798853874,5.1082955796080164e-05,0.04548654064650127,True
Base_Florida_42GW,6.975998170673847,0.04769399769535675,runpf.build_Ybus,build_Ybus,10,runpf,0.006975998170673847,4.7693997695356756e-05,0.043575019545439235,True
Base_Florida_42GW,0.19110944122076035,0.002151954255115549,runpf.build_Sbus,build_Sbus,10,runpf,0.00019110944122076036,2.151954255115549e-06,0.0011937499742360452,True
Base_Florida_42GW,120.21376304328442,0.9123311092626661,runpf.newtonpf,newtonpf,10,runpf,0.12021376304328442,0.0009123311092626661,0.7509057408104113,True
Base_Florida_42GW,0.01406446099281311,0.00020908103069617107,newtonpf.init_index,init_index,10,newtonpf,1.406446099281311e-05,2.0908103069617108e-07,0.0001171769903472715,True
Base_Florida_42GW,0.6355112418532372,0.039985249431846795,newtonpf.mismatch,mismatch,10,newtonpf,0.0006355112418532372,3.99852494318468e-05,0.005294713724917849,True
Base_Florida_42GW,36.12540028989315,0.7818026705939245,newtonpf.jacobian,jacobian,10,newtonpf,0.03612540028989315,0.0007818026705939245,0.300976033366882,True
Base_Florida_42GW,82.19851590692997,0.24137749653732643,newtonpf.solve,solve,10,newtonpf,0.08219851590692998,0.00024137749653732642,0.6848307027129003,True
Base_Florida_42GW,1.0540062561631203,0.015691254697237658,newtonpf.update_voltage,update_voltage,10,newtonpf,0.0010540062561631204,1.5691254697237658e-05,0.008781373204952574,True
Texas7k_20220923,29.75955493748188,0.25797810921056274,runpf.load_case_data,load_case_data,10,runpf,0.02975955493748188,0.00025797810921056276,0.19418634262902248,True
Texas7k_20220923,8.99484846740961,0.06259553199116138,runpf.bus_indexing,bus_indexing,10,runpf,0.00899484846740961,6.259553199116139e-05,0.05869297205747582,True
